Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 967.0; 151.0; -548.0; -397.0; -299.0; -498.0; 1286.0; -80.0; 454.0; 1107.0; -122.0; 0.0; 234.0; 0.0; 0.0; 0.0; -35.0; 77.0; -2.0; 0.0; -2.0; -448.0; -448.0; -68.0; -54.0; -572.0; 618.0; 0.0; -68.0
2022-06-30; 809.0; 148.0; -122.0; 26.0; -1584.0; -955.0; 1006.0; -94.0; -1590.0; -941.0; -100.0; 0.0; 239.0; 0.0; 0.0; 0.0; -100.0; 39.0; -2.0; 0.0; -2.0; -909.0; -909.0; -71.0; -199.0; -1181.0; -1595.0; 0.0; -71.0
2022-03-31; 405.0; 209.0; 393.0; 602.0; 82.0; 490.0; 1190.0; -27.0; 1802.0; 2887.0; -155.0; 0.0; 381.0; 0.0; 0.0; 0.0; -43.0; 183.0; -2.0; -372.0; -374.0; -1484.0; -1484.0; -71.0; -60.0; -1989.0; 776.0; 0.0; -71.0
2021-12-31; 39.0; 313.0; 621.0; 934.0; 386.0; -495.0; 181.0; 56.0; 264.0; 1377.0; -101.0; 0.0; 16.0; 0.0; 0.0; 0.0; -30.0; -115.0; -10.0; 372.0; 362.0; -651.0; -651.0; -72.0; -77.0; -438.0; 626.0; 0.0; -72.0
2021-09-30; 310.0; 195.0; 641.0; 836.0; -1266.0; -263.0; 2040.0; -96.0; 509.0; 1792.0; -120.0; 0.0; 93.0; 0.0; 0.0; 0.0; -31.0; -58.0; -1320.0; 0.0; -1320.0; -224.0; -224.0; -65.0; -134.0; -1743.0; -2.0; 0.0; -65.0
2021-06-30; 533.0; 218.0; 475.0; 693.0; -1045.0; -901.0; -609.0; -90.0; -2699.0; -1622.0; -159.0; 0.0; 82.0; 0.0; 0.0; 0.0; -22.0; -99.0; -2.0; 0.0; -2.0; -937.0; -937.0; -69.0; -1143.0; -2151.0; -3861.0; 0.0; -69.0
2021-03-31; 713.0; 227.0; 821.0; 1048.0; -355.0; -230.0; 2507.0; -71.0; 1501.0; 3370.0; -214.0; 0.0; 73.0; 0.0; 0.0; 0.0; -64.0; -205.0; -10.0; -152.0; -162.0; -205.0; -205.0; -67.0; -83.0; -517.0; 2664.0; 0.0; -67.0
2020-12-31; -6174.0; 359.0; -1305.0; -946.0; 519.0; -650.0; 65.0; 7961.0; 8137.0; 1213.0; -162.0; 0.0; 291.0; 0.0; 0.0; 0.0; -61.0; 68.0; -525.0; 152.0; -373.0; -236.0; -236.0; -69.0; -97.0; -775.0; 492.0; 0.0; -69.0
2020-09-30; 627.0; 326.0; -24.0; 302.0; -1310.0; -1634.0; 2909.0; -96.0; -265.0; 1021.0; -148.0; 0.0; -2.0; 0.0; 0.0; 0.0; 2.0; -148.0; -3.0; 0.0; -3.0; -230.0; -230.0; -66.0; -163.0; -462.0; 376.0; 0.0; -66.0
2020-06-30; 494.0; 217.0; 75.0; 292.0; 2291.0; 238.0; -4214.0; -89.0; -1698.0; -1062.0; -117.0; 0.0; 3.0; 0.0; 0.0; 0.0; -16.0; -130.0; -2.0; 0.0; -2.0; 21.0; 21.0; -74.0; 116.0; 61.0; -1159.0; 0.0; -74.0
2020-03-31; 1078.0; 257.0; -4.0; 253.0; -1450.0; 313.0; 4881.0; -377.0; 3348.0; 4654.0; -168.0; 0.0; -5.0; 0.0; 0.0; 0.0; 3.0; -170.0; -290.0; -2109.0; -2399.0; 41.0; 41.0; -72.0; -50.0; -2480.0; 1958.0; 0.0; -72.0
2019-12-31; 242.0; 329.0; 351.0; 680.0; -178.0; -1020.0; 274.0; 0.0; -983.0; -121.0; -154.0; 0.0; 1.0; 0.0; 0.0; 0.0; 29.0; -124.0; -3.0; 1561.0; 1558.0; -488.0; -488.0; -74.0; -47.0; 949.0; 709.0; 0.0; -74.0
2019-09-30; -677.0; 241.0; 1138.0; 1379.0; 195.0; 186.0; -1330.0; 0.0; -961.0; -108.0; -73.0; 0.0; -47.0; 0.0; 0.0; 0.0; -36.0; -156.0; -3.0; 548.0; 545.0; -695.0; -695.0; -73.0; -108.0; -331.0; -591.0; 0.0; -73.0
2019-06-30; 477.0; 234.0; 19.0; 253.0; -1061.0; 145.0; 127.0; 0.0; -707.0; -51.0; -111.0; 0.0; -45.0; 0.0; 0.0; 0.0; 27.0; -129.0; -2.0; 0.0; -2.0; -679.0; -679.0; -75.0; -116.0; -872.0; -1034.0; 0.0; -75.0
2019-03-31; -744.0; 1643.0; -34.0; 1609.0; 576.0; 388.0; 1801.0; 0.0; 2801.0; 3895.0; -152.0; 0.0; 62.0; 0.0; 0.0; 0.0; -140.0; -230.0; -1112.0; -1049.0; -2161.0; -222.0; -222.0; -76.0; -85.0; -2544.0; 1132.0; 0.0; -76.0
2018-12-31; 526.0; 299.0; 182.0; 481.0; 162.0; -358.0; -1022.0; 0.0; -1250.0; -177.0; -157.0; 0.0; -26.0; 0.0; 0.0; 0.0; 15.0; -168.0; 1099.0; -347.0; 752.0; -492.0; -492.0; -77.0; -64.0; 119.0; -269.0; 0.0; -77.0
2018-09-30; 553.0; 241.0; -10.0; 231.0; -291.0; -284.0; 1165.0; 0.0; 552.0; 1379.0; -103.0; 0.0; -14.0; 0.0; 0.0; 0.0; 9.0; -108.0; 0.0; -638.0; -638.0; -565.0; -565.0; -68.0; -72.0; -1343.0; -81.0; 0.0; -68.0
2018-06-30; -80.0; 845.0; 1.0; 846.0; -1414.0; -114.0; 32.0; 0.0; -1557.0; -1061.0; -145.0; 0.0; -826.0; 0.0; 0.0; 0.0; 96.0; -875.0; 0.0; 2031.0; 2031.0; -285.0; -285.0; -71.0; -134.0; 1541.0; -473.0; 0.0; -71.0
2018-03-31; -1085.0; 1932.0; -47.0; 1885.0; 2221.0; 952.0; -932.0; 0.0; 2223.0; 3024.0; -188.0; 0.0; -869.0; 0.0; 0.0; 0.0; 16.0; -1041.0; -332.0; -749.0; -1081.0; -740.0; -740.0; -70.0; -46.0; -1937.0; 53.0; 0.0; -70.0
2017-12-31; 961.0; 234.0; -1013.0; -779.0; -234.0; -193.0; -605.0; 0.0; -429.0; -18.0; -137.0; 0.0; 60.0; 0.0; 0.0; 0.0; -10.0; -87.0; 0.0; 445.0; 445.0; -219.0; -219.0; -71.0; -30.0; 125.0; 54.0; 0.0; -71.0
2017-09-30; 56.0; 775.0; -36.0; 739.0; -449.0; -1158.0; 1345.0; 0.0; -158.0; 598.0; -137.0; 0.0; -225.0; 0.0; 0.0; 0.0; 95.0; -267.0; -4.0; 302.0; 298.0; -345.0; -345.0; -59.0; -35.0; -141.0; 224.0; 0.0; -59.0
2017-06-30; 365.0; 227.0; 238.0; 465.0; -363.0; -59.0; 463.0; 0.0; 23.0; 741.0; -118.0; 0.0; -1485.0; 0.0; 0.0; 0.0; 5.0; -1598.0; -541.0; -181.0; -722.0; -273.0; -273.0; -62.0; -74.0; -1131.0; -1913.0; 0.0; -62.0
2017-03-31; 3623.0; 247.0; -3018.0; -2771.0; -108.0; 694.0; 179.0; -92.0; 767.0; 1435.0; -193.0; 0.0; 259.0; 0.0; 0.0; 0.0; 284.0; 350.0; 615.0; -1228.0; -613.0; -220.0; -220.0; -61.0; -30.0; -924.0; 876.0; -109.0; -61.0
2016-12-31; 646.0; 204.0; 132.0; 336.0; 3.0; -536.0; -281.0; 196.0; -717.0; 381.0; -129.0; 0.0; -2126.0; 0.0; 0.0; 0.0; -18.0; -2273.0; -386.0; 1405.0; 1019.0; -1988.0; -1988.0; -63.0; 1.0; -1031.0; -3030.0; 30.0; -63.0
2016-09-30; 324.0; 507.0; -109.0; 398.0; -357.0; 283.0; 623.0; -141.0; 464.0; 1069.0; -126.0; 0.0; -219.0; 0.0; 0.0; 0.0; 153.0; -192.0; -5.0; 0.0; -5.0; 39.0; 39.0; -63.0; -3.0; -32.0; 805.0; 79.0; -63.0
2016-06-30; 560.0; 242.0; 220.0; 462.0; -300.0; -121.0; 1549.0; -113.0; 1110.0; 1859.0; -114.0; 0.0; -1920.0; 0.0; 0.0; 0.0; 880.0; -1154.0; -1.0; -7.0; -8.0; -22.0; -22.0; -66.0; 14.0; -82.0; 611.0; 0.0; -66.0
2016-03-31; 444.0; 222.0; 42.0; 264.0; -290.0; 1146.0; 1607.0; -54.0; 2217.0; 3106.0; -464.0; 0.0; 195.0; 0.0; 0.0; 0.0; -1060.0; -1329.0; -602.0; 9.0; -593.0; -626.0; -626.0; -65.0; 78.0; -1206.0; 642.0; 10.0; -65.0
2015-12-31; 647.0; 220.0; 206.0; 426.0; -630.0; -928.0; -265.0; 192.0; -1720.0; -685.0; 61.0; 0.0; -218.0; 0.0; 0.0; 0.0; -2.0; -159.0; -498.0; -136.0; -634.0; -330.0; -330.0; -65.0; -28.0; -1057.0; -1953.0; 35.0; -65.0
