Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 124.34; 3.5; 51.85; 55.35; -27.9; -37.81; 0.14; -172.1; -197.87; -18.18; -7.28; 0.0; 0.0; 38.87; 0.13; 39.0; -0.72; 31.0; 0.0; 0.0; 0.0; 4.11; 4.11; -36.27; -0.4; -32.56; -26.66; 43.0; -36.27
2022-06-30; 114.68; 15.88; 41.92; 57.8; -5.2; -48.64; 10.31; 5.97; -67.24; 105.24; -11.84; 0.0; 0.0; 33.55; -1.91; 31.64; -1.51; 18.28; 0.0; 0.0; 0.0; 1.01; 1.01; -36.47; -0.66; -36.12; 82.26; 42.91; -36.47
2022-03-31; 79.57; 12.65; 39.44; 52.09; -15.51; -51.8; -4.18; -5.92; -24.24; 107.42; -26.88; 0.0; 0.0; 16.0; 0.03; 16.02; -0.76; -11.61; 0.0; 0.0; 0.0; 5.1; 5.1; -28.82; -0.53; -24.25; 71.34; 39.81; -28.82
2021-12-31; 72.67; 5.2; 30.18; 35.38; -24.94; -51.35; 2.89; -1.26; -79.85; 28.21; -17.57; 0.0; 0.0; -21.65; 0.1; -21.55; -0.62; -39.75; 0.0; 0.0; 0.0; 2.17; 2.17; -28.64; -0.79; -27.25; -36.82; 31.2; -28.64
2021-09-30; 68.77; 12.07; 28.92; 40.99; -2.31; -30.73; 17.24; -9.94; 8.04; 117.8; -18.58; -0.79; 0.0; -67.42; 0.1; -67.33; -0.23; -86.93; 0.0; 0.0; 0.0; 4.6; 4.6; -28.5; -0.91; -24.81; 5.88; 31.57; -28.5
2021-06-30; 55.17; 6.37; 32.13; 38.5; 6.52; -2.09; -0.72; -1.89; 3.28; 96.95; -39.3; 0.0; 0.0; -29.51; 0.28; -29.23; -0.81; -69.34; 0.0; 0.0; 0.0; 2.18; 2.18; -28.75; -0.58; -27.16; 1.84; 32.13; -28.75
2021-03-31; 45.41; 5.17; 29.59; 34.76; -17.24; -18.15; 13.51; -2.21; -3.11; 77.06; -18.97; 0.0; 0.0; -163.04; 0.03; -163.02; -0.88; -182.87; 0.0; 0.0; 0.0; 13.04; 13.04; -23.47; -0.56; -10.99; -116.58; 28.58; -23.47
2020-12-31; 42.89; 1.8; 18.28; 20.08; 26.7; -8.97; -9.4; 3.37; 16.68; 79.65; -11.48; 0.0; 0.0; 110.59; -3.27; 107.32; -1.58; 94.26; 0.0; 0.0; 0.0; 2.31; 2.31; -23.31; -0.92; -21.92; 155.48; 22.97; -23.31
2020-09-30; 55.57; 5.64; 21.57; 27.21; -38.4; 4.05; 4.32; 3.62; -5.37; 77.41; -19.59; 0.0; 0.0; -17.51; 0.12; -17.38; -0.34; -37.32; 0.0; 0.0; 0.0; 4.27; 4.27; -23.21; -0.38; -19.31; 22.99; 22.98; -23.21
2020-06-30; 30.17; 1.56; 21.04; 22.59; -0.79; -20.59; 8.3; 0.06; 6.57; 59.33; -14.58; 0.0; 0.0; -16.77; 0.03; -16.74; -0.34; -31.66; 0.0; 0.0; 0.0; 2.35; 2.35; -24.84; -3.78; -26.27; 1.6; 21.04; -24.84
