Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; -8913.0; -2791.0; -2078.0; -4869.0; -7966.0; -853.0; -8283.0; 23285.0; 6183.0; -7599.0; 2308.0; 0.0; 0.0; 0.0; -13574.0; -13574.0; 23796.0; 12530.0; -27264.0; 0.0; -27264.0; 9126.0; 8132.0; 4023.0; 18370.0; 3261.0; 16029.0; -1377.0; 4023.0
2022-09-30; 2662.0; 928.0; 715.0; 1643.0; -5227.0; 4907.0; -3436.0; -8102.0; -11858.0; -7553.0; -857.0; 0.0; 0.0; 0.0; 1633.0; 1633.0; -4937.0; -4161.0; 7005.0; 0.0; 7005.0; -2608.0; -1614.0; -1405.0; -8553.0; -4567.0; -19590.0; 528.0; -1405.0
2022-06-30; 2536.0; 921.0; 824.0; 1745.0; 11966.0; 25193.0; -6275.0; -20252.0; 10632.0; 14913.0; -799.0; 0.0; 0.0; 0.0; 3528.0; 3528.0; -11256.0; -8527.0; 11069.0; 0.0; 11069.0; -2837.0; -2837.0; -1304.0; -14913.0; -7985.0; -4800.0; 418.0; -1304.0
2022-03-31; 3715.0; 942.0; 539.0; 1481.0; 1227.0; -29247.0; 17994.0; 5069.0; -4957.0; 239.0; -652.0; 0.0; 0.0; 0.0; 8413.0; 8413.0; -7603.0; 158.0; 9190.0; 0.0; 9190.0; -3681.0; -3681.0; -1314.0; 5096.0; 9291.0; 8361.0; 431.0; -1314.0
2021-12-31; 3716.0; 1237.0; 460.0; 1697.0; 3466.0; 6373.0; -12071.0; -2832.0; -5064.0; 349.0; -650.0; 0.0; 0.0; 0.0; -1362.0; -1362.0; -13294.0; -15306.0; 3257.0; 0.0; 3257.0; -2847.0; -1572.0; -1314.0; 19344.0; 19715.0; 3862.0; 449.0; -1314.0
2021-09-30; 3724.0; 1035.0; 540.0; 1575.0; -332.0; -17109.0; 9912.0; 4358.0; -3171.0; 2128.0; -619.0; 0.0; 0.0; 0.0; -8541.0; -8541.0; -5987.0; -15147.0; 8092.0; 0.0; 8092.0; -3628.0; -3628.0; -1356.0; 8675.0; 11783.0; -2617.0; 500.0; -1356.0
2021-06-30; 3512.0; 1057.0; 621.0; 1678.0; 16361.0; -1594.0; 6647.0; -21989.0; -575.0; 4615.0; -514.0; 0.0; 0.0; 0.0; 14770.0; 14770.0; -11139.0; 3117.0; 4462.0; 0.0; 4462.0; -3018.0; -3018.0; -746.0; -213.0; 485.0; 8362.0; 618.0; -746.0
2021-03-31; 4168.0; 887.0; 325.0; 1212.0; -18721.0; 16487.0; 3270.0; 20463.0; 21499.0; 26879.0; -525.0; 0.0; -2648.0; 0.0; -12870.0; -12870.0; -6518.0; -22561.0; 4338.0; 0.0; 4338.0; -2582.0; -2582.0; -755.0; 8563.0; 9564.0; 12464.0; 518.0; -755.0
2020-12-31; 3412.0; 1406.0; -125.0; 1281.0; -12676.0; -14970.0; 16005.0; -18442.0; -30083.0; -25390.0; -539.0; 0.0; 3807.0; 0.0; 1177.0; 1177.0; -4905.0; -460.0; 6224.0; 0.0; 6224.0; -50.0; -50.0; -731.0; 29416.0; 34859.0; 10882.0; 510.0; -731.0
2020-09-30; 2751.0; 853.0; 429.0; 1282.0; -9309.0; 2319.0; -4813.0; 903.0; -10900.0; -6867.0; -123.0; 0.0; 0.0; 0.0; 1311.0; 1311.0; -5008.0; -3820.0; -4264.0; 0.0; -4264.0; -30.0; -30.0; -680.0; 2300.0; -2674.0; -11504.0; 254.0; -680.0
2020-06-30; 3236.0; 686.0; 188.0; 874.0; 15830.0; -22452.0; 3242.0; -17540.0; -20920.0; -16810.0; -428.0; 0.0; 0.0; 0.0; -16580.0; -16580.0; 4498.0; -12510.0; 2648.0; 0.0; 2648.0; -28.0; -28.0; -640.0; 1665.0; 3645.0; -25233.0; 394.0; -640.0
2020-03-31; 1780.0; 824.0; 1605.0; 2429.0; -23619.0; 12414.0; -4247.0; 35079.0; 19627.0; 23836.0; -354.0; 0.0; 0.0; 0.0; -7418.0; -7418.0; -13336.0; -21108.0; 5634.0; 0.0; 5634.0; -1782.0; -1782.0; -688.0; 44790.0; 47954.0; 49338.0; 154.0; -688.0
2019-12-31; 2305.0; 656.0; 469.0; 1125.0; 5368.0; 10881.0; -2779.0; -17036.0; -3566.0; -136.0; -366.0; 0.0; 0.0; 0.0; -89.0; -89.0; -7385.0; -7840.0; -3249.0; 0.0; -3249.0; -1507.0; -1010.0; -545.0; 14018.0; 9214.0; 2515.0; 328.0; -545.0
