Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-11-30; -195.0; 1921.0; 146.0; 2067.0; 1842.0; -1697.0; 0.0; 0.0; -911.0; 943.0; -2449.0; 0.0; 0.0; 272.0; 0.0; 272.0; -89.0; -2266.0; 3329.0; 0.0; 3329.0; -425.0; -425.0; -126.0; -146.0; 2632.0; 1303.0; 146.0; -126.0
2022-08-31; 1492.0; 1882.0; 137.0; 2019.0; 1096.0; -1033.0; 0.0; 0.0; 425.0; 3777.0; -3613.0; 0.0; 0.0; -18.0; 0.0; -18.0; -193.0; -3824.0; -24.0; 0.0; -24.0; -793.0; -793.0; -126.0; 103.0; -840.0; -922.0; 136.0; -126.0
2022-05-31; 2626.0; 1821.0; 174.0; 1995.0; -862.0; -246.0; 0.0; 0.0; -833.0; 3838.0; -2583.0; 0.0; 0.0; -18.0; 0.0; -18.0; 16.0; -2585.0; -27.0; 0.0; -27.0; -985.0; -985.0; -111.0; -38.0; -1161.0; 37.0; 131.0; -111.0
2022-02-28; 2263.0; 1742.0; 129.0; 1871.0; -111.0; -556.0; 0.0; 0.0; -518.0; 3628.0; -2611.0; 0.0; 0.0; -28.0; 0.0; -28.0; -52.0; -2691.0; -32.0; 0.0; -32.0; -520.0; -520.0; -112.0; 198.0; -466.0; 461.0; 129.0; -112.0
2021-11-30; 2306.0; 1671.0; 201.0; 1872.0; 67.0; -344.0; 0.0; 0.0; -319.0; 3938.0; -2372.0; 0.0; 0.0; -91.0; 0.0; -91.0; -22.0; -2485.0; 51.0; 0.0; 51.0; -259.0; -259.0; -112.0; -193.0; -513.0; 934.0; 118.0; -112.0
2021-08-31; 2720.0; 1621.0; 101.0; 1722.0; -1106.0; 52.0; 0.0; 0.0; -535.0; 3884.0; -2015.0; 0.0; 0.0; -635.0; 0.0; -635.0; 116.0; -2534.0; -176.0; 0.0; -176.0; -1060.0; -1060.0; 0.0; -108.0; -1344.0; 3.0; 93.0; 0.0
2021-05-31; 1735.0; 1557.0; 543.0; 2100.0; -873.0; 185.0; 0.0; 0.0; -220.0; 3560.0; -2259.0; 0.0; 0.0; 3.0; 0.0; 3.0; 175.0; -2081.0; -53.0; 0.0; -53.0; -156.0; -156.0; 0.0; -19.0; -228.0; 1252.0; 96.0; 0.0
2021-02-28; 603.0; 1549.0; 121.0; 1670.0; 282.0; 499.0; 0.0; 0.0; 757.0; 3057.0; -3018.0; 0.0; 0.0; 316.0; 0.0; 316.0; 146.0; -2556.0; -19.0; 0.0; -19.0; -21.0; -21.0; 0.0; 45.0; 5.0; 522.0; 97.0; 0.0
2020-11-30; 803.0; 1487.0; 68.0; 1555.0; 251.0; 130.0; 0.0; 0.0; -372.0; 1967.0; -2738.0; 0.0; 0.0; -741.0; 0.0; -741.0; 61.0; -3418.0; -84.0; 0.0; -84.0; -57.0; -57.0; 0.0; -73.0; -214.0; -1638.0; 92.0; 0.0
2020-08-31; 990.0; 1547.0; 110.0; 1657.0; -262.0; -187.0; 0.0; 0.0; -424.0; 2271.0; -2280.0; 0.0; 0.0; -585.0; 0.0; -585.0; 127.0; -2738.0; -80.0; 0.0; -80.0; -251.0; -251.0; 0.0; 149.0; -182.0; -630.0; 89.0; 0.0
2020-05-31; 805.0; 1426.0; 103.0; 1529.0; -565.0; -179.0; 0.0; 0.0; -339.0; 2023.0; -1944.0; 0.0; 0.0; -16.0; 0.0; -16.0; 8.0; -1952.0; 1140.0; 0.0; 1140.0; 0.0; 0.0; 0.0; -68.0; 1072.0; 1149.0; 82.0; 0.0
2020-02-29; 407.0; 1371.0; 66.0; 1437.0; 312.0; -244.0; 0.0; 0.0; 185.0; 2001.0; -2056.0; 0.0; 0.0; 272.0; 0.0; 272.0; 74.0; -1710.0; -261.0; 0.0; -261.0; 0.0; 0.0; 0.0; 46.0; -215.0; 76.0; 85.0; 0.0
2019-11-30; 508.0; 1306.0; 49.0; 1355.0; -208.0; 175.0; 0.0; 0.0; 145.0; 2011.0; -1943.0; 0.0; 0.0; 744.0; 0.0; 744.0; 10.0; -1189.0; -165.0; 0.0; -165.0; 0.0; 0.0; 0.0; -827.0; -992.0; -184.0; 72.0; 0.0
2019-08-31; 586.0; 1426.0; -65.0; 1361.0; 58.0; -174.0; 0.0; 0.0; 413.0; 2233.0; -2028.0; 0.0; 0.0; 744.0; 0.0; 744.0; 184.0; -1100.0; 786.0; 0.0; 786.0; -2.0; -2.0; 0.0; 108.0; 892.0; 2045.0; 67.0; 0.0
2019-05-31; 851.0; 1370.0; 250.0; 1620.0; 1171.0; -515.0; 0.0; 0.0; 279.0; 2711.0; -2403.0; 0.0; 0.0; 98.0; 0.0; 98.0; 239.0; -2066.0; -1671.0; 0.0; -1671.0; -159.0; -159.0; 0.0; -17.0; -1847.0; -1195.0; 58.0; 0.0
