Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; -295.39; 202.1; 23.21; 225.32; 199.43; -1.64; 29.39; -54.57; 152.32; 82.25; -1302.14; 0.0; 0.0; 0.0; 0.0; 0.0; -208.28; -1510.42; 733.28; 0.0; 733.28; 2.71; 2.71; 0.0; -24.34; 711.65; -716.52; 26.08; 0.0
2022-06-30; -509.32; 195.86; 41.26; 237.12; -52.59; -12.61; 9.58; 427.19; 534.39; 262.19; -161.02; 0.0; 0.0; 0.0; 0.0; 0.0; 0.3; -160.72; -333.44; 0.0; -333.44; 0.0; 0.0; 0.0; -1.62; -335.07; -233.6; 30.05; 0.0
2022-03-31; -982.71; 195.46; 198.61; 394.08; 618.85; -24.14; -136.77; -214.73; 217.62; -371.01; -165.28; 0.0; 0.0; 240.0; 0.0; 240.0; 4.94; 79.66; 1137.73; 0.0; 1137.73; 2.56; 2.56; 0.0; -218.74; 921.55; 630.19; 32.79; 0.0
2021-12-31; -1572.72; 197.63; 817.93; 1015.57; -180.11; -10.8; 137.01; 142.09; 241.5; -315.66; -213.31; 0.0; 0.0; 325.0; 0.0; 325.0; -7.76; 103.93; 32.42; 0.0; 32.42; 1107.45; 1107.45; 0.0; -791.3; 348.56; 136.83; 35.1; 0.0
2021-09-30; -845.88; 188.53; 36.44; 224.97; -571.77; -16.72; -11.19; 454.85; -49.38; -670.3; -230.05; 0.0; 0.0; -180.0; 0.0; -180.0; 2.29; -407.76; 112.4; 0.0; 112.4; 2.05; 2.05; 0.0; -31.73; 82.73; -995.32; 39.92; 0.0
2021-06-30; -717.79; 188.64; 1.11; 189.74; -405.47; -7.61; 19.58; 280.15; -102.0; -630.04; -173.13; 0.0; 0.0; -180.0; 0.0; -180.0; -3.82; -356.95; 52.16; 0.0; 52.16; -0.02; -0.02; 0.0; -3.04; 49.1; -937.89; 22.45; 0.0
2021-03-31; -1370.19; 183.81; 628.58; 812.39; -2.65; -2.35; 6.63; -331.17; -294.2; -852.01; -136.35; 0.0; 0.0; -205.0; 0.0; -205.0; -1.92; -343.27; 291.28; 0.0; 291.28; 1559.5; 1559.5; 0.0; -652.95; 1197.83; 2.55; 26.6; 0.0
2020-12-31; -738.93; 174.41; 60.35; 234.76; 42.9; -2.2; -32.95; -146.73; -152.8; -637.62; -73.4; 0.0; 0.0; 0.0; 31.52; 31.52; -31.86; -73.75; 846.32; 0.0; 846.32; 822.61; 822.61; 0.0; -16.57; 1652.37; 944.27; 30.29; 0.0
2020-09-30; -677.37; 185.83; 41.42; 227.25; -9.99; 0.76; -357.98; 204.66; -140.13; -590.25; -147.66; 0.0; 0.0; 0.0; -31.52; -31.52; 29.13; -150.05; 581.5; 0.0; 581.5; 278.62; 278.62; 0.0; -24.22; 835.89; 96.26; 25.86; 0.0
2020-06-30; -715.24; 184.18; 15.87; 200.05; 21.0; 2.74; 111.3; -816.53; -760.49; -1275.68; -115.32; 0.0; 0.0; 0.0; 28.61; 28.61; -26.95; -113.67; 1928.45; 0.0; 1928.45; 441.94; 441.94; 0.0; -81.91; 2288.48; 899.69; 22.39; 0.0
2020-03-31; -1880.97; 195.19; 1655.04; 1850.23; -23.11; 9.26; 258.21; -142.78; -21.96; -52.7; -610.15; 0.0; 0.0; 0.0; -28.61; -28.61; 0.87; -637.89; 1826.34; 0.0; 1826.34; 4.1; 4.1; 0.0; -27.97; 1802.47; 1107.38; 32.76; 0.0
2019-12-31; 121.3; 164.6; 24.06; 188.67; -1.36; -1.47; 27.89; 42.07; 65.6; 375.56; -1021.18; 0.0; 0.0; 0.0; 0.56; 0.56; -48.35; -1068.98; 545.92; 0.0; 545.92; 13.73; 13.73; 0.0; -20.62; 539.03; -154.38; 12.98; 0.0
2019-09-30; 450.58; 156.03; 27.68; 183.7; 2.38; -3.34; -4.83; -269.64; -228.47; 405.82; -202.1; 0.0; 0.0; 0.0; -0.84; -0.84; 1.28; -201.66; -73.74; 0.0; -73.74; -142.95; -142.95; 0.0; -0.13; -216.83; -12.67; 25.42; 0.0
2019-06-30; 240.19; 156.76; 31.44; 188.19; -12.94; -0.85; 8.22; 121.12; 85.37; 513.75; -199.33; 0.0; 0.0; 0.0; 0.29; 0.29; 3.5; -195.54; -203.03; 0.0; -203.03; 3.55; 3.55; 0.0; -3.52; -202.99; 115.22; 29.65; 0.0
2019-03-31; 118.16; 169.71; -3.06; 166.65; -2.18; -0.5; -89.91; 379.53; 242.66; 527.47; -214.56; 0.0; 0.0; 0.0; 0.0; 0.0; 0.55; -214.01; 46.41; 0.0; 46.41; -192.25; -192.25; 0.0; -26.76; -172.6; 140.86; 27.0; 0.0
2018-12-31; 154.63; 146.82; 25.8; 172.62; -10.24; 5.18; 103.38; -48.52; 27.82; 355.07; -205.12; 0.0; 0.0; 0.0; -1.72; -1.72; 0.26; -206.58; -69.23; 0.0; -69.23; -199.13; -199.13; 0.0; -2.74; -271.1; -122.61; 27.19; 0.0
2018-09-30; 470.38; 145.31; 31.39; 176.7; -3.56; -2.81; -0.64; -255.76; -180.78; 466.3; -110.24; 0.0; 0.0; 0.0; 0.0; 0.0; 0.25; -109.99; -280.6; 0.0; -280.6; 7.62; 7.62; 0.0; -1.87; -274.86; 81.45; 28.96; 0.0
2018-06-30; 226.68; 140.3; 36.51; 176.8; -3.71; -12.79; -9.52; 207.43; 239.56; 643.04; -1107.56; 0.0; 0.0; 0.0; 0.0; 0.0; 65.05; -1042.51; 500.4; 0.0; 500.4; -186.94; -186.94; 0.0; -10.74; 302.73; -96.74; 31.73; 0.0
2018-03-31; 103.16; 134.55; 30.17; 164.71; 1.62; 1.36; 13.16; 329.93; 342.89; 610.76; -143.87; 0.0; 0.0; 0.0; 0.0; 0.0; 0.25; -143.62; 38.05; 0.0; 38.05; -257.54; -257.54; 0.0; -122.09; -341.58; 125.56; 28.1; 0.0
2017-12-31; 98.8; 135.53; 39.61; 175.14; 14.48; -3.21; 10.09; -41.06; -32.33; 241.61; -242.7; 0.0; 0.0; 0.0; -0.44; -0.44; 3.01; -240.13; -310.94; 0.0; -310.94; 1.97; 1.97; 0.0; -39.23; -348.19; -346.71; 23.38; 0.0
2017-09-30; 400.69; 137.34; 32.92; 170.26; -11.73; -3.11; -6.17; -206.84; -131.05; 439.91; -64.25; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -64.25; -85.29; 0.0; -85.29; 14.85; 14.85; 0.0; -1.63; -72.07; 303.59; 21.44; 0.0
2017-06-30; 198.47; 127.03; 28.18; 155.2; -2.64; -5.63; -17.29; 165.74; 131.11; 484.79; -947.49; 0.0; 0.0; 0.0; -35.26; -35.26; 0.0; -982.74; 524.97; 0.0; 524.97; 3.75; 3.75; 0.0; -31.23; 497.48; -0.47; 24.02; 0.0
2017-03-31; 61.91; 121.59; 20.12; 141.71; 14.94; -5.18; 27.42; 213.46; 231.32; 434.94; -117.78; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -117.78; -229.24; 0.0; -229.24; 9.47; 9.47; 0.0; -5.95; -225.72; 91.44; 18.2; 0.0
2016-12-31; 72.23; 118.27; 42.78; 161.05; -9.7; -0.05; -8.31; -42.64; -57.96; 175.33; -176.16; 0.0; 0.0; 0.0; -2.65; -2.65; 0.13; -178.68; 10.17; 0.0; 10.17; 1.95; 1.95; 0.0; -35.85; -23.73; -27.08; 18.12; 0.0
2016-09-30; 342.38; 115.1; 16.06; 131.16; 5.05; 0.54; 13.42; -168.47; -132.82; 340.72; -151.04; 0.0; 0.0; 0.0; -0.17; -0.17; 0.0; -151.21; -177.96; 0.0; -177.96; 3.04; 3.04; 0.0; -5.13; -180.05; 9.47; 16.84; 0.0
2016-06-30; 145.25; 107.58; 43.22; 150.8; -15.29; -5.31; -13.62; 189.49; 121.9; 417.94; -632.87; 0.0; 0.0; 0.0; -32.96; -32.96; 0.0; -665.83; 263.42; 0.0; 263.42; 1.03; 1.03; 0.0; -25.46; 238.99; -8.9; 16.2; 0.0
2016-03-31; 73.23; 104.69; 4.03; 108.72; -1.04; -4.36; 2.75; 143.23; 148.15; 330.1; -132.03; 0.0; 0.0; 0.0; -1.17; -1.17; 0.0; -133.19; -104.25; 0.0; -104.25; -46.85; -46.85; 0.0; -6.87; -157.97; 38.93; 15.24; 0.0
2015-12-31; 38.31; 122.47; 28.3; 150.77; -5.24; -6.02; 5.11; -100.16; -118.65; 68.79; -791.18; 0.0; 0.0; 0.0; -87.44; -87.44; 2.83; -875.78; 800.9; 0.0; 800.9; -97.23; -97.23; 0.0; -10.92; 692.75; -114.24; 14.35; 0.0
2015-09-30; 251.79; 113.14; 8.54; 121.69; -5.19; 4.86; -10.8; -94.58; -111.78; 261.69; -125.75; -0.75; 0.0; 0.0; 1.09; 1.09; 0.0; -125.41; -81.58; 0.0; -81.58; 4.94; 4.94; 0.0; -2.41; -79.06; 57.22; 13.69; 0.0
2015-06-30; 158.49; 110.18; -33.33; 76.86; -5.84; -3.17; -29.58; 151.6; 161.55; 396.9; -131.93; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -131.93; -216.67; 0.0; -216.67; 3.23; 3.23; 0.0; -0.0; -213.44; 51.54; 2.16; 0.0
2015-03-31; -21.46; 104.53; 32.19; 136.72; 1.47; -0.08; -17.45; 251.07; 199.53; 314.79; -73.13; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -73.13; -253.19; 0.0; -253.19; 51.79; 51.79; 0.0; -3.66; -205.06; 36.6; 12.01; 0.0
2014-12-31; -25.65; 91.57; 37.26; 128.84; 0.42; 7.29; -12.14; -111.65; -168.31; -65.12; -99.8; 0.0; -826.69; 0.0; -5.33; -5.33; 0.0; -931.82; 1065.14; 0.0; 1065.14; 2.78; 2.78; 0.0; -42.02; 1025.9; 28.95; 5.07; 0.0
2014-09-30; 203.28; 72.08; -1.36; 70.72; 1.21; 1.3; -2.87; -104.64; -92.38; 181.62; -77.27; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -77.27; -38.97; 0.0; -38.97; -1.92; -1.92; 0.0; -71.07; -111.96; -7.61; 4.47; 0.0
2014-06-30; 113.28; 71.52; 5.02; 76.54; -9.14; -4.46; 23.16; 74.13; 101.16; 290.97; -41.26; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -41.26; -170.54; 0.0; -170.54; -77.34; -77.34; 0.0; -3.12; -251.0; -1.28; 3.24; 0.0
