Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 66.0; 179.0; 30.0; 209.0; -96.0; -61.0; 0.0; 0.0; -325.0; -31.0; -100.0; 0.0; -3.0; 0.0; -8.0; -8.0; -19.0; -130.0; -9.0; 0.0; -9.0; -127.0; -127.0; -31.0; 18.0; -149.0; -364.0; 0.0; -31.0
2022-06-30; 127.0; 183.0; -161.0; 22.0; 11.0; -5.0; 0.0; 0.0; 81.0; 324.0; -179.0; 0.0; -334.0; 0.0; -13.0; -13.0; 4.0; -522.0; 357.0; 0.0; 357.0; -54.0; -54.0; -61.0; -12.0; 230.0; -43.0; 0.0; -61.0
2022-03-31; 104.0; 172.0; 40.0; 212.0; 160.0; -88.0; 0.0; 0.0; 284.0; 600.0; -107.0; 0.0; -1146.0; 0.0; -53.0; -53.0; 1.0; -1305.0; 500.0; 0.0; 500.0; -82.0; -82.0; -28.0; -18.0; 372.0; -319.0; 0.0; -28.0
2021-12-31; 262.0; 168.0; 90.0; 258.0; -231.0; 65.0; 0.0; 0.0; -168.0; 362.0; -107.0; 0.0; -21.0; 0.0; -30.0; -30.0; 4.0; -154.0; 0.0; 0.0; 0.0; -43.0; -43.0; -59.0; -11.0; -113.0; 84.0; 0.0; -59.0
2021-09-30; 267.0; 165.0; 59.0; 224.0; 9.0; -59.0; 0.0; 0.0; -290.0; 68.0; -103.0; 0.0; 0.0; 0.0; -16.0; -16.0; 24.0; -95.0; -5.0; 0.0; -5.0; 0.0; 0.0; -27.0; -53.0; -85.0; -136.0; 0.0; -27.0
2021-06-30; -15.0; 176.0; -45.0; 131.0; -99.0; 27.0; 0.0; 0.0; 71.0; 177.0; -137.0; 0.0; -795.0; 0.0; -14.0; -14.0; 0.0; -946.0; 1119.0; 0.0; 1119.0; 0.0; 0.0; -59.0; -32.0; 1028.0; 262.0; 0.0; -59.0
2021-03-31; 96.0; 173.0; 49.0; 222.0; 105.0; -48.0; 0.0; 0.0; 313.0; 577.0; -59.0; 0.0; -1.0; 0.0; -14.0; -14.0; 4.0; -70.0; -59.0; 0.0; -59.0; 0.0; 0.0; -24.0; -27.0; -110.0; 412.0; 0.0; -24.0
2020-12-31; 261.0; 167.0; 46.0; 213.0; -126.0; 25.0; 0.0; 0.0; -95.0; 328.0; -79.0; 0.0; -89.0; 0.0; -4.0; -4.0; -8.0; -180.0; -106.0; 0.0; -106.0; 0.0; 0.0; -60.0; -3.0; -169.0; 23.0; 0.0; -60.0
2020-09-30; 47.0; 164.0; 43.0; 207.0; -46.0; 2.0; 0.0; 0.0; -86.0; 155.0; -91.0; 0.0; -1.0; 0.0; -7.0; -7.0; 3.0; -96.0; 4.0; 0.0; 4.0; 0.0; 0.0; -20.0; -34.0; -50.0; 22.0; 0.0; -20.0
2020-06-30; -401.0; 160.0; 375.0; 535.0; 123.0; 56.0; 0.0; 0.0; 174.0; 318.0; -70.0; 0.0; -30.0; 0.0; -1.0; -1.0; 1.0; -100.0; -64.0; 0.0; -64.0; 0.0; 0.0; -58.0; -9.0; -131.0; 129.0; 0.0; -58.0
2020-03-31; -1036.0; 160.0; 1123.0; 1283.0; 68.0; -50.0; 0.0; 0.0; 34.0; 270.0; -105.0; 0.0; 0.0; 0.0; 12.0; 12.0; 0.0; -93.0; 8.0; 0.0; 8.0; 0.0; 0.0; -19.0; -2.0; -13.0; 116.0; 0.0; -19.0
2019-12-31; 103.0; 162.0; 75.0; 237.0; -110.0; 75.0; 0.0; 0.0; -176.0; 165.0; -113.0; 0.0; -2.0; 0.0; -3.0; -3.0; 2.0; -116.0; -153.0; 0.0; -153.0; 0.0; 0.0; -59.0; -21.0; -233.0; -169.0; 0.0; -59.0
