Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 220.29; 409.06; -29.27; 379.79; 73.82; 0.0; 0.0; 0.0; 76.73; 676.8; -1708.05; 0.0; 0.0; 0.0; 0.0; 0.0; 99.4; -1608.64; 769.49; 0.0; 769.49; 694.37; 694.37; -459.47; -0.25; 1004.14; 15.25; 0.0; -459.47
2022-06-30; 223.82; 400.5; -43.53; 356.97; 151.72; 0.0; 0.0; 0.0; 162.29; 743.08; -1506.4; 0.0; 0.0; 0.0; 0.0; 0.0; 3.91; -1502.49; 206.48; 0.0; 206.48; 1059.53; 1059.53; -446.72; -10.18; 809.11; 30.82; 0.0; -446.72
2022-03-31; 199.97; 392.91; -16.21; 376.7; -17.7; 0.0; 0.0; 0.0; -63.19; 513.48; -1417.07; 0.0; 0.0; 0.0; 0.0; 0.0; -0.94; -1418.01; 615.86; 0.0; 615.86; 658.89; 658.89; -439.16; -14.52; 821.07; -89.52; 0.0; -439.16
2021-12-31; 4.47; 353.55; 21.76; 375.31; 8.38; 0.0; 0.0; 0.0; -27.65; 352.12; -2484.1; 0.0; 0.0; 0.0; 0.0; 0.0; -350.64; -2834.74; 388.79; 0.0; 388.79; 1710.92; 1710.92; -371.69; 517.09; 2245.1; -213.73; 0.0; -371.69
2021-09-30; 135.28; 205.73; 1.52; 207.25; 21.3; 0.0; 0.0; 0.0; 46.41; 388.93; -1583.1; 0.0; 0.0; 0.0; 0.0; 0.0; 5.72; -1577.38; 138.7; 0.0; 138.7; 1618.46; 1618.46; -274.2; -12.73; 1470.24; 279.11; 0.0; -274.2
2021-06-30; 124.77; 194.75; -4.4; 190.35; -46.6; 0.0; 0.0; 0.0; -0.44; 314.68; -1020.7; 0.0; 0.0; 0.0; 0.0; 0.0; -11.15; -1031.85; 603.11; 0.0; 603.11; 452.33; 452.33; -263.75; 0.21; 791.9; 73.66; 0.0; -263.75
2021-03-31; 96.24; 184.06; 39.55; 223.6; -21.37; 0.0; 0.0; 0.0; -53.39; 266.45; -993.73; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -993.73; -289.9; 0.0; -289.9; 672.24; 672.24; -261.1; -51.36; 69.88; -657.35; 0.0; -261.1
2020-12-31; 118.15; 180.25; 1.03; 181.28; -19.49; 0.0; 0.0; 0.0; 6.31; 305.74; -917.68; 0.0; 0.0; 0.0; 0.0; 0.0; -2.87; -920.55; 334.82; 0.0; 334.82; 654.97; 654.97; -248.03; -18.44; 723.32; 111.67; 0.0; -248.03
2020-09-30; 23.14; 173.77; 86.11; 259.88; 1.34; 0.0; 0.0; 0.0; 12.14; 295.16; -611.46; 0.0; 0.0; 300.0; 0.0; 300.0; 2.77; -308.69; 520.42; 0.0; 520.42; 350.19; 350.19; -242.64; -9.19; 618.78; 608.69; 0.0; -242.64
2020-06-30; 108.07; 175.19; 13.2; 188.38; -64.1; 0.0; 0.0; 0.0; -47.03; 249.43; -152.57; 0.0; 0.0; -300.0; 0.0; -300.0; 0.85; -451.72; 344.74; 0.0; 344.74; 96.53; 96.53; -240.87; -5.7; 194.7; -6.84; 0.0; -240.87
2020-03-31; 147.14; 172.33; -23.31; 149.02; 3.0; 0.0; 0.0; 0.0; -30.95; 265.22; -350.67; 0.0; 0.0; 0.0; 0.0; 0.0; -0.74; -351.41; -327.0; 0.0; -327.0; 731.25; 731.25; -234.22; -14.76; 155.28; 66.15; 0.0; -234.22
2019-12-31; 129.55; 161.85; -9.15; 152.7; -1.07; 0.0; 0.0; 0.0; 8.98; 291.23; -1524.31; 0.0; 0.0; 0.0; 0.0; 0.0; -7.43; -1531.74; 703.93; 0.0; 703.93; 577.05; 577.05; -222.79; 3.22; 1061.41; -188.28; 0.0; -222.79
2019-09-30; 101.28; 154.68; 10.04; 164.72; 3.36; 0.0; 0.0; 0.0; 22.05; 288.04; -397.61; 0.0; 0.0; 0.0; 0.0; 0.0; 2.45; -395.16; -25.0; 0.0; -25.0; 568.75; 568.75; -216.64; -0.71; 326.39; 219.4; 0.0; -216.64
