Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 104.9; -254.6; -2139.2; -2393.8; 2794.5; 0.0; -2727.6; -4288.8; -3630.3; -5919.2; 229.0; 0.0; 0.0; 3266.6; 3396.8; 6663.4; 68.7; 6961.1; -1486.0; 0.0; -1486.0; 78.6; 78.6; 202.3; 0.0; -1205.1; -163.2; -69.7; 175.5
2022-09-30; 124.1; 55.7; 245.7; 301.4; -1651.5; 0.0; 632.1; 2835.6; 1601.8; 2027.3; -103.9; 0.0; 0.0; 398.5; -2150.8; -1752.3; 74.7; -1781.5; 0.0; 0.0; 0.0; -49.1; -49.1; -71.9; 0.0; -121.0; 124.8; 26.0; -58.5
2022-06-30; -542.9; 86.2; 1427.6; 1513.8; 21.0; 0.0; 174.8; 676.3; 418.7; 1389.6; -58.6; 0.0; 0.0; -4078.2; 3115.7; -962.5; -356.0; -1377.1; 0.0; 0.0; 0.0; -0.8; -0.8; -58.5; 0.0; -59.3; -46.8; 26.4; -58.5
2022-03-31; 313.9; 112.7; 465.9; 578.6; -1164.0; 0.0; 1920.7; 776.9; 1609.8; 2502.3; -66.5; 0.0; 0.0; 413.1; -4361.7; -3948.6; 212.6; -3802.5; 1486.0; 0.0; 1486.0; -28.7; -28.7; -71.9; 0.0; 1385.4; 85.2; 17.3; -58.5
2021-12-31; 962.3; 123.5; -366.8; -243.3; 911.6; 0.0; -1688.9; 440.2; -266.9; 452.1; -52.1; 0.0; 0.0; 146.4; 617.3; 763.7; -256.3; 455.3; 0.0; 0.0; 0.0; -55.8; -55.8; -935.0; 0.0; -990.8; -83.4; 32.0; -935.0
2021-09-30; 118.5; 124.2; -15.3; 108.9; -1146.3; 0.0; 1430.7; 1934.6; 2143.8; 2371.2; -38.2; 0.0; 0.0; 622.3; -2128.3; -1506.0; -12.4; -1556.6; -500.0; 0.0; -500.0; -71.8; -71.8; -71.9; 0.0; -643.7; 170.9; 26.0; -58.5
2021-06-30; 790.1; 111.2; -433.3; -322.1; -238.3; 0.0; 780.8; 1678.2; 1855.9; 2323.9; -44.0; 0.0; -313.2; 610.2; -2545.4; -1935.2; 49.0; -2243.4; -20.0; 0.0; -20.0; -10.6; -10.6; -58.5; 0.0; -89.1; -8.6; 26.9; -58.5
2021-03-31; 1480.0; 108.8; -570.6; -461.8; -1182.5; 0.0; 1988.5; 506.5; 1596.3; 2614.5; -43.0; 0.0; 0.0; 2976.8; -2976.5; 0.3; 267.6; 224.9; 0.0; 0.0; 0.0; -84.8; -84.8; -2707.9; 0.0; -2792.7; 46.7; 15.8; -2694.5
2020-12-31; 1684.3; 116.3; -727.9; -611.6; 382.1; 0.0; -752.6; 790.1; 474.6; 1547.3; -38.7; 0.0; 0.0; -549.1; -504.7; -1053.8; -373.7; -1466.2; 0.0; 0.0; 0.0; -37.1; -37.1; -58.6; 0.0; -95.7; -14.6; 27.5; -58.6
2020-09-30; 1530.8; 115.0; -512.9; -397.9; -1349.9; 0.0; 1465.4; 900.0; 346.8; 1479.7; -57.0; 0.0; 0.0; 39.0; -1553.7; -1514.7; 191.3; -1380.4; 0.0; 0.0; 0.0; -45.4; -45.4; -71.9; 0.0; -117.3; -18.0; 16.7; -58.5
