Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 2222.0; 358.0; -90.0; 268.0; -336.0; -74.0; 101.0; 543.0; 468.0; 3068.0; -252.0; 0.0; 0.0; 0.0; 0.0; 0.0; 156.0; -96.0; -1482.0; 1274.0; -208.0; 0.0; 0.0; -1942.0; -121.0; -2271.0; 331.0; 0.0; -1942.0
2022-06-30; 2346.0; 287.0; -106.0; 181.0; -74.0; 1099.0; 160.0; -34.0; 820.0; 3524.0; -249.0; 0.0; 0.0; 0.0; 0.0; 0.0; 390.0; 141.0; -1.0; -876.0; -877.0; 0.0; 0.0; -1945.0; -277.0; -3099.0; 417.0; 0.0; -1945.0
2022-03-31; 2465.0; 253.0; -29.0; 224.0; -553.0; -232.0; 14.0; -835.0; -1699.0; 1118.0; -229.0; 0.0; 0.0; 0.0; -20.0; -20.0; 53.0; -196.0; -496.0; 2221.0; 1725.0; -209.0; -209.0; -1952.0; -265.0; -701.0; 126.0; 0.0; -1952.0
2021-12-31; 2229.0; 279.0; 13.0; 292.0; 156.0; -686.0; 488.0; 1643.0; 1605.0; 4032.0; -289.0; 0.0; -242.0; 0.0; -8.0; -8.0; 199.0; -340.0; -1063.0; 18.0; -1045.0; -681.0; -681.0; -1952.0; -123.0; -3801.0; -300.0; 0.0; -1952.0
2021-09-30; 2588.0; 235.0; -28.0; 207.0; 273.0; 468.0; 181.0; -80.0; 1037.0; 3870.0; -152.0; 0.0; -1842.0; 0.0; -26.0; -26.0; 130.0; -1890.0; 0.0; 90.0; 90.0; -94.0; -94.0; -1876.0; -173.0; -2053.0; -120.0; 0.0; -1876.0
2021-06-30; 2298.0; 239.0; -21.0; 218.0; -200.0; 462.0; 51.0; 1168.0; 1113.0; 3630.0; -128.0; 0.0; -27.0; 0.0; 0.0; 0.0; -28.0; -183.0; -347.0; -59.0; -406.0; 0.0; 0.0; -1873.0; -195.0; -2474.0; 1014.0; 0.0; -1873.0
2021-03-31; 2595.0; 245.0; -3.0; 242.0; -427.0; 305.0; -67.0; -2108.0; -2388.0; 435.0; -179.0; 0.0; 0.0; 0.0; 0.0; 0.0; 234.0; 55.0; -1632.0; -49.0; -1681.0; 0.0; 0.0; -1879.0; -89.0; -3649.0; -3379.0; 0.0; -1879.0
2020-12-31; 2119.0; 272.0; 74.0; 346.0; 167.0; -988.0; 428.0; 1147.0; 675.0; 3162.0; -140.0; 0.0; 0.0; 0.0; -44.0; -44.0; -402.0; -586.0; 1483.0; 89.0; 1572.0; 0.0; 0.0; -1879.0; -158.0; -465.0; 2458.0; 0.0; -1879.0
2020-09-30; 2437.0; 239.0; -135.0; 104.0; 197.0; 843.0; 142.0; -246.0; 988.0; 3614.0; -152.0; 0.0; 0.0; 0.0; 0.0; 0.0; -282.0; -434.0; -358.0; -129.0; -487.0; 0.0; 0.0; -1827.0; -214.0; -2528.0; 620.0; 0.0; -1827.0
2020-06-30; 2049.0; 229.0; -24.0; 205.0; -454.0; 555.0; -99.0; -118.0; -295.0; 1925.0; -140.0; 0.0; 0.0; 0.0; -1.0; -1.0; -507.0; -648.0; 2230.0; -1152.0; 1078.0; 0.0; 0.0; -1830.0; -202.0; -954.0; 457.0; 0.0; -1830.0
