Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 88.85; 76.65; 8.9; 85.55; -10.29; 0.0; 0.0; 14.55; 26.09; 200.49; -45.75; 0.0; -6.89; 0.0; 5.92; 5.92; 0.12; -46.6; -8.77; 0.0; -8.77; -3.57; -3.57; -108.08; 0.33; -120.09; 33.79; 4.09; -108.08
2022-06-30; 105.99; 75.57; -10.58; 64.99; -11.65; 0.0; 0.0; -3.68; 13.89; 184.87; -155.47; 0.0; -2.76; 0.0; 34.51; 34.51; 0.1; -123.62; -2.88; 0.0; -2.88; -10.76; -10.76; -107.46; 2.3; -118.79; -57.54; 4.34; -107.46
2022-03-31; 196.82; 73.92; -93.58; -19.66; 3.4; 0.0; 0.0; -8.28; -34.27; 142.89; -83.77; 0.0; -5.55; 0.0; 147.57; 147.57; 0.11; 58.35; -2.85; 0.0; -2.85; -6.18; -6.18; -107.36; -1.15; -117.54; 83.7; 4.16; -107.36
2021-12-31; 68.98; 72.1; 31.17; 103.27; -16.21; 0.0; 0.0; 14.07; -21.34; 150.91; -370.74; 0.0; -1.55; 0.0; 86.82; 86.82; 0.69; -284.78; -31.06; 0.0; -31.06; -0.02; -0.02; -101.64; -1.07; -133.79; -267.66; 3.24; -101.64
2021-09-30; 118.85; 70.52; 0.44; 70.96; -21.37; 0.0; 0.0; -3.96; -6.62; 183.19; -126.7; 0.0; -8.36; 0.0; 60.4; 60.4; 0.06; -74.61; -12.57; 0.0; -12.57; 82.46; 82.46; -101.12; -1.28; -32.51; 76.07; 3.38; -101.12
2021-06-30; 96.83; 69.93; 2.91; 72.84; -3.05; 0.0; 0.0; -2.58; 16.25; 185.93; -41.36; 0.0; -5.93; 0.0; 113.53; 113.53; 0.02; 66.26; -2.56; 0.0; -2.56; -0.02; -0.02; -101.11; -1.2; -104.9; 147.29; 3.47; -101.11
2021-03-31; 81.62; 73.85; -7.14; 66.71; 15.76; 0.0; 0.0; -10.02; -8.97; 139.36; -30.88; 0.0; -8.14; 0.0; 45.75; 45.75; 0.03; 6.77; -7.08; -265.0; -272.08; -3.9; -3.9; -101.03; -8.25; -385.26; -239.13; 2.42; -101.03
2020-12-31; 39.22; 77.5; 6.58; 84.08; 12.87; 0.0; 0.0; 7.58; 1.23; 124.53; -31.51; 0.0; -14.57; 0.0; 78.64; 78.64; 7.33; 39.88; -66.25; 0.0; -66.25; 0.0; 0.0; 0.0; -0.58; -66.84; 97.57; 2.93; 0.0
2020-09-30; 13.31; 79.75; 25.24; 104.99; 28.18; 0.0; 0.0; 1.45; 38.87; 157.17; -41.44; 0.0; -3.52; 0.0; 7.62; 7.62; -0.06; -37.4; -303.02; 0.0; -303.02; 0.09; 0.09; -101.02; -22.3; -426.26; -306.48; 3.44; -101.02
2020-06-30; 19.57; 77.68; -4.37; 73.31; -42.68; 0.0; 0.0; 3.05; -1.15; 91.74; -51.54; 0.0; -2.67; 0.0; 28.86; 28.86; -0.22; -25.57; 596.25; -705.0; -108.75; -0.25; -0.25; -101.02; -5.64; -215.66; -149.49; 3.9; -101.02
