Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 210.48; 44.03; 22.23; 66.26; -56.24; -147.1; 0.0; -36.78; -232.08; 44.66; -29.06; -3.32; -19.1; -4.29; 0.0; -4.29; -3.04; -58.81; 20.0; 0.0; 20.0; 2.61; 2.61; -64.43; -0.06; -41.88; -66.55; 16.92; -64.43
2022-06-30; 195.06; 45.01; 30.23; 75.23; -78.81; -102.2; 0.0; -40.13; -190.81; 79.49; -28.64; -3.75; -6.87; -4.11; 0.0; -4.11; -11.87; -55.24; 98.0; 0.0; 98.0; 21.11; 21.11; -61.49; -0.13; 57.5; 71.94; 15.99; -61.49
2022-03-31; 179.01; 51.61; 20.22; 71.83; 15.69; -70.23; 0.0; -106.59; -133.41; 117.44; -48.45; -3.71; 0.0; 2.55; 0.0; 2.55; 0.11; -49.49; 0.0; 0.0; 0.0; 2.81; 2.81; -61.42; -2.25; -60.86; 7.29; 15.86; -61.42
2021-12-31; 201.75; 49.61; 22.42; 72.03; 48.77; -83.27; 0.0; -7.0; -53.9; 219.88; -30.41; -9.28; -35.91; -5.76; 0.0; -5.76; -1.94; -83.31; -126.0; 0.0; -126.0; 19.1; 19.1; -61.24; -49.83; -217.97; -81.67; 16.1; -61.24
2021-09-30; 203.61; 47.62; 13.08; 60.7; 33.7; -55.98; 0.0; -14.39; -329.97; -65.66; -27.34; -4.45; 0.0; -6.6; 0.0; -6.6; -3.48; -41.87; 150.0; 0.0; 150.0; 4.35; 4.35; -61.19; -0.2; 92.97; -19.13; 17.3; -61.19
2021-06-30; 195.1; 45.68; 13.13; 58.81; -89.3; 26.44; 0.0; -17.12; -27.39; 226.53; -27.91; -2.96; -8.36; -1.75; 0.0; -1.75; -7.09; -48.07; -76.0; 0.0; -76.0; 19.03; 19.03; -56.8; -0.27; -114.04; 64.64; 16.89; -56.8
2021-03-31; -78.48; 47.88; 15.39; 63.27; -20.64; -14.18; 0.0; -11.16; 211.49; 196.28; -26.36; -2.78; -30.27; -5.59; 0.0; -5.59; 6.38; -58.62; -95.0; 0.0; -95.0; 0.14; 0.14; -56.75; -6.93; -158.54; -25.23; 15.59; -56.75
2020-12-31; 179.51; 48.07; 30.88; 78.95; -35.37; 18.18; 0.0; -33.29; -88.55; 169.92; -34.94; -3.13; -0.44; -6.25; 0.0; -6.25; 15.1; -29.66; -231.0; 0.0; -231.0; 17.59; 17.59; -56.65; -46.73; -316.8; -165.55; 15.37; -56.65
2020-09-30; 178.37; 49.89; 9.88; 59.77; 16.11; -52.4; 0.0; 3.42; -94.14; 144.0; -13.5; -5.24; 0.0; -8.2; 0.0; -8.2; 4.82; -22.11; -120.0; 0.0; -120.0; 1.03; 1.03; -56.51; 0.23; -175.26; -41.74; 16.07; -56.51
2020-06-30; 177.84; 45.51; 22.11; 67.62; 88.52; -47.32; 0.0; 9.72; 84.81; 330.26; -17.97; -3.22; 0.0; 0.0; 0.0; 0.0; 17.78; -3.41; -201.0; 0.0; -201.0; 22.07; 22.07; -56.48; -0.95; -236.37; 110.3; 16.14; -56.48
2020-03-31; 163.14; 46.47; 28.51; 74.97; -33.87; 5.73; 0.0; -1.91; 1.58; 239.69; -29.59; -2.52; -24.49; -9.78; 0.0; -9.78; -33.24; -99.61; 77.0; 0.0; 77.0; 1.81; 1.81; -56.41; -4.01; 18.39; 148.77; 14.11; -56.41
