Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 678.0; 297.0; 112.0; 409.0; -96.0; 0.0; 0.0; -80.0; -273.0; 814.0; 3489.0; 0.0; -33.0; -6.0; 0.0; -6.0; -3506.0; -56.0; 0.0; 0.0; 0.0; -2501.0; -2501.0; -348.0; -11.0; -2860.0; -2184.0; 17.0; -348.0
2022-06-30; 1051.0; 304.0; -453.0; -149.0; 200.0; 0.0; 0.0; -681.0; -448.0; 454.0; -2642.0; 0.0; -20.0; 0.0; 0.0; 0.0; 3506.0; 844.0; -391.0; -219.0; -610.0; -1498.0; -1498.0; -357.0; 402.0; -2063.0; -834.0; 49.0; -357.0
2022-03-31; 1299.0; 137.0; -1269.0; -1132.0; 187.0; 0.0; 0.0; 186.0; 55.0; 222.0; 2602.0; 0.0; 295.0; 4.0; 0.0; 4.0; 0.0; 2901.0; 2102.0; 0.0; 2102.0; -7000.0; -7000.0; -241.0; -66.0; -5205.0; -2098.0; 94.0; -241.0
2021-12-31; 736.0; 41.0; 93.0; 134.0; -266.0; 0.0; 0.0; 213.0; 70.0; 940.0; -13.0; 0.0; -80.0; -1.0; 0.0; -1.0; 16.0; -78.0; 0.0; 0.0; 0.0; 3.0; 3.0; -242.0; -2.0; -241.0; 598.0; 32.0; -242.0
2021-09-30; 861.0; 42.0; 98.0; 140.0; -31.0; 0.0; 0.0; -117.0; -34.0; 967.0; 3.0; 0.0; -9.0; -1.0; 0.0; -1.0; -2.0; -9.0; 0.0; 0.0; 0.0; 3.0; 3.0; -239.0; -10.0; -246.0; 686.0; 40.0; -239.0
2021-06-30; 858.0; 45.0; -7.0; 38.0; 88.0; 0.0; 0.0; -101.0; 27.0; 923.0; -9.0; 0.0; -1.0; -1.0; 0.0; -1.0; 2.0; -9.0; 0.0; 0.0; 0.0; 4.0; 4.0; -234.0; -3.0; -233.0; 703.0; 31.0; -234.0
2021-03-31; 808.0; 50.0; 43.0; 93.0; 65.0; 0.0; 0.0; 41.0; -133.0; 768.0; -16.0; 0.0; -9.0; 1.0; 0.0; 1.0; 0.0; -24.0; 0.0; 0.0; 0.0; 3.0; 3.0; -255.0; -41.0; -293.0; 396.0; 19.0; -255.0
2020-12-31; 505.0; 52.0; 203.0; 255.0; -154.0; 0.0; 0.0; 306.0; 381.0; 1141.0; -33.0; 0.0; -12.0; 0.0; 0.0; 0.0; 9.0; -36.0; 0.0; 0.0; 0.0; 2.0; 2.0; -212.0; -6.0; -216.0; 954.0; 30.0; -212.0
2020-09-30; 498.0; 54.0; 317.0; 371.0; 142.0; 0.0; 0.0; -297.0; -60.0; 809.0; -25.0; 0.0; -6.0; 4.0; 0.0; 4.0; 9.0; -18.0; -118.0; 0.0; -118.0; -9.0; -9.0; -212.0; -1.0; -340.0; 484.0; 38.0; -212.0
2020-06-30; 842.0; 51.0; 23.0; 74.0; -46.0; 0.0; 0.0; 8.0; 21.0; 937.0; -7.0; 0.0; 0.0; 4.0; 0.0; 4.0; 0.0; -3.0; 0.0; 0.0; 0.0; 4.0; 4.0; -203.0; -10.0; -209.0; 732.0; 11.0; -203.0
2020-03-31; 689.0; 49.0; 37.0; 86.0; 76.0; 0.0; 0.0; 80.0; -95.0; 680.0; -11.0; 0.0; -183.0; 11.0; 0.0; 11.0; 0.0; -183.0; 0.0; 0.0; 0.0; -1145.0; -1145.0; -212.0; -44.0; -1401.0; -934.0; 11.0; -212.0
2019-12-31; 586.0; 51.0; 83.0; 134.0; -85.0; 0.0; 0.0; 242.0; 284.0; 1004.0; -38.0; 0.0; -66.0; -7.0; 0.0; -7.0; 0.0; -111.0; 218.0; 0.0; 218.0; -94.0; -94.0; -182.0; -9.0; -67.0; 867.0; 25.0; -182.0
2019-09-30; 662.0; 49.0; -9.0; 40.0; 45.0; 0.0; 0.0; -5.0; 60.0; 762.0; -31.0; 0.0; -21.0; 0.0; 0.0; 0.0; 85.0; 33.0; 0.0; 0.0; 0.0; -493.0; -493.0; -181.0; -2.0; -676.0; 99.0; 20.0; -181.0
2019-06-30; 602.0; 52.0; 57.0; 109.0; -8.0; 0.0; 0.0; -74.0; 6.0; 717.0; -26.0; 0.0; -3.0; -3.0; 0.0; -3.0; 0.0; -32.0; 0.0; 0.0; 0.0; 8.0; 8.0; -181.0; -6.0; -179.0; 484.0; 21.0; -181.0
2019-03-31; 453.0; 52.0; 140.0; 192.0; -87.0; 0.0; 0.0; -103.0; -352.0; 293.0; -20.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -21.0; 0.0; 0.0; 0.0; -621.0; -621.0; -159.0; -49.0; -829.0; -522.0; 12.0; -159.0
2018-12-31; 551.0; 55.0; 119.0; 174.0; -226.0; 0.0; 0.0; 31.0; -62.0; 663.0; -25.0; 0.0; -138.0; -10.0; 0.0; -10.0; 6.0; -167.0; 0.0; 0.0; 0.0; -542.0; -542.0; -162.0; -5.0; -709.0; -245.0; 21.0; -162.0
2018-09-30; 535.0; 54.0; -28.0; 26.0; 43.0; 0.0; 0.0; -5.0; -63.0; 498.0; -28.0; 0.0; -17.0; 4.0; 0.0; 4.0; 0.0; -41.0; 0.0; 0.0; 0.0; 0.0; 0.0; -164.0; -11.0; -175.0; 268.0; 27.0; -164.0
2018-06-30; 501.0; 52.0; 121.0; 173.0; 12.0; 0.0; 0.0; -215.0; -131.0; 543.0; -27.0; 0.0; -189.0; -2.0; 0.0; -2.0; 0.0; -218.0; 86.0; 0.0; 86.0; -19.0; -19.0; -154.0; -1.0; -88.0; 179.0; 33.0; -154.0
2018-03-31; 534.0; 45.0; 37.0; 82.0; 7.0; 0.0; 0.0; 55.0; -256.0; 360.0; -33.0; 0.0; -57.0; 3.0; 0.0; 3.0; 0.0; -87.0; 0.0; 0.0; 0.0; -1090.0; -1090.0; -177.0; -49.0; -1316.0; -1023.0; 13.0; -177.0
2017-12-31; 299.0; 46.0; 142.0; 188.0; -132.0; 0.0; 0.0; 333.0; 326.0; 813.0; -48.0; 0.0; -3.0; -5.0; 0.0; -5.0; 2.0; -54.0; 0.0; 0.0; 0.0; -149.0; -149.0; -147.0; 0.0; -296.0; 467.0; 34.0; -147.0
2017-09-30; 452.0; 46.0; 44.0; 90.0; -15.0; 0.0; 0.0; -87.0; -13.0; 529.0; -19.0; 0.0; -10.0; 0.0; 0.0; 0.0; -2.0; -31.0; 0.0; 0.0; 0.0; -469.0; -469.0; -119.0; -5.0; -593.0; -72.0; 24.0; -119.0
2017-06-30; 457.0; 45.0; 44.0; 89.0; -61.0; 0.0; 0.0; -256.0; -225.0; 321.0; -33.0; 0.0; -69.0; 0.0; 0.0; 0.0; 0.0; -102.0; 0.0; 0.0; 0.0; -136.0; -136.0; -136.0; 0.0; -272.0; -27.0; 22.0; -136.0
2017-03-31; 430.0; 43.0; 36.0; 79.0; 12.0; 0.0; 0.0; 67.0; -156.0; 353.0; -23.0; 0.0; -1.0; 0.0; 0.0; 0.0; 2.0; -22.0; 0.0; 0.0; 0.0; -172.0; -172.0; -130.0; -44.0; -346.0; 19.0; 19.0; -130.0
2016-12-31; 569.0; 47.0; -243.0; -196.0; -151.0; 0.0; 0.0; -3.0; -70.0; 303.0; -48.0; 0.0; -66.0; 0.0; 0.0; 0.0; 427.0; 313.0; -421.0; 0.0; -421.0; 4.0; 4.0; -151.0; 10.0; -558.0; -7.0; 22.0; -151.0
2016-09-30; 924.0; 47.0; -695.0; -648.0; 13.0; 0.0; 0.0; 264.0; 341.0; 617.0; -31.0; 0.0; -93.0; -1.0; 0.0; -1.0; 1071.0; 946.0; 493.0; -309.0; 184.0; -731.0; -731.0; -97.0; -20.0; -664.0; 832.0; 20.0; -97.0
