Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 816.0; 250.0; 47.0; 297.0; -27.0; -231.0; 77.0; -184.0; -233.0; 889.0; -138.0; 0.0; 0.0; 6.0; 197.0; 203.0; 7.0; 72.0; -250.0; 0.0; -250.0; 0.0; 0.0; -263.0; -30.0; -543.0; 376.0; 33.0; -263.0
2022-06-30; 656.0; 253.0; 47.0; 300.0; -212.0; -294.0; 86.0; 167.0; -291.0; 529.0; -143.0; 0.0; 0.0; -11.0; 0.0; -11.0; 2.0; -152.0; -252.0; -206.0; -458.0; 0.0; 0.0; -263.0; -32.0; -753.0; -414.0; 36.0; -263.0
2022-03-31; 323.0; 242.0; 90.0; 332.0; 53.0; -229.0; -52.0; -9.0; -588.0; 203.0; -119.0; 0.0; -2563.0; 2.0; 0.0; 2.0; -2.0; -2682.0; 1500.0; -170.0; 1330.0; 0.0; 0.0; -262.0; -75.0; 993.0; -1486.0; 71.0; -262.0
2021-12-31; 662.0; 238.0; -22.0; 216.0; -232.0; 42.0; 195.0; -88.0; 143.0; 1000.0; -206.0; 0.0; -113.0; 1.0; 0.0; 1.0; 4.0; -314.0; 0.0; -14.0; -14.0; 0.0; 0.0; -237.0; -37.0; -288.0; 381.0; 30.0; -237.0
2021-09-30; 438.0; 235.0; 260.0; 495.0; -121.0; -103.0; 77.0; 59.0; -21.0; 933.0; -130.0; 0.0; -122.0; 8.0; 0.0; 8.0; -3.0; -247.0; 0.0; 14.0; 14.0; 0.0; 0.0; -238.0; -124.0; -348.0; 322.0; 34.0; -238.0
2021-06-30; 592.0; 241.0; 176.0; 417.0; -89.0; -55.0; 94.0; -231.0; -185.0; 878.0; -106.0; 0.0; -77.0; -10.0; 0.0; -10.0; -9.0; -202.0; -401.0; -9.0; -410.0; 0.0; 0.0; -237.0; -29.0; -676.0; 3.0; 39.0; -237.0
2021-03-31; 302.0; 276.0; 153.0; 429.0; 65.0; -73.0; -37.0; -8.0; -225.0; 452.0; -83.0; 0.0; -27.0; 7.0; 0.0; 7.0; 7.0; -96.0; -745.0; 2.0; -743.0; 0.0; 0.0; -238.0; -72.0; -1053.0; -705.0; 68.0; -238.0
2020-12-31; 568.0; 223.0; 189.0; 412.0; -113.0; 181.0; 126.0; -46.0; 257.0; 1237.0; -165.0; 0.0; -4196.0; -3.0; 0.0; -3.0; 12.0; -4352.0; -798.0; -9.0; -807.0; 0.0; 0.0; -216.0; -34.0; -1057.0; -4140.0; 27.0; -216.0
2020-09-30; 621.0; 198.0; 31.0; 229.0; -204.0; 27.0; 8.0; -87.0; -21.0; 829.0; -69.0; 0.0; 0.0; 2.0; 0.0; 2.0; -2.0; -69.0; 0.0; -5.0; -5.0; 0.0; 0.0; -216.0; -21.0; -242.0; 544.0; 29.0; -216.0
2020-06-30; -83.0; 193.0; 194.0; 387.0; 467.0; -59.0; -97.0; -47.0; 316.0; 620.0; -109.0; 0.0; -3.0; 4.0; 0.0; 4.0; -9.0; -117.0; 2293.0; 4.0; 2297.0; 0.0; 0.0; -216.0; -25.0; 2056.0; 2575.0; 30.0; -216.0
2020-03-31; 493.0; 198.0; 56.0; 254.0; 204.0; -122.0; 63.0; 165.0; -156.0; 591.0; -144.0; 0.0; -23.0; 4.0; 0.0; 4.0; 0.0; -163.0; -500.0; 4.0; -496.0; 0.0; 0.0; -215.0; -57.0; -768.0; -373.0; 56.0; -215.0
2019-12-31; 725.0; 195.0; 197.0; 392.0; -439.0; 14.0; 26.0; -21.0; -382.0; 735.0; -199.0; 0.0; -521.0; 0.0; 0.0; 0.0; 1.0; -719.0; 2641.0; 0.0; 2641.0; 0.0; 0.0; -193.0; -85.0; 2363.0; 2389.0; 32.0; -193.0
2019-09-30; 466.0; 194.0; 100.0; 294.0; -52.0; -129.0; 53.0; -135.0; -131.0; 629.0; -163.0; 0.0; -21.0; -2.0; 0.0; -2.0; 0.0; -186.0; 0.0; -13.0; -13.0; 0.0; 0.0; -195.0; -17.0; -225.0; 194.0; 32.0; -195.0
2019-06-30; 480.0; 199.0; 159.0; 358.0; -122.0; -146.0; -4.0; -47.0; -324.0; 514.0; -165.0; 0.0; -80.0; -2.0; 0.0; -2.0; 0.0; -247.0; 0.0; 18.0; 18.0; 0.0; 0.0; -195.0; -11.0; -188.0; 80.0; 28.0; -195.0
2019-03-31; 412.0; 190.0; 72.0; 262.0; 50.0; -139.0; -12.0; -103.0; -361.0; 313.0; -122.0; 0.0; -180.0; -1.0; 0.0; -1.0; 0.0; -303.0; -1341.0; -12.0; -1353.0; -307.0; -307.0; -195.0; -92.0; -1947.0; -1942.0; 35.0; -195.0
2018-12-31; 2068.0; 176.0; -1513.0; -1337.0; -179.0; 60.0; 59.0; -29.0; 315.0; 1046.0; -154.0; 0.0; -1681.0; 209.0; 0.0; 209.0; -2.0; -1628.0; 2462.0; 7.0; 2469.0; 0.0; 0.0; -175.0; -14.0; 2280.0; 1698.0; 32.0; -175.0
2018-09-30; 590.0; 185.0; 29.0; 214.0; 4.0; -151.0; -8.0; 3.0; -186.0; 618.0; -140.0; 0.0; -3.0; -13.0; 0.0; -13.0; 0.0; -156.0; 0.0; -1.0; -1.0; 0.0; 0.0; -176.0; -2.0; -179.0; 277.0; 30.0; -176.0
