Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 537.0; 344.0; 208.0; 552.0; -176.0; -1195.0; 302.0; 1470.0; -179.0; 797.0; -564.0; 0.0; 0.0; 0.0; -80.0; -80.0; 34.0; -610.0; -19.0; 0.0; -19.0; -8.0; -8.0; -162.0; -6.0; -195.0; -25.0; 93.0; -162.0
2022-06-30; 753.0; 297.0; 51.0; 348.0; 0.0; 0.0; 0.0; -470.0; -470.0; 666.0; -476.0; 0.0; 0.0; -1.0; -1.0; -2.0; 38.0; -440.0; -28.0; 0.0; -28.0; -170.0; -170.0; -163.0; 0.0; -361.0; -95.0; 0.0; -163.0
2022-03-31; 833.0; 295.0; 21.0; 316.0; 0.0; 0.0; 0.0; -1373.0; -1373.0; -208.0; -439.0; 0.0; 0.0; 0.0; -96.0; -96.0; 109.0; -426.0; -1024.0; 0.0; -1024.0; -96.0; -96.0; -164.0; 1.0; -1283.0; -1805.0; 0.0; -164.0
2021-12-31; 1126.0; 300.0; 77.0; 377.0; 0.0; 0.0; 0.0; -82.0; -82.0; 1432.0; -408.0; 0.0; 0.0; 0.0; 0.0; 0.0; -51.0; -459.0; -17.0; 0.0; -17.0; -302.0; -302.0; -164.0; -1.0; -484.0; 319.0; 0.0; -164.0
2021-09-30; 1358.0; 368.0; -815.0; -447.0; -508.0; -567.0; 351.0; 705.0; 402.0; 1184.0; -350.0; 0.0; 1188.0; 0.0; 0.0; 0.0; 3.0; 841.0; -1012.0; 0.0; -1012.0; -9.0; -9.0; -159.0; -9.0; -1189.0; 894.0; 91.0; -159.0
2021-06-30; 753.0; 302.0; -30.0; 272.0; 0.0; 0.0; 0.0; 256.0; 256.0; 1307.0; -302.0; 0.0; 0.0; -2.0; -44.0; -46.0; 73.0; -275.0; -22.0; 0.0; -22.0; -5.0; -5.0; -159.0; -11.0; -197.0; 736.0; 0.0; -159.0
2021-03-31; 477.0; 306.0; 10.0; 316.0; 0.0; 0.0; 0.0; -857.0; -857.0; -36.0; -268.0; 0.0; 0.0; -1.0; 0.0; -1.0; 20.0; -249.0; -1013.0; 0.0; -1013.0; 1.0; 1.0; -159.0; -1.0; -1172.0; -1529.0; 0.0; -159.0
2020-12-31; 472.0; 298.0; 17.0; 315.0; 0.0; 0.0; 0.0; 580.0; 580.0; 1385.0; -289.0; 0.0; 0.0; 1.0; 0.0; 1.0; 29.0; -259.0; 0.0; 0.0; 0.0; -13.0; -13.0; -159.0; -1.0; -173.0; 940.0; 0.0; -159.0
2020-09-30; 657.0; 364.0; 95.0; 459.0; 191.0; 86.0; -64.0; -108.0; 167.0; 1166.0; -292.0; 0.0; 0.0; 0.0; 0.0; 0.0; 12.0; -280.0; -707.0; 0.0; -707.0; -6.0; -6.0; -150.0; -11.0; -874.0; 55.0; 89.0; -150.0
2020-06-30; 526.0; 295.0; -20.0; 275.0; 0.0; 0.0; 0.0; 619.0; 619.0; 1448.0; -283.0; 0.0; 0.0; -1.0; 1.0; 0.0; 17.0; -266.0; 98.0; -200.0; -102.0; -3.0; -3.0; -150.0; 0.0; -255.0; 928.0; 0.0; -150.0
