Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; -257.0; 378.1; 150.6; 528.7; -199.7; 0.0; 18.7; -23.7; -204.7; 54.6; -56.9; 0.0; -54.8; 111.5; 16.9; 128.4; 0.0; 16.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 116.5; 116.5; 166.3; 107.9; 0.0
2022-06-30; -104.0; 191.2; 135.5; 326.7; 214.9; 0.0; 18.8; -330.6; -96.9; 100.8; -42.5; 0.0; -3128.1; 242.8; 120.5; 363.3; 0.0; -2807.3; 2082.1; 0.0; 2082.1; 11.4; 11.4; 0.0; -76.5; 2017.0; -704.2; 43.9; 0.0
2022-03-31; 110.97; 79.46; 88.0; 167.47; 67.93; -1.82; 93.73; -203.5; -43.66; 238.82; -25.25; 0.0; -4.04; 161.28; 487.26; 648.55; -0.28; 618.98; 0.23; 0.0; 0.23; -0.0; -0.0; 0.0; -17.33; -17.09; 838.13; 40.43; 0.0
2021-12-31; 144.55; 48.95; 21.38; 70.33; 157.01; 5.93; -440.74; -211.72; -489.52; -264.54; -22.19; 0.0; -25.69; 1.59; -50.47; -48.88; 1.1; -95.67; -0.04; 0.0; -0.04; 10.45; 10.45; 0.0; -5.73; 4.68; -357.55; 46.34; 0.0
2021-09-30; 10.2; 105.2; 110.5; 215.7; -317.5; 0.0; 343.4; -116.5; -90.6; 135.5; -24.8; 0.0; -33.7; 2.1; -313.9; -311.8; 0.0; -370.3; -0.2; 0.0; -0.2; -200.0; -200.0; 0.0; -5.1; -205.3; -442.6; 47.1; 0.0
2021-06-30; 152.3; 52.2; 70.3; 122.5; 74.7; 0.0; -42.0; -161.2; -128.5; 148.2; -86.4; 0.0; -97.9; -141.3; 311.8; 170.5; 0.0; -13.8; 0.0; 0.0; 0.0; 9.2; 9.2; 0.0; -48.3; -39.1; 97.1; 49.1; 0.0
2021-03-31; 218.81; 56.62; 49.89; 106.52; 27.65; 8.96; -36.1; -206.78; -206.28; 124.66; -28.72; 0.0; -22.94; -78.0; -436.16; -514.16; 0.0; -565.83; 0.0; 0.0; 0.0; -0.0; -0.0; 0.0; -10.97; -10.97; -452.54; -29.36; 0.0
2020-12-31; 182.25; 65.59; -19.17; 46.42; 209.02; 0.81; -67.31; -212.83; -70.3; 160.92; -15.19; 0.0; -4.04; -25.41; 306.36; 280.95; 0.0; 261.73; 0.0; 0.0; 0.0; 7.71; 7.71; 0.0; -12.38; -4.67; 428.01; 41.12; 0.0
2020-09-30; 99.32; 35.87; 65.0; 100.87; -97.63; -7.13; 182.08; 47.74; -19.17; 181.32; -16.12; 0.0; -75.48; -104.15; -59.41; -163.56; 0.0; -255.16; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -9.7; -9.7; -76.49; 45.31; 0.0
2020-06-30; 88.5; 74.72; 53.41; 128.14; -91.85; -0.13; 0.0; 179.46; 231.71; 445.42; -8.9; 0.0; 0.0; -70.63; -167.93; -238.56; 0.0; -247.47; 0.0; 0.0; 0.0; 6.5; 6.5; 0.0; -38.51; -32.0; 167.88; 53.41; 0.0
