Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; 639.0; 581.0; 188.0; 769.0; -68.0; 8.0; -28.0; -234.0; -157.0; 1251.0; -634.0; 0.0; -2017.0; 0.0; -2.0; -2.0; 7.0; -2646.0; 1451.0; 0.0; 1451.0; -10.0; -10.0; 0.0; -15.0; 1426.0; 30.0; 32.0; 0.0
2022-09-30; 606.0; 563.0; -22.0; 541.0; -202.0; 3.0; 81.0; 31.0; -5.0; 1142.0; -974.0; 0.0; -11.0; 0.0; -1.0; -1.0; 8.0; -978.0; 87.0; 0.0; 87.0; -239.0; -239.0; 0.0; 0.0; -152.0; 8.0; 35.0; 0.0
2022-06-30; 493.0; 551.0; -28.0; 523.0; -135.0; -23.0; 241.0; -22.0; 138.0; 1154.0; -772.0; 0.0; -235.0; 0.0; -1.0; -1.0; 10.0; -998.0; 323.0; 0.0; 323.0; -501.0; -501.0; 0.0; -9.0; -187.0; -33.0; 36.0; 0.0
2022-03-31; 367.0; 535.0; -64.0; 471.0; 76.0; -13.0; 10.0; 61.0; 48.0; 886.0; -321.0; 0.0; -77.0; 0.0; -3.0; -3.0; 7.0; -394.0; -217.0; 0.0; -217.0; -318.0; -318.0; 0.0; 0.0; -535.0; -43.0; 24.0; 0.0
2021-12-31; 481.0; 536.0; -28.0; 508.0; -76.0; 1.0; -241.0; -58.0; -321.0; 668.0; -414.0; 0.0; -1.0; 0.0; 1.0; 1.0; 6.0; -408.0; -434.0; 0.0; -434.0; -1.0; -1.0; 0.0; 0.0; -435.0; -176.0; 30.0; 0.0
2021-09-30; 409.0; 513.0; 56.0; 569.0; -206.0; 6.0; 163.0; 96.0; 109.0; 1087.0; -1000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 5.0; -995.0; -94.0; 0.0; -94.0; -1.0; -1.0; 0.0; -8.0; -103.0; -16.0; 33.0; 0.0
2021-06-30; 293.0; 478.0; 14.0; 492.0; -81.0; -9.0; 289.0; 187.0; 391.0; 1176.0; -746.0; 0.0; -1434.0; 0.0; -1.0; -1.0; 7.0; -2174.0; 1049.0; 0.0; 1049.0; -2.0; -2.0; 0.0; 0.0; 1047.0; 58.0; 35.0; 0.0
2021-03-31; 203.0; 469.0; -86.0; 383.0; 63.0; 11.0; 96.0; 23.0; 172.0; 758.0; -40.0; 0.0; -1.0; 0.0; 0.0; 0.0; 7.0; -34.0; -619.0; 0.0; -619.0; -30.0; -30.0; 0.0; 0.0; -649.0; 76.0; 21.0; 0.0
2020-12-31; 297.0; 483.0; -112.0; 371.0; 16.0; -17.0; -78.0; -258.0; -298.0; 370.0; 58.0; 0.0; 0.0; 0.0; -1.0; -1.0; 6.0; 63.0; -407.0; 0.0; -407.0; -5.0; -5.0; 0.0; 0.0; -412.0; 28.0; 24.0; 0.0
2020-09-30; 208.0; 496.0; 80.0; 576.0; -95.0; 0.0; 223.0; 32.0; 43.0; 827.0; -265.0; 0.0; 0.0; 0.0; -1.0; -1.0; 21.0; -245.0; -518.0; 0.0; -518.0; -5.0; -5.0; 0.0; -13.0; -536.0; 47.0; 18.0; 0.0
