Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 169.5; 11.4; 15.5; 26.9; 0.0; 0.0; 0.0; 50.3; 65.8; 262.2; -6.9; 0.0; 0.0; -26.5; 0.0; -26.5; 0.0; -33.4; 0.0; 0.0; 0.0; -273.8; -273.8; 0.0; 0.0; -273.8; -45.7; 16.3; 0.0
2022-06-30; 167.3; 11.9; 14.6; 26.5; 0.0; 0.0; 0.0; -7.3; -48.9; 144.9; -6.2; 0.0; 0.0; 61.1; 0.0; 61.1; 0.0; 54.9; 0.0; 0.0; 0.0; -351.5; -351.5; 0.0; 0.0; -351.5; -152.3; 13.7; 0.0
2022-03-31; 157.5; 11.9; 14.8; 26.7; 0.0; 0.0; 0.0; 36.6; 22.9; 207.1; -6.6; 0.0; 0.0; 531.1; 0.0; 531.1; 0.0; 524.5; 0.0; 0.0; 0.0; -196.4; -196.4; 0.0; 0.0; -196.4; 535.1; 14.2; 0.0
2021-12-31; 330.13; 12.34; 13.07; 25.41; 0.0; 0.0; 0.0; 1.21; -149.28; 206.25; -13.53; 0.0; 0.0; -40.61; 0.0; -40.61; 0.0; -54.15; -0.05; 0.0; -0.05; -185.78; -185.78; 0.0; 0.0; -185.83; -33.69; 12.44; 0.0
2021-09-30; 156.6; 12.0; 15.4; 27.4; 0.0; 0.0; 0.0; 43.8; 76.1; 260.1; -15.2; 0.0; 0.0; -35.0; 0.0; -35.0; 0.0; -50.2; -1.2; 0.0; -1.2; -171.3; -171.3; 0.0; 0.0; -172.5; 37.1; 14.4; 0.0
2021-06-30; 147.7; 12.0; 16.9; 28.9; 0.0; 0.0; 0.0; 2.1; -34.1; 142.5; -17.6; 0.0; 0.0; 27.9; 0.0; 27.9; 0.0; 10.3; -7.7; 0.0; -7.7; -175.8; -175.8; 0.0; 0.0; -183.5; -30.8; 13.6; 0.0
2021-03-31; 150.4; 11.6; 14.1; 25.7; 0.0; 0.0; 0.0; 29.3; 22.2; 198.3; -6.7; 0.0; 0.0; -168.5; 0.0; -168.5; 0.0; -175.2; 0.0; 0.0; 0.0; -177.3; -177.3; 0.0; 0.0; -177.3; -154.4; 13.0; 0.0
2020-12-31; 157.31; 11.89; 11.51; 23.4; 0.0; 0.0; 0.0; 3.23; 14.51; 195.22; -6.46; 0.0; 0.8; 239.22; 0.0; 239.22; 0.0; 233.56; 0.0; 0.0; 0.0; -173.75; -173.75; 0.0; 0.0; -173.75; 255.49; 12.14; 0.0
2020-09-30; 170.98; 11.62; 12.3; 23.92; 0.0; 0.0; 0.0; -3.72; -55.31; 139.59; -15.04; 0.0; 0.0; -116.41; 0.0; -116.41; 0.0; -131.45; 0.0; 0.0; 0.0; -169.6; -169.6; 0.0; 0.0; -169.6; -161.0; 12.68; 0.0
2020-06-30; 152.48; 11.61; 5.2; 16.81; 0.0; 0.0; 0.0; -2.55; 46.03; 215.31; -10.88; 0.0; 5.15; -247.73; 0.0; -247.73; 0.0; -253.45; 0.0; 0.0; 0.0; -154.2; -154.2; 0.0; 0.0; -154.2; -191.99; 11.99; 0.0
2020-03-31; 334.12; 11.23; 10.13; 21.36; 0.0; 0.0; 0.0; 22.84; -175.42; 180.06; -11.01; 0.0; 14.86; 75.24; 0.0; 75.24; 0.0; 79.08; 0.0; 0.0; 0.0; -267.33; -267.33; 0.0; 0.0; -267.33; -9.5; 11.44; 0.0
2019-12-31; 148.32; 22.27; -1.66; 20.61; 0.0; 0.0; 0.0; 0.47; 24.66; 193.6; -8.82; 0.0; -1.34; 415.18; 0.0; 415.18; 0.0; 405.02; 0.0; 0.0; 0.0; -199.1; -199.1; 0.0; -0.87; -199.97; 398.92; 12.39; 0.0
2019-09-30; 153.91; 6.85; 13.85; 20.7; 0.0; 0.0; 0.0; -9.16; 33.5; 208.12; -11.31; 0.0; -2.22; -642.36; 0.0; -642.36; 0.0; -655.89; 0.0; 0.0; 0.0; -194.05; -194.05; 0.0; 0.0; -194.05; -642.27; 12.62; 0.0
2019-06-30; 147.53; 9.47; 14.2; 23.66; 0.0; 0.0; 0.0; -7.39; -6.35; 164.84; -11.06; 0.0; -3.35; 1.78; 0.0; 1.78; 0.0; -12.63; 0.0; 0.0; 0.0; -180.23; -180.23; 0.0; 0.0; -180.23; -28.03; 13.15; 0.0
