Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 3.06; 289.58; 6.77; 296.35; 0.0; 0.0; 0.0; -31.57; -10.43; 300.28; -63.76; 0.0; 0.0; 0.0; -44.69; -44.69; -57.61; -166.06; 93.06; 0.0; 93.06; -0.33; -0.33; -181.77; -22.98; -112.01; 19.61; 6.18; -181.77
2022-06-30; -41.2; 270.29; 10.48; 280.77; 0.0; 0.0; 0.0; -3.25; -10.94; 278.08; -54.28; 0.0; 0.0; 0.0; -44.46; -44.46; -23.2; -121.93; 8.05; 0.0; 8.05; 2.9; 2.9; -181.62; -7.66; -178.33; -23.42; 6.8; -181.62
2022-03-31; 40.59; 274.77; 18.07; 292.84; 0.0; 0.0; 0.0; -31.38; -34.56; 274.55; -36.73; 0.0; 0.0; 0.0; -337.67; -337.67; -62.93; -437.33; 351.84; 0.0; 351.84; 5.79; 5.79; -181.56; -10.69; 165.38; 2.85; 15.8; -181.56
2021-12-31; -39.1; 304.81; -8.05; 296.75; 0.0; 0.0; 0.0; 10.97; -19.08; 265.8; -65.96; 0.0; 0.0; 0.0; 77.29; 77.29; -19.13; -7.8; -62.51; 0.0; -62.51; 2.5; 2.5; -181.28; -17.57; -258.85; 0.07; 5.8; -181.28
2021-09-30; 62.77; 278.09; -120.57; 157.52; 0.0; 0.0; 0.0; -40.12; -22.85; 231.46; -45.19; 0.0; 0.0; 0.0; -721.55; -721.55; 171.5; -595.24; -126.47; 0.0; -126.47; 604.0; 604.0; -171.37; -19.7; 286.46; -78.25; 4.7; -171.37
2021-06-30; 88.29; 238.76; -41.48; 197.28; 0.0; 0.0; 0.0; -6.02; 26.16; 291.26; -44.45; 0.0; 0.0; 0.0; 107.77; 107.77; -81.81; -18.49; -38.04; 0.0; -38.04; 5.85; 5.85; -170.4; -6.42; -209.01; 64.56; 5.39; -170.4
2021-03-31; -55.4; 304.65; 31.94; 336.59; 0.0; 0.0; 0.0; -25.33; -29.22; 237.59; -29.67; 0.0; 0.0; 0.0; 7.87; 7.87; -80.81; -102.61; -193.77; 0.0; -193.77; 13.16; 13.16; -170.6; -25.85; -377.07; -241.43; 16.07; -170.6
2020-12-31; 111.95; 251.96; -44.76; 207.21; 0.0; 0.0; 0.0; 13.25; -7.0; 295.76; -53.83; 0.0; 0.0; 0.0; 360.73; 360.73; -339.23; -32.33; -290.99; 0.0; -290.99; 30.55; 30.55; -169.78; -12.11; -442.32; -176.85; 4.17; -169.78
2020-09-30; 13.74; 235.91; 21.66; 257.57; 0.0; 0.0; 0.0; -75.83; 160.23; 434.4; -40.89; 0.0; 0.0; 0.0; 54.64; 54.64; -175.21; -161.46; -538.76; 0.0; -538.76; 36.39; 36.39; -169.4; -2.69; -674.47; -400.65; 5.76; -169.4
2020-06-30; -159.24; 352.04; 133.59; 485.62; 0.0; 0.0; 0.0; 31.43; 70.22; 405.56; -26.73; 0.0; 0.0; 0.0; 4.43; 4.43; -146.81; -169.1; -1787.29; 0.0; -1787.29; 0.13; 0.13; -298.28; -9.08; -2094.53; -1857.12; 1.04; -298.28
2020-03-31; 474.73; 249.72; -210.19; 39.52; 0.0; 0.0; 0.0; -36.8; -203.61; 314.45; -26.79; 0.0; 0.0; 0.0; 545.9; 545.9; -1.93; 517.18; 2216.41; 0.0; 2216.41; 2.82; 2.82; -298.63; -9.3; 1911.3; 2740.16; 10.51; -298.63
2019-12-31; 12.89; 353.5; 1.55; 355.06; 0.0; 0.0; 0.0; 8.32; -17.74; 354.24; -56.94; 0.0; 0.0; 0.0; 51.98; 51.98; -158.46; -163.42; 51.28; 0.0; 51.28; 0.04; 0.04; -298.27; -7.45; -254.39; -62.49; 7.25; -298.27
2019-09-30; 86.92; 239.59; 36.16; 275.75; 0.0; 0.0; 0.0; -42.2; -12.48; 354.33; -41.41; 0.0; 0.0; 0.0; -728.62; -728.62; -144.13; -914.15; 854.49; 0.0; 854.49; 84.25; 84.25; -296.98; -11.83; 629.93; 70.3; 8.2; -296.98
2019-06-30; 211.9; 228.34; -10.94; 217.4; 0.0; 0.0; 0.0; -1.32; -39.01; 393.1; -36.43; 0.0; 0.0; 0.0; -138.09; -138.09; -265.39; -439.9; -458.61; 0.0; -458.61; 789.08; 789.08; -286.6; 1.03; 44.9; -1.94; 10.07; -286.6
2019-03-31; 127.59; 239.21; -2.98; 236.22; 0.0; 0.0; 0.0; -31.75; -29.98; 336.12; -21.95; 0.0; 0.0; 0.0; 4.45; 4.45; -50.32; -67.82; -62.26; 0.0; -62.26; 102.69; 102.69; -285.09; -15.11; -259.76; 8.77; 8.4; -285.09
2018-12-31; 63.3; 244.98; 60.02; 305.0; 0.0; 0.0; 0.0; 34.18; -7.79; 363.85; -58.83; 0.0; 0.0; 0.0; -207.56; -207.56; -74.06; -340.45; 245.75; 0.0; 245.75; 4.52; 4.52; -283.76; -6.63; -40.12; -17.08; 9.2; -283.76
2018-09-30; 103.28; 221.29; 38.71; 260.0; 0.0; 0.0; 0.0; -63.66; -55.26; 307.29; -31.0; 0.0; 0.0; 0.0; -4.54; -4.54; -25.42; -60.96; 38.9; 0.0; 38.9; 1.52; 1.52; -283.7; -12.55; -255.83; -9.56; 6.49; -283.7
