Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 163.0; 105.0; 12.0; 117.0; -84.0; -145.0; 47.0; -35.0; -76.0; 204.0; -32.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -32.0; -107.0; 0.0; -107.0; -1.0; -1.0; -28.0; -3.0; -139.0; 13.0; 10.0; -28.0
2022-06-30; 169.0; 105.0; 11.0; 116.0; -48.0; -119.0; 137.0; 19.0; -22.0; 263.0; -30.0; 0.0; -69.0; 0.0; 0.0; 0.0; 0.0; -99.0; 5.0; 0.0; 5.0; -103.0; -103.0; -27.0; 2.0; -123.0; 13.0; 10.0; -27.0
2022-03-31; 150.0; 110.0; 12.0; 122.0; 93.0; -137.0; 48.0; -65.0; -111.0; 161.0; -18.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -18.0; 195.0; 0.0; 195.0; -296.0; -296.0; -28.0; -4.0; -133.0; 15.0; 10.0; -28.0
2021-12-31; 193.0; 109.0; 89.0; 198.0; -111.0; -9.0; 68.0; -87.0; -77.0; 314.0; -35.0; 0.0; -30.0; 0.0; 0.0; 0.0; 0.0; -65.0; 1.0; 0.0; 1.0; -100.0; -100.0; -23.0; -98.0; -220.0; 17.0; 12.0; -23.0
2021-09-30; 132.0; 106.0; 14.0; 120.0; 64.0; -40.0; -41.0; -28.0; -8.0; 244.0; -23.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -23.0; 0.0; 0.0; 0.0; -199.0; -199.0; -23.0; 2.0; -220.0; 2.0; 10.0; -23.0
2021-06-30; 125.0; 119.0; 18.0; 137.0; -38.0; 19.0; 35.0; 3.0; -39.0; 223.0; -26.0; 0.0; -4.0; 0.0; 0.0; 0.0; 0.0; -30.0; -199.0; 0.0; -199.0; 0.0; 0.0; -23.0; 1.0; -221.0; -30.0; 16.0; -23.0
2021-03-31; 115.0; 107.0; 9.0; 116.0; 9.0; -11.0; 47.0; -23.0; 61.0; 292.0; -21.0; 0.0; -401.0; 0.0; 0.0; 0.0; 0.0; -422.0; 37.0; 0.0; 37.0; -1.0; -1.0; -23.0; -5.0; 8.0; -115.0; 8.0; -23.0
2020-12-31; 86.5; 99.6; 38.4; 138.0; 69.8; 173.2; -65.6; -100.4; 101.4; 325.9; -35.4; 0.0; 0.3; 0.0; 0.0; 0.0; 0.0; -35.1; -17.9; 0.0; -17.9; -101.7; -101.7; -23.8; -114.8; -258.2; 39.9; 2.4; -23.8
2020-09-30; 128.5; 107.1; 14.9; 122.0; -0.9; 38.1; -54.9; -39.1; -21.0; 229.5; -21.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -21.7; -214.8; 0.0; -214.8; 0.0; 0.0; -22.8; 0.3; -237.3; -28.6; 11.9; -22.8
2020-06-30; 85.8; 100.1; -1.6; 98.5; 268.7; -6.8; -88.3; -42.3; 126.2; 310.5; -31.0; 0.0; -4.6; 0.0; 0.0; 0.0; 0.0; -35.6; -284.0; 0.0; -284.0; 0.0; 0.0; -23.4; 0.4; -307.0; -28.0; -1.6; -23.4
