Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-12-31; -10254.0; -5253.0; 17287.0; 12034.0; 5067.0; -29988.0; 0.0; 7885.0; -21583.0; -19803.0; 0.0; 0.0; 0.0; -10383.0; -14589.0; -24972.0; 51522.0; 26550.0; -18898.0; -13801.0; -32699.0; 6027.0; 6027.0; 3817.0; 84883.0; 62028.0; 68775.0; 0.0; 3040.0
2022-09-30; 3500.0; 1690.0; -4717.0; -3027.0; -3419.0; 9045.0; 0.0; 3449.0; 11543.0; 12016.0; 0.0; 0.0; 0.0; -294.0; 4749.0; 4455.0; -3536.0; 919.0; 14498.0; 11307.0; 25805.0; -5.0; -5.0; -1355.0; -27065.0; -2620.0; 10315.0; 0.0; -1136.0
2022-06-30; 2952.0; 1772.0; -5488.0; -3716.0; 4234.0; 9172.0; 0.0; -3862.0; 8352.0; 7588.0; 0.0; 0.0; 0.0; 12218.0; 15379.0; 27597.0; -32105.0; -4508.0; 4200.0; 3474.0; 7674.0; -4.0; -4.0; -1284.0; -56221.0; -49835.0; -46755.0; 0.0; -946.0
2022-03-31; 3802.0; 1791.0; -7082.0; -5291.0; -5882.0; 11771.0; 0.0; -7472.0; 1688.0; 199.0; 0.0; 0.0; 0.0; -1541.0; -5539.0; -7080.0; -15881.0; -22961.0; 200.0; -980.0; -780.0; -6018.0; -6018.0; -1178.0; -1597.0; -9573.0; -32335.0; 0.0; -958.0
2021-12-31; 6399.0; 1800.0; -2803.0; -1003.0; -12003.0; 11696.0; 0.0; 878.0; -579.0; 4817.0; 0.0; 0.0; 0.0; 1584.0; -1678.0; -94.0; -31308.0; -31402.0; -2263.0; -7571.0; -9834.0; -7012.0; -7012.0; -1157.0; 12131.0; -5872.0; -32457.0; 0.0; -819.0
2021-09-30; 5405.0; 1917.0; -4849.0; -2932.0; -13456.0; 107.0; 0.0; 1877.0; -7283.0; -4810.0; 0.0; 0.0; 0.0; 2342.0; 1776.0; 4118.0; -11139.0; -7021.0; -14911.0; -3655.0; -18566.0; -5291.0; -5864.0; -1046.0; 29821.0; 4345.0; -7486.0; 0.0; -808.0
2021-06-30; 6744.0; 2023.0; -3992.0; -1969.0; -11749.0; -3591.0; 0.0; 2871.0; -12837.0; -8062.0; 0.0; 0.0; 0.0; 9353.0; -10012.0; -659.0; 15935.0; 15276.0; -7119.0; -13285.0; -20404.0; -1565.0; -1915.0; -765.0; 3310.0; -19774.0; -12560.0; 0.0; -412.0
2021-03-31; 4690.0; 2150.0; -5997.0; -3847.0; -20422.0; 11122.0; 0.0; 6191.0; -4313.0; -3470.0; 0.0; 0.0; 0.0; -13830.0; -1333.0; -15163.0; 30691.0; 15528.0; -21566.0; -79.0; -21645.0; -596.0; -592.0; -659.0; 32959.0; 10063.0; 22121.0; 0.0; -383.0
2020-12-31; 3292.0; 2082.0; -2950.0; -868.0; -23393.0; -4108.0; 0.0; -2604.0; -25189.0; -22765.0; 0.0; 0.0; 0.0; 3632.0; -2264.0; 1368.0; 19144.0; 20512.0; -3961.0; 3775.0; -186.0; -516.0; -500.0; -778.0; 21559.0; 20095.0; 17842.0; -1337.0; -398.0
2020-09-30; 3401.0; 2279.0; -710.0; 1569.0; -21631.0; 10863.0; 0.0; -2617.0; -13546.0; -8576.0; 0.0; 0.0; 0.0; 9985.0; 8186.0; 18171.0; 24487.0; 42658.0; -16340.0; -5261.0; -21601.0; 56.0; 56.0; -655.0; -27615.0; -49815.0; -15733.0; 384.0; -399.0
2020-06-30; -3536.0; 1990.0; 10742.0; 12732.0; -8315.0; 16046.0; 0.0; 2944.0; 6923.0; 16119.0; 0.0; 0.0; 0.0; 7176.0; 33016.0; 40192.0; 63495.0; 103687.0; -8242.0; -31804.0; -40046.0; 243.0; 243.0; -2397.0; 34088.0; -8112.0; 111694.0; 371.0; -2023.0
2020-03-31; 505.0; 1868.0; 10782.0; 12650.0; -6030.0; 20413.0; 0.0; -11198.0; 4118.0; 17273.0; 0.0; 0.0; 0.0; 15675.0; -10275.0; 5400.0; -49703.0; -44303.0; 1332.0; -12223.0; -10891.0; -3198.0; -3700.0; -2312.0; 53492.0; 36589.0; 9559.0; 582.0; -2032.0
2019-12-31; 3089.0; 1633.0; -5346.0; -3713.0; -6462.0; 4962.0; 0.0; 12788.0; 13047.0; 12423.0; 0.0; 0.0; 0.0; 911.0; 3881.0; 4792.0; -7318.0; -2526.0; -1895.0; -19396.0; -21291.0; -7723.0; -7723.0; -2466.0; 14102.0; -17378.0; -7481.0; -1885.0; -2080.0
2019-09-30; 4812.0; 1840.0; -1361.0; 479.0; -15216.0; 2327.0; 0.0; -13450.0; -18266.0; -12975.0; 0.0; 0.0; 0.0; 9068.0; -11573.0; -2505.0; -4876.0; -7381.0; -12454.0; 8564.0; -3890.0; -7334.0; -8884.0; -2458.0; 19892.0; 4660.0; -15696.0; 497.0; -2164.0
2019-06-30; 6338.0; 1651.0; 2322.0; 3973.0; -16254.0; 7808.0; 0.0; 4045.0; -10980.0; -669.0; 0.0; 0.0; 0.0; -13498.0; 6223.0; -7275.0; -3423.0; -10698.0; 1294.0; 8747.0; 10041.0; -4837.0; -4837.0; -2374.0; 23996.0; 26826.0; 15459.0; 486.0; -1957.0
2019-03-31; 5967.0; 1449.0; 641.0; 2090.0; -7222.0; 6969.0; 0.0; 688.0; -106.0; 7951.0; 0.0; 0.0; 0.0; -18414.0; 4695.0; -13719.0; 4693.0; -9026.0; 5440.0; 810.0; 6250.0; -4639.0; -4639.0; -2291.0; -22564.0; -23244.0; -24319.0; 902.0; -1997.0
2018-12-31; 6154.0; 1371.0; 4372.0; 5743.0; -4952.0; 10345.0; 0.0; -282.0; 3137.0; 15034.0; 0.0; 0.0; 10.0; 3264.0; -8285.0; -5021.0; -13234.0; -18245.0; 5052.0; 336.0; 5388.0; -7546.0; -7546.0; -2373.0; 21506.0; 16975.0; 13764.0; 396.0; -1962.0
2018-09-30; 6086.0; 1387.0; -1929.0; -542.0; -9361.0; 8338.0; 0.0; 1548.0; 1114.0; 6658.0; 0.0; 0.0; -10.0; -3287.0; -199.0; -3486.0; 3276.0; -220.0; 2975.0; 955.0; 3930.0; -7280.0; -9430.0; -2347.0; -2517.0; -10364.0; -3926.0; 573.0; -2008.0
2018-06-30; 5309.0; 1404.0; -3183.0; -1779.0; -12635.0; 5510.0; 0.0; 5982.0; -4379.0; -849.0; 0.0; 0.0; 0.0; -5727.0; 4027.0; -1700.0; 2250.0; 550.0; -4889.0; 6405.0; 1516.0; -2859.0; -2859.0; -2309.0; -34995.0; -38647.0; -38946.0; 494.0; -1855.0
2018-03-31; 5327.0; 1431.0; -842.0; 589.0; -7826.0; 10861.0; 0.0; 2523.0; 9314.0; 15230.0; 0.0; 0.0; 0.0; 4566.0; -822.0; 3744.0; 6417.0; 10161.0; 3892.0; -5165.0; -1273.0; -2647.0; -2647.0; -2285.0; -32738.0; -38943.0; -13552.0; 792.0; -1867.0
2017-12-31; 6241.0; 1612.0; -2610.0; -998.0; -8861.0; 4933.0; 0.0; -3491.0; -4968.0; 275.0; 0.0; 0.0; 23.0; -12935.0; -10668.0; -23603.0; -4356.0; -27936.0; -15482.0; 9365.0; -6117.0; -2932.0; -2932.0; -2278.0; 29724.0; 18397.0; -9264.0; 451.0; -1875.0
2017-09-30; 4600.0; 1316.0; 2072.0; 3388.0; -4083.0; 3570.0; 0.0; -966.0; 1544.0; 9532.0; 0.0; 0.0; -20.0; 1541.0; -231.0; 1310.0; 5362.0; 6652.0; -1920.0; -1459.0; -3379.0; -2418.0; -2418.0; -2309.0; 828.0; -7278.0; 8906.0; 409.0; -1890.0
