Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 228.88; 8.8; -9.46; -0.66; 36.31; 0.0; 579.91; -103.58; 512.64; 767.65; -25.94; 0.0; 0.0; 107.66; -913.02; -805.37; 70.8; -760.51; 1.99; 0.0; 1.99; -6.57; -6.57; -159.16; -20.41; -184.15; -185.85; 12.09; -159.16
2022-06-30; 179.32; 12.61; -29.93; -17.32; -214.39; 0.0; 714.07; -166.9; 332.78; 527.97; -47.03; 0.0; 0.0; -28.26; -1104.7; -1132.95; -128.49; -1308.47; -0.99; 0.0; -0.99; 0.33; 0.33; 0.0; 1.3; 0.64; -798.24; 12.72; 0.0
2022-03-31; 590.64; 24.63; -280.68; -256.05; -69.7; 0.0; 483.59; -49.08; 364.81; 477.68; 19.03; 0.0; -49.57; 98.06; -442.67; -344.61; 893.72; 518.56; -425.32; 0.0; -425.32; -0.33; -0.33; -22.98; -2.7; -451.33; 546.0; 11.44; -22.98
2021-12-31; 294.43; 28.35; 36.57; 64.92; 0.7; 0.0; 550.15; -236.09; 270.87; 659.59; -29.19; 0.0; 0.0; -128.74; -767.14; -895.87; -23.51; -948.57; 0.66; 0.0; 0.66; 0.0; 0.0; -199.63; -17.22; -216.19; -500.19; 10.19; -199.63
2021-09-30; 261.3; 30.73; -79.78; -49.04; -43.37; 0.0; 693.4; -197.78; 452.25; 828.59; -24.4; 0.0; 0.0; 45.0; -696.82; -651.82; 37.29; -638.93; 346.83; 0.0; 346.83; -92.74; -92.74; -134.82; -21.22; 98.05; 278.83; 13.36; -134.82
2021-06-30; 237.24; 37.05; -192.21; -155.15; -225.43; 0.0; 655.62; -229.81; 200.38; 384.82; 154.93; 0.0; 0.0; -86.03; -289.68; -375.7; 14.36; -206.41; -399.55; 0.0; -399.55; 0.53; 0.53; 0.0; -5.22; -404.25; -224.71; 11.3; 0.0
2021-03-31; 229.53; 33.54; -12.39; 21.15; -96.29; 0.0; 523.23; -160.27; 266.66; 310.99; -1.08; 0.0; 0.0; 151.78; -1391.41; -1239.64; 45.49; -1195.23; 581.21; 0.0; 581.21; -30.21; -30.21; -21.29; -1.5; 528.22; -357.45; 11.82; -21.29
2020-12-31; 312.15; 38.87; -238.21; -199.34; 2.02; 0.0; 305.5; -131.32; 282.17; 479.74; 214.22; 0.0; 0.0; -63.08; -310.13; -373.2; -86.78; -245.76; -356.06; 0.0; -356.06; -34.5; -34.5; -21.32; -37.76; -449.64; -199.08; 11.82; -21.32
2020-09-30; 151.68; 32.13; -53.8; -21.67; 28.57; 0.0; 501.48; -112.35; 360.74; 557.09; -20.27; 0.0; 0.0; 60.94; -578.44; -517.5; 16.92; -520.85; 147.66; 0.0; 147.66; -12.96; -12.96; -21.4; -14.32; 98.97; 140.62; 12.11; -21.4
2020-06-30; 71.26; 39.0; 3.5; 42.5; -109.49; 0.0; 420.94; -107.24; 216.7; 427.28; -14.3; 0.0; 0.0; 10.0; 893.66; 903.66; -33.88; 855.49; 297.29; 0.0; 297.29; -97.22; -97.22; -21.35; -3.94; 174.78; 1465.81; 14.05; -21.35
2020-03-31; -4.42; 25.06; 149.17; 174.24; -94.71; 0.0; 364.09; -69.24; 187.63; 152.57; -38.89; 0.0; 0.0; -34.38; 1.93; -32.45; 102.16; 30.82; 0.0; 0.0; 0.0; -201.68; -201.68; -20.07; -0.2; -221.96; -58.7; 11.68; -20.07
2019-12-31; 119.31; 71.38; 65.98; 137.36; 17.72; 0.0; 133.49; -45.19; 93.49; 348.75; -28.87; 0.0; 0.0; -51.78; -159.9; -211.67; 7.62; -232.92; 283.02; 0.0; 283.02; -18.23; -18.23; -178.16; -0.64; 86.0; 211.16; 10.83; -178.16
2019-09-30; 165.21; -9.28; -28.66; -37.94; 16.9; 0.0; 175.13; -16.21; 175.82; 392.4; -49.76; 0.0; 0.0; 35.52; -433.61; -398.08; 193.28; -254.57; -448.41; 0.0; -448.41; 0.0; 0.0; -111.73; -15.2; -575.34; -445.62; 11.1; -111.73
2019-06-30; 216.71; 23.86; -140.6; -116.74; -67.32; 0.0; 350.03; -105.35; 177.35; 324.32; -72.38; 0.0; 0.0; 41.11; 40.25; 81.36; 11.84; 20.83; 0.0; 0.0; 0.0; 0.0; 0.0; -18.3; -4.57; -22.87; 320.75; 12.51; -18.3
2019-03-31; 180.72; 27.42; -28.16; -0.74; -156.45; 0.0; 254.96; -45.76; 52.76; 78.33; -56.2; 0.0; 0.0; -22.01; 134.6; 112.59; -14.6; 41.79; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.98; -0.98; 119.83; 14.83; 0.0
2018-12-31; 132.36; 54.57; 7.83; 62.4; 63.53; 0.0; 16.31; -40.03; 27.86; 277.68; -73.93; 0.0; 0.0; -1.34; -37.96; -39.3; -74.55; -187.78; 91.16; 0.0; 91.16; -17.95; -17.95; -158.82; -13.5; -99.12; -1.76; 8.06; -158.82
2018-09-30; 161.92; 20.17; -112.89; -92.72; 45.48; 0.0; 111.8; -40.4; 116.89; 223.16; -41.27; 0.0; 0.0; -41.04; -239.41; -280.45; 11.68; -310.04; -1.93; 0.0; -1.93; 0.0; 0.0; -18.26; -2.48; -22.67; -91.84; 8.81; -18.26
2018-06-30; 180.08; 27.34; -160.93; -133.59; -78.34; 0.0; 58.36; 10.57; -9.41; 139.4; -98.02; 0.0; -6.64; -11.86; 88.64; 76.78; -57.06; -84.94; 19.05; 0.0; 19.05; 0.0; 0.0; -60.86; -1.22; -43.03; -45.4; 10.29; -60.86
2018-03-31; 166.4; 29.03; -27.7; 1.32; -74.49; 0.0; 236.69; -106.73; 55.47; -20.04; -350.7; 0.0; 0.0; 58.5; 124.97; 183.47; 35.75; -131.48; 181.77; 0.0; 181.77; -6.8; -6.8; -17.02; -0.54; 157.41; 6.13; 9.43; -17.02
2017-12-31; 154.59; 34.82; -67.68; -32.86; 44.67; 0.0; -101.55; -0.42; -31.45; 189.03; -118.48; 0.0; 0.0; -44.35; 286.85; 242.5; -23.41; 100.61; 8.75; 0.0; 8.75; -19.43; -19.43; -94.83; -2.21; -107.71; 176.47; 8.61; -94.83
2017-09-30; 162.05; 33.46; -163.01; -129.55; 47.41; 0.0; 302.06; -70.98; 278.49; 297.0; -33.71; 0.0; 0.78; -64.48; -349.96; -414.44; 237.62; -209.76; -0.31; 0.0; -0.31; -28.38; -28.38; -77.61; -2.58; -108.88; -14.36; 9.38; -77.61
2017-06-30; 109.0; 26.55; -130.27; -103.73; -100.58; 0.0; 118.27; -33.12; -15.43; 149.39; -138.39; 0.0; 0.0; 126.5; -11.13; 115.36; 68.47; 45.44; 0.0; 0.0; 0.0; 0.0; 0.0; -15.76; 0.02; -15.74; 179.96; 11.73; -15.76
2017-03-31; 123.45; 18.13; -16.39; 1.74; -59.24; 0.0; 123.91; 63.43; 128.09; 75.47; -61.17; 0.0; -71.35; -22.03; -107.07; -129.1; -8.14; -269.75; -1.48; 0.0; -1.48; 0.0; 0.0; 0.0; -1.28; -2.76; -186.89; 10.78; 0.0
2016-12-31; 152.79; 16.9; -185.5; -168.6; 31.97; 0.0; 12.11; -60.49; 26.22; 121.87; -104.23; 0.0; 0.07; -81.99; 49.36; -32.63; 144.17; 7.38; -3.0; 0.0; -3.0; -32.52; -32.52; -153.34; -2.45; -191.31; -77.78; 10.14; -153.34
2016-09-30; 220.65; 22.28; -111.12; -88.84; 82.44; 0.0; 193.34; -58.09; 217.69; 394.19; -110.07; 0.0; -12.31; 51.06; -578.26; -527.2; 277.07; -372.5; -34.19; 0.0; -34.19; -62.45; -62.45; 0.0; -0.45; -97.09; -75.65; 9.16; 0.0
2016-06-30; 108.97; 16.63; -54.23; -37.6; -95.28; 0.0; 236.83; -94.02; 47.52; 191.55; -69.42; 0.0; 13.1; -17.72; -248.16; -265.88; -1.63; -323.82; 274.1; 0.0; 274.1; 0.0; 0.0; -15.94; -4.08; 254.07; 111.19; 9.11; -15.94
2016-03-31; 119.51; 30.25; 32.3; 62.55; -79.53; 0.0; 279.61; -59.4; 140.68; 140.77; -66.24; 0.0; -54.31; 69.64; -194.16; -124.52; 139.53; -105.55; 76.37; 0.0; 76.37; -37.42; -37.42; -14.71; 3.16; 27.39; 73.88; 8.77; -14.71
2015-12-31; 109.75; 19.75; -28.33; -8.58; 38.6; 0.0; -21.0; 37.68; 75.7; 260.97; -95.02; 0.0; -0.16; -66.09; -172.67; -238.77; -7.89; -341.84; 5.28; 0.0; 5.28; 0.0; 0.0; -14.79; 1.74; -7.77; -116.3; 8.07; -14.79
2015-09-30; 152.61; 23.12; -35.96; -12.85; 33.69; 0.0; 102.08; -11.1; 124.66; 287.45; -82.87; 0.0; -7.16; 25.13; -83.92; -58.79; 42.45; -106.37; -5.27; 0.0; -5.27; -5.52; -5.52; -14.79; -3.25; -28.84; 123.57; 9.08; -14.79
2015-06-30; 123.03; 23.06; -38.28; -15.22; -62.05; 0.0; 188.98; -35.66; 91.28; 271.87; -56.49; 0.0; 0.0; 20.95; 147.6; 168.55; 159.9; 271.97; -268.8; 0.0; -268.8; -126.92; -126.92; -14.7; 1.1; -409.32; 141.67; 6.8; -14.7
2015-03-31; 118.31; 19.2; 27.82; 47.02; -71.18; 0.0; 270.33; -59.88; 139.26; 61.01; -51.84; 0.0; 0.0; -2.65; 28.09; 25.44; 31.88; 5.48; -3.24; 0.0; -3.24; -91.21; -91.21; -13.75; -1.19; -109.39; -59.75; 8.17; -13.75
2014-12-31; 110.71; 25.42; 24.66; 50.08; 21.14; 0.0; 31.38; -97.71; -86.12; 160.06; 28.69; 0.0; 0.0; -35.79; -387.89; -423.68; -194.46; -589.45; -79.27; 0.0; -79.27; -2.23; -2.23; -140.71; -0.58; -222.78; -667.84; 6.52; -140.71
2014-09-30; 188.54; 12.58; -126.84; -114.26; 71.69; 0.0; 152.58; 15.2; 239.47; 320.16; -197.33; 0.0; -80.97; 40.1; -340.53; -300.43; 401.26; -177.47; 424.59; 0.0; 424.59; -39.5; -39.5; -13.96; -0.45; 370.68; 499.61; 7.93; -13.96
2014-06-30; 179.96; 25.6; -189.33; -163.74; -97.7; 0.0; 123.34; 29.07; 54.71; 111.46; 302.72; 0.0; 15.64; -23.24; 26.82; 3.58; -229.34; 92.61; 5.11; 0.0; 5.11; -4.53; -4.53; -14.05; -0.31; -13.78; 199.1; 7.43; -14.05
