Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 120.6; 29.8; 66.4; 96.2; 0.0; 0.0; 0.0; -47.9; -47.9; 168.9; -57.8; 0.0; 0.0; 0.0; 0.0; 0.0; -1.3; -59.1; -42.6; 0.0; -42.6; -19.1; -19.1; -13.5; 0.0; -75.2; 10.5; 6.0; -13.5
2022-06-30; 188.5; 30.1; 2.0; 32.1; 0.0; 0.0; 0.0; -47.5; -47.5; 173.1; -66.1; 0.0; 0.0; 0.0; 0.0; 0.0; 0.1; -66.0; -0.5; 0.0; -0.5; -22.4; -22.4; -13.1; -0.2; -36.2; 50.8; 5.5; -13.1
2022-03-31; 173.8; 29.6; -2.0; 27.6; 0.0; 0.0; 0.0; -50.2; -50.2; 151.2; -65.8; 0.0; 0.0; 0.0; 0.0; 0.0; -2.5; -68.3; -0.6; 0.0; -0.6; -157.6; -157.6; -13.4; -1.1; -172.7; -94.9; 5.5; -13.4
2021-12-31; 147.7; 34.4; -33.5; 0.9; -123.5; -86.5; 16.8; 205.4; 12.2; 160.8; -76.5; 0.0; -2.2; 0.0; 0.0; 0.0; 1.3; -77.4; -1.1; 0.0; -1.1; 8.2; 8.2; -13.3; 0.0; -6.2; 74.6; 10.0; -13.3
2021-09-30; 175.6; 30.0; 22.0; 52.0; 0.0; 0.0; 0.0; -37.5; -37.5; 190.1; -65.3; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -65.3; 0.0; 0.0; 0.0; 6.8; 6.8; -12.6; 0.0; -5.8; 111.8; 11.3; -12.6
2021-06-30; 187.3; 28.8; 1.9; 30.7; 0.0; 0.0; 0.0; -73.6; -73.6; 144.4; -56.9; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -55.9; -0.5; 0.0; -0.5; 13.4; 13.4; -12.6; 0.0; 0.3; 92.5; 10.3; -12.6
2021-03-31; 151.2; 29.1; 3.3; 32.4; 0.0; 0.0; 0.0; -94.9; -94.9; 88.7; -54.7; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2; -54.5; -0.6; 0.0; -0.6; -143.2; -143.2; -12.6; 0.0; -156.4; -131.8; 5.9; -12.6
2020-12-31; 98.4; 28.5; -2.8; 25.7; -46.6; -73.7; 36.6; 108.3; 24.6; 148.7; -57.7; 3.8; 0.0; 0.0; 0.0; 0.0; -3.7; -57.6; -0.6; 0.0; -0.6; 4.5; 4.5; -12.6; 0.0; -8.7; 96.1; 6.4; -12.6
2020-09-30; 82.3; 28.4; 15.5; 43.9; 0.0; 0.0; 0.0; -7.6; -7.6; 118.6; -47.5; 0.0; 0.0; 0.0; 0.0; 0.0; -1.6; -49.1; -0.6; 0.0; -0.6; 5.3; 5.3; -11.9; 0.0; -7.2; 73.5; 9.9; -11.9
2020-06-30; 91.2; 26.2; 12.4; 38.6; 0.0; 0.0; 0.0; 18.3; 18.3; 148.1; -37.1; -3.8; 0.0; 0.0; 0.0; 0.0; 0.0; -40.9; -0.5; 0.0; -0.5; 11.4; 11.4; -11.8; 0.0; -0.9; 110.6; 12.3; -11.8
