Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 192.0; 131.0; -210.0; -79.0; 90.0; 0.0; 0.0; -24.0; 66.0; 179.0; -57.0; 0.0; -3.0; -200.0; 200.0; 0.0; -17.0; -77.0; -2.0; 0.0; -2.0; -363.0; -363.0; -91.0; 37.0; -419.0; -437.0; 24.0; -91.0
2022-06-30; 114.0; 148.0; 81.0; 229.0; 98.0; 0.0; 0.0; -204.0; -106.0; 237.0; -47.0; 0.0; -8.0; 0.0; 0.0; 0.0; 0.0; -55.0; 168.0; 0.0; 168.0; -471.0; -471.0; -91.0; 284.0; -110.0; -64.0; 25.0; -91.0
2022-03-31; 125.0; 151.0; 143.0; 294.0; 82.0; 0.0; 0.0; -480.0; -398.0; 21.0; -46.0; 0.0; -68.0; 200.0; 0.0; 200.0; -12.0; 74.0; -1.0; 0.0; -1.0; -2249.0; -2249.0; -98.0; -232.0; -2580.0; -2519.0; 22.0; -98.0
2021-12-31; 2407.0; 152.0; -2103.0; -1951.0; -309.0; 0.0; 0.0; 37.0; -272.0; 184.0; -52.0; 0.0; 3275.0; -200.0; 0.0; -200.0; -814.0; 2209.0; -38.0; 0.0; -38.0; -619.0; -619.0; -99.0; -102.0; -858.0; 1507.0; 30.0; -99.0
2021-09-30; 907.0; 154.0; -27.0; 127.0; 214.0; 0.0; 0.0; 263.0; 477.0; 1511.0; -43.0; 0.0; 30.0; 0.0; 0.0; 0.0; 0.0; -13.0; -455.0; 0.0; -455.0; -1000.0; -1000.0; -6.0; 272.0; -1189.0; 260.0; 19.0; -6.0
2021-06-30; 186.0; 170.0; 88.0; 258.0; 76.0; 0.0; 0.0; -26.0; 50.0; 494.0; -55.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -55.0; -7.0; 0.0; -7.0; 1.0; 1.0; -177.0; -52.0; -235.0; 214.0; 25.0; -177.0
2021-03-31; 736.0; 174.0; -352.0; -178.0; -115.0; 0.0; 0.0; -571.0; -686.0; -128.0; -51.0; 0.0; 696.0; 0.0; 0.0; 0.0; -216.0; 429.0; -508.0; 0.0; -508.0; 1.0; 1.0; -92.0; -233.0; -832.0; -591.0; 27.0; -92.0
2020-12-31; 483.0; 184.0; -117.0; 67.0; -287.0; 0.0; 0.0; 305.0; 18.0; 568.0; -54.0; 0.0; 22.0; 0.0; 0.0; 0.0; -20.0; -52.0; -8.0; 0.0; -8.0; 8.0; 8.0; -87.0; 799.0; 712.0; 1359.0; 31.0; -87.0
2020-09-30; 122.0; 181.0; -53.0; 128.0; 231.0; 0.0; 0.0; 40.0; 271.0; 521.0; -64.0; 0.0; 210.0; 0.0; 0.0; 0.0; -5.0; 141.0; -8.0; 0.0; -8.0; 3.0; 3.0; -88.0; -26.0; -119.0; 560.0; 31.0; -88.0
2020-06-30; 102.0; 186.0; 60.0; 246.0; 174.0; 0.0; 0.0; 140.0; 314.0; 662.0; -87.0; 0.0; 2.0; 0.0; 0.0; 0.0; -2.0; -87.0; -297.0; 0.0; -297.0; 2.0; 2.0; -87.0; -19.0; -401.0; 188.0; 29.0; -87.0
2020-03-31; 313.0; 219.0; 12.0; 231.0; -46.0; 0.0; 0.0; -475.0; -521.0; 23.0; -81.0; 0.0; -66.0; 0.0; 0.0; 0.0; -15.0; -162.0; 268.0; 0.0; 268.0; 3.0; 3.0; -84.0; -1.0; 186.0; 11.0; -1.0; -84.0
2019-12-31; 551.0; 190.0; 9.0; 199.0; -454.0; 0.0; 0.0; 165.0; -289.0; 461.0; -87.0; 0.0; -5.0; 0.0; 0.0; 0.0; 9.0; -83.0; -260.0; 0.0; -260.0; 11.0; 11.0; -84.0; 14.0; -319.0; 81.0; 26.0; -84.0
2019-09-30; 80.0; 176.0; 35.0; 211.0; 275.0; 0.0; 0.0; -249.0; 26.0; 317.0; -64.0; 0.0; -1319.0; 0.0; 0.0; 0.0; 0.0; -1383.0; 1340.0; 0.0; 1340.0; -92.0; -92.0; -84.0; -16.0; 1148.0; 62.0; 21.0; -84.0
2019-06-30; 149.0; 182.0; 13.0; 195.0; 39.0; 0.0; 0.0; -33.0; 6.0; 350.0; -80.0; 0.0; 13.0; 0.0; 0.0; 0.0; -6.0; -73.0; -246.0; 0.0; -246.0; -46.0; -46.0; -84.0; -80.0; -456.0; -180.0; 17.0; -84.0
2019-03-31; 293.0; 181.0; 16.0; 197.0; -121.0; 0.0; 0.0; -416.0; -537.0; -47.0; -74.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -75.0; 137.0; 0.0; 137.0; 22.0; 22.0; -77.0; 0.0; 82.0; -41.0; 10.0; -77.0
2018-12-31; 383.0; 181.0; -78.0; 103.0; -264.0; 0.0; 0.0; 350.0; 86.0; 572.0; -72.0; 0.0; -28.0; 0.0; 0.0; 0.0; -1.0; -101.0; -100.0; 0.0; -100.0; -177.0; -177.0; -78.0; -6.0; -361.0; 102.0; 35.0; -78.0
2018-09-30; 46.0; 181.0; -20.0; 161.0; 251.0; 0.0; 0.0; -137.0; 114.0; 321.0; -84.0; 0.0; 0.0; 0.0; 0.0; 0.0; -3.0; -87.0; 20.0; 0.0; 20.0; -129.0; -129.0; -79.0; -19.0; -207.0; 20.0; 11.0; -79.0
2018-06-30; 65.0; 193.0; -97.0; 96.0; 124.0; 0.0; 0.0; 92.0; 216.0; 377.0; -88.0; 0.0; -3.0; 0.0; 0.0; 0.0; 17.0; -74.0; 114.0; 0.0; 114.0; -262.0; -262.0; -81.0; -82.0; -311.0; -43.0; 1.0; -81.0
2018-03-31; 221.0; 192.0; -5.0; 187.0; -43.0; 0.0; 0.0; -347.0; -390.0; 18.0; -78.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -79.0; 40.0; 0.0; 40.0; 11.0; 11.0; -68.0; -7.0; -24.0; -76.0; 3.0; -68.0
2017-12-31; 253.0; 223.0; -301.0; -78.0; -95.0; 0.0; 0.0; 267.0; 172.0; 347.0; -68.0; 0.0; 0.0; 0.0; 0.0; 0.0; -5.0; -73.0; -54.0; 0.0; -54.0; -53.0; -53.0; -119.0; -7.0; -233.0; 118.0; 19.0; -119.0
2017-09-30; -54.0; 198.0; 56.0; 254.0; 205.0; 0.0; 0.0; -209.0; -4.0; 196.0; -99.0; 0.0; 0.0; 0.0; 0.0; 0.0; -8.0; -107.0; 373.0; 0.0; 373.0; -336.0; -336.0; -72.0; -15.0; -50.0; 60.0; 15.0; -72.0
2017-06-30; 41.0; 209.0; -39.0; 170.0; 79.0; 0.0; 0.0; -66.0; 13.0; 224.0; -74.0; 0.0; -1.0; 0.0; 0.0; 0.0; 2.0; -73.0; 48.0; 0.0; 48.0; -123.0; -123.0; -72.0; -63.0; -210.0; -49.0; 19.0; -72.0
2017-03-31; 352.0; 203.0; -36.0; 167.0; -253.0; 0.0; 0.0; -171.0; -424.0; 95.0; -77.0; 0.0; -12.0; 0.0; 0.0; 0.0; 7.0; -82.0; 222.0; 0.0; 222.0; -136.0; -136.0; -65.0; -7.0; 14.0; 31.0; 14.0; -65.0
2016-12-31; 148.0; 194.0; -37.0; 157.0; -121.0; 0.0; 0.0; 128.0; 7.0; 312.0; -89.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -88.0; 112.0; 0.0; 112.0; -155.0; -155.0; -87.0; 14.0; -116.0; 103.0; 29.0; -87.0
2016-09-30; -31.0; 202.0; -41.0; 161.0; 143.0; 0.0; 0.0; -72.0; 71.0; 185.0; -81.0; 0.0; 57.0; 0.0; 0.0; 0.0; -1.0; -25.0; -31.0; 0.0; -31.0; -168.0; -168.0; -66.0; -70.0; -335.0; -182.0; 26.0; -66.0
2016-06-30; 76.0; 169.0; 4.0; 173.0; 38.0; 0.0; 0.0; 14.0; 52.0; 317.0; -68.0; 0.0; -50.0; 0.0; 0.0; 0.0; 9.0; -109.0; -87.0; 0.0; -87.0; -21.0; -21.0; -67.0; -33.0; -208.0; -5.0; 33.0; -67.0
2016-03-31; 245.0; 204.0; -40.0; 164.0; -161.0; 0.0; 0.0; -129.0; -290.0; 119.0; -66.0; 0.0; 469.0; 0.0; 0.0; 0.0; 14.0; 417.0; -122.0; 0.0; -122.0; 11.0; 11.0; 0.0; -5.0; -116.0; 422.0; 35.0; 0.0
2015-12-31; -18.0; 48.0; -18.0; 30.0; -100.0; 0.0; 0.0; 206.0; 106.0; 131.0; -46.0; 0.0; -565.0; 0.0; 0.0; 0.0; 16.0; -595.0; 634.0; 0.0; 634.0; 31.0; 31.0; -112.0; -7.0; 546.0; 66.0; 18.0; -112.0
2015-09-30; 116.0; 48.0; -127.0; -79.0; 105.0; 0.0; 0.0; -52.0; 53.0; 106.0; -53.0; 0.0; -20.0; 0.0; 0.0; 0.0; -27.0; -100.0; 49.0; 0.0; 49.0; 8.0; 8.0; -56.0; -11.0; -10.0; -17.0; 12.0; -56.0
2015-06-30; 72.0; 39.0; -3.0; 36.0; -8.0; 0.0; 0.0; -22.0; -30.0; 71.0; -30.0; 0.0; -220.0; 0.0; 0.0; 0.0; 10.0; -240.0; 216.0; 0.0; 216.0; -13.0; -13.0; -55.0; -5.0; 143.0; -20.0; 16.0; -55.0
2015-03-31; 214.0; 36.0; 58.0; 94.0; -152.0; 0.0; 0.0; -198.0; -350.0; -64.0; -17.0; 0.0; -8.0; 0.0; 0.0; 0.0; 17.0; -8.0; -4.0; 0.0; -4.0; 23.0; 23.0; -54.0; -4.0; -39.0; -132.0; 18.0; -54.0
2014-12-31; 83.0; 30.0; 33.0; 63.0; -35.0; 0.0; 0.0; 69.0; 34.0; 196.0; -36.0; 3.0; -130.0; 0.0; 8.0; 8.0; -4.0; -159.0; -4.0; 0.0; -4.0; 20.0; 20.0; -37.0; -19.0; -40.0; -21.0; 10.0; -37.0
2014-09-30; -8.0; 39.0; 17.0; 56.0; 106.0; 0.0; 0.0; -25.0; 81.0; 129.0; -25.0; -2.0; -6.0; 0.0; -2.0; -2.0; 0.0; -35.0; -3.0; 0.0; -3.0; -70.0; -70.0; -55.0; 0.0; -128.0; -52.0; 14.0; -55.0
2014-06-30; 48.0; 39.0; 57.0; 96.0; 3.0; 0.0; 0.0; 0.0; 3.0; 147.0; -31.0; 0.0; -28.0; 0.0; -2.0; -2.0; 0.0; -61.0; -4.0; 0.0; -4.0; -32.0; -32.0; -66.0; -4.0; -106.0; -26.0; 14.0; -66.0
2014-03-31; 250.0; 38.0; 4.0; 42.0; -140.0; 0.0; 0.0; -147.0; -287.0; 5.0; -21.0; -1.0; 5.0; 0.0; -4.0; -4.0; 0.0; -21.0; -4.0; 0.0; -4.0; 8.0; 8.0; -52.0; -1.0; -49.0; -62.0; 14.0; -52.0
2013-12-31; 74.0; 40.0; 37.0; 77.0; -60.0; 0.0; 0.0; 104.0; 44.0; 195.0; -31.0; -6.0; 20.0; 0.0; 2.0; 2.0; 0.0; -15.0; -6.0; 0.0; -6.0; 50.0; 50.0; -50.0; 1.0; -5.0; 173.0; 11.0; -50.0
2013-09-30; -27.0; 37.0; 111.0; 148.0; 68.0; 0.0; 0.0; 40.0; 108.0; 229.0; -26.0; 0.0; -1.0; 0.0; -3.0; -3.0; 0.0; -30.0; -2.0; 0.0; -2.0; 43.0; 43.0; -50.0; -73.0; -82.0; 120.0; 10.0; -50.0
2013-06-30; 107.0; 36.0; 14.0; 50.0; 4.0; 0.0; 0.0; -68.0; -64.0; 98.0; -24.0; -1.0; -28.0; 0.0; -1.0; -1.0; 0.0; -54.0; -57.0; 0.0; -57.0; 43.0; 43.0; -55.0; 1.0; -68.0; -28.0; 9.0; -55.0
