Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 310.0; 119.0; 39.0; 158.0; 121.0; 28.0; 0.0; -4.0; 125.0; 562.0; 189.0; 0.0; -286.0; 0.0; 0.0; 0.0; 0.0; -97.0; 0.0; 0.0; 0.0; -142.0; -142.0; -133.0; -1.0; -276.0; 189.0; 8.0; -133.0
2022-06-30; 788.0; 119.0; 67.0; 186.0; 198.0; 29.0; 0.0; -2.0; 189.0; 1146.0; -364.0; 0.0; 18.0; 0.0; 0.0; 0.0; 0.0; -346.0; 0.0; 0.0; 0.0; -139.0; -139.0; -134.0; -1.0; -274.0; 526.0; 9.0; -134.0
2022-03-31; 771.0; 122.0; 354.0; 476.0; -238.0; -87.0; 0.0; -1.0; -278.0; 957.0; -70.0; 0.0; -18.0; 0.0; 0.0; 0.0; 1.0; -87.0; -322.0; 0.0; -322.0; -106.0; -106.0; -1218.0; -18.0; -1664.0; -794.0; 8.0; -1218.0
2021-12-31; 416.0; 121.0; 29.0; 150.0; 89.0; -22.0; 0.0; -4.0; -33.0; 494.0; -218.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -217.0; -150.0; 0.0; -150.0; -69.0; -69.0; -502.0; -3.0; -724.0; -447.0; 7.0; -502.0
2021-09-30; 482.0; 118.0; 0.0; 118.0; 205.0; -4.0; 0.0; -20.0; 89.0; 659.0; 51.0; 0.0; 112.0; 0.0; 0.0; 0.0; 2.0; 165.0; 0.0; 0.0; 0.0; -25.0; -25.0; -127.0; -3.0; -155.0; 669.0; 8.0; -127.0
2021-06-30; 1028.0; 120.0; 54.0; 174.0; -113.0; 9.0; 0.0; 1.0; 138.0; 1308.0; -221.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -220.0; -225.0; 0.0; -225.0; 28.0; 28.0; -128.0; -2.0; -327.0; 761.0; 8.0; -128.0
2021-03-31; 681.0; 118.0; 61.0; 179.0; -139.0; -60.0; 0.0; -2.0; -141.0; 698.0; -53.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -53.0; 0.0; 0.0; 0.0; 17.0; 17.0; -127.0; -14.0; -124.0; 521.0; 7.0; -127.0
2020-12-31; 292.0; 117.0; 14.0; 131.0; 116.0; -27.0; 0.0; -9.0; -43.0; 444.0; -82.0; 0.0; -44.0; 0.0; 0.0; 0.0; 0.0; -126.0; -556.0; 0.0; -556.0; 24.0; 24.0; -127.0; -4.0; -663.0; -345.0; 8.0; -127.0
2020-09-30; 283.0; 115.0; 179.0; 294.0; -141.0; 0.0; 0.0; 0.0; 26.0; 608.0; -65.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -65.0; -348.0; 0.0; -348.0; 3.0; 3.0; 0.0; -1.0; -346.0; 197.0; 7.0; 0.0
2020-06-30; 72.0; 117.0; 155.0; 272.0; 31.0; 74.0; 0.0; 7.0; 63.0; 391.0; -66.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -65.0; -588.0; -550.0; -1138.0; 0.0; 0.0; 0.0; -3.0; -1141.0; -815.0; 8.0; 0.0
2020-03-31; 150.0; 123.0; -9.0; 114.0; -82.0; -72.0; 0.0; -2.0; -168.0; 86.0; -68.0; 0.0; 145.0; 0.0; 0.0; 0.0; 364.0; 441.0; 732.0; 320.0; 1052.0; 6.0; 6.0; -254.0; -12.0; 792.0; 1319.0; 7.0; -254.0
2019-12-31; -14.0; 128.0; 92.0; 220.0; 93.0; -21.0; 0.0; 1.0; 141.0; 292.0; -143.0; 0.0; 297.0; 0.0; 0.0; 0.0; 1.0; 155.0; 0.0; -210.0; -210.0; 5.0; 5.0; -253.0; -3.0; -461.0; -14.0; 7.0; -253.0
2019-09-30; 99.0; 135.0; 38.0; 173.0; 40.0; 30.0; 0.0; 2.0; 21.0; 292.0; -98.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -97.0; -302.0; 300.0; -2.0; 4.0; 4.0; -253.0; -3.0; -254.0; -59.0; 7.0; -253.0
2019-06-30; 128.0; 124.0; 6.0; 130.0; 21.0; 28.0; 0.0; 8.0; 159.0; 396.0; -84.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -83.0; 0.0; -105.0; -105.0; 2.0; 2.0; -253.0; -4.0; -360.0; -47.0; 7.0; -253.0
2019-03-31; -289.0; 123.0; 421.0; 544.0; -108.0; -60.0; 0.0; -5.0; -255.0; -14.0; -59.0; 0.0; 0.0; 0.0; 0.0; 0.0; 271.0; 212.0; 227.0; -180.0; 47.0; -58.0; -58.0; -254.0; -8.0; -273.0; -75.0; 9.0; -254.0
2018-12-31; -93.0; 125.0; 200.0; 325.0; 123.0; -5.0; 0.0; -11.0; 86.0; 292.0; -144.0; 0.0; 0.0; 0.0; 0.0; 0.0; -32.0; -176.0; -209.0; 425.0; 216.0; -93.0; -93.0; -254.0; 1.0; -130.0; -14.0; 11.0; -254.0
2018-09-30; 255.0; 122.0; 153.0; 275.0; -78.0; 27.0; 0.0; -6.0; -120.0; 87.0; -105.0; 0.0; 0.0; 0.0; 0.0; 0.0; -10.0; -115.0; 0.0; 0.0; 0.0; -269.0; -269.0; -256.0; 0.0; -525.0; -553.0; 13.0; -256.0
2018-06-30; 317.0; 119.0; 48.0; 167.0; -8.0; 30.0; 0.0; 4.0; 129.0; 597.0; -97.0; 0.0; 0.0; 0.0; 0.0; 0.0; 24.0; -73.0; 0.0; 0.0; 0.0; 23.0; 23.0; -243.0; -1.0; -221.0; 303.0; 9.0; -243.0
