Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 331.0; 33.0; 28.0; 61.0; -22.0; 0.0; 0.0; -1.0; 61.0; 453.0; -61.0; 0.0; 10.0; 0.0; 0.0; 0.0; 3.0; -48.0; -20.0; 0.0; -20.0; -157.0; -157.0; -162.0; -3.0; -342.0; 35.0; 19.0; -162.0
2022-06-30; 224.0; 34.0; 122.0; 156.0; -33.0; 0.0; 0.0; 11.0; -111.0; 269.0; -55.0; 0.0; 17.0; 0.0; 0.0; 0.0; 3.0; -35.0; 356.0; -174.0; 182.0; -214.0; -214.0; -162.0; -15.0; -209.0; 10.0; 19.0; -162.0
2022-03-31; 399.0; 37.0; -52.0; -15.0; 29.0; 0.0; 0.0; -13.0; -131.0; 253.0; -42.0; 0.0; 24.0; 0.0; 0.0; 0.0; -11.0; -29.0; -15.0; 174.0; 159.0; -343.0; -343.0; -165.0; -28.0; -377.0; -153.0; 26.0; -165.0
2021-12-31; 330.0; 47.0; 9.0; 56.0; -46.0; 0.0; 0.0; -28.0; 28.0; 414.0; -92.0; 0.0; 37.0; 0.0; 0.0; 0.0; 5.0; -50.0; -10.0; 0.0; -10.0; -734.0; -734.0; -146.0; 4.0; -886.0; -540.0; 17.0; -146.0
2021-09-30; 528.0; 39.0; -128.0; -89.0; -25.0; 0.0; 0.0; 6.0; 80.0; 519.0; -54.0; 0.0; 5.0; 0.0; 0.0; 0.0; -66.0; -115.0; 605.0; 0.0; 605.0; -327.0; -327.0; -147.0; -46.0; 85.0; 477.0; 20.0; -147.0
2021-06-30; 391.0; 39.0; 25.0; 64.0; -2.0; 0.0; 0.0; -2.0; -6.0; 449.0; -39.0; 0.0; 23.0; 0.0; 0.0; 0.0; -6.0; -22.0; 10.0; 0.0; 10.0; -244.0; -244.0; -149.0; -20.0; -403.0; 32.0; 17.0; -149.0
2021-03-31; 326.0; 39.0; 59.0; 98.0; 27.0; 0.0; 0.0; -9.0; -100.0; 324.0; -45.0; 0.0; 20.0; 0.0; 0.0; 0.0; 39.0; 14.0; -112.0; 0.0; -112.0; -286.0; -286.0; -150.0; -15.0; -563.0; -222.0; 21.0; -150.0
2020-12-31; 332.0; 46.0; -4.0; 42.0; 16.0; 0.0; 0.0; -3.0; 78.0; 452.0; -61.0; 0.0; 6.0; 0.0; 0.0; 0.0; -11.0; -66.0; -375.0; 0.0; -375.0; -239.0; -239.0; -141.0; -7.0; -762.0; -351.0; 53.0; -141.0
2020-09-30; 283.0; 47.0; 4.0; 51.0; 42.0; 0.0; 0.0; 37.0; 157.0; 491.0; -32.0; 0.0; 10.0; 0.0; 206.0; 206.0; 19.0; 203.0; -51.0; -575.0; -626.0; 0.0; 0.0; -142.0; -16.0; -784.0; -73.0; 15.0; -142.0
2020-06-30; 206.0; 26.0; -15.0; 11.0; -21.0; 0.0; 0.0; -9.0; -93.0; 124.0; -32.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; -31.0; 579.0; -402.0; 177.0; 0.0; 0.0; -142.0; -25.0; 10.0; 138.0; 11.0; -142.0
2020-03-31; 83.0; 27.0; 182.0; 209.0; 25.0; 0.0; 0.0; -17.0; -54.0; 238.0; -35.0; 0.0; -406.0; 0.0; 0.0; 0.0; 0.0; -441.0; -20.0; 972.0; 952.0; 0.0; 0.0; -141.0; -13.0; 798.0; 542.0; 18.0; -141.0
2019-12-31; 488.0; 28.0; -180.0; -152.0; -52.0; 0.0; 0.0; 1.0; 96.0; 432.0; -87.0; 0.0; 55.0; 0.0; 0.0; 0.0; -2.0; -34.0; -20.0; -6.0; -26.0; -343.0; -343.0; -126.0; -3.0; -498.0; -68.0; 14.0; -126.0
2019-09-30; 255.0; 30.0; 86.0; 116.0; -11.0; 0.0; 0.0; 15.0; 51.0; 422.0; -33.0; 0.0; 30.0; 0.0; 0.0; 0.0; 1.0; -2.0; 529.0; -151.0; 378.0; -167.0; -167.0; -128.0; -31.0; 52.0; 447.0; 14.0; -128.0
2019-06-30; 289.0; 28.0; 14.0; 42.0; -7.0; 0.0; 0.0; -11.0; -170.0; 161.0; -32.0; 0.0; 11.0; 0.0; 0.0; 0.0; 3.0; -18.0; -20.0; 144.0; 124.0; -196.0; -196.0; -128.0; -14.0; -214.0; -85.0; 14.0; -128.0
2019-03-31; 262.0; 26.0; 66.0; 92.0; 14.0; 0.0; 0.0; -13.0; -54.0; 300.0; -44.0; 0.0; 14.0; 0.0; 0.0; 0.0; -4.0; -34.0; -20.0; 17.0; -3.0; -109.0; -109.0; -129.0; -37.0; -278.0; 0.0; 17.0; -129.0
2018-12-31; 334.0; 34.0; -72.0; -38.0; -31.0; 0.0; 0.0; -10.0; 84.0; 380.0; -87.0; 0.0; 314.0; 0.0; 0.0; 0.0; -3.0; 224.0; 648.0; -273.0; 375.0; -706.0; -706.0; -113.0; -15.0; -459.0; 137.0; 14.0; -113.0
2018-09-30; 454.0; 32.0; -104.0; -72.0; -20.0; 0.0; 0.0; 6.0; 33.0; 415.0; -62.0; 0.0; 193.0; 0.0; 0.0; 0.0; 0.0; 131.0; -13.0; 63.0; 50.0; -516.0; -516.0; -113.0; -3.0; -582.0; -72.0; 9.0; -113.0
2018-06-30; 321.0; 34.0; -81.0; -47.0; -19.0; 0.0; 0.0; 26.0; -82.0; 192.0; -43.0; 0.0; 47.0; 0.0; -200.0; -200.0; -10.0; -206.0; -11.0; 205.0; 194.0; -670.0; -670.0; -116.0; -11.0; -603.0; -674.0; 10.0; -116.0
2018-03-31; 433.0; 37.0; -177.0; -140.0; 4.0; 0.0; 0.0; -22.0; -104.0; 189.0; -42.0; 0.0; 205.0; 0.0; 0.0; 0.0; 1.0; 164.0; -332.0; 5.0; -327.0; -498.0; -498.0; -120.0; -31.0; -976.0; -585.0; 17.0; -120.0
2017-12-31; 436.0; 58.0; -208.0; -150.0; -36.0; 0.0; 0.0; -3.0; 26.0; 312.0; -90.0; 0.0; 1057.0; 0.0; 0.0; 0.0; 16.0; 983.0; -13.0; -35.0; -48.0; -612.0; -612.0; -101.0; -5.0; -766.0; 548.0; 12.0; -101.0
2017-09-30; 418.0; 60.0; -103.0; -43.0; -13.0; 0.0; 0.0; -10.0; -96.0; 279.0; -78.0; 0.0; 395.0; 0.0; 0.0; 0.0; -1.0; 316.0; -12.0; 35.0; 23.0; -492.0; -492.0; -104.0; -46.0; -619.0; -5.0; 10.0; -104.0
2017-06-30; 206.0; 65.0; 48.0; 113.0; 12.0; 0.0; 0.0; 4.0; -168.0; 151.0; -74.0; 0.0; 136.0; 0.0; 0.0; 0.0; 7.0; 69.0; 736.0; 0.0; 736.0; -395.0; -395.0; -105.0; -17.0; 219.0; 445.0; 26.0; -105.0
2017-03-31; 280.0; 70.0; -43.0; 27.0; 18.0; 0.0; 0.0; -1.0; -19.0; 288.0; -76.0; 0.0; 185.0; 0.0; 0.0; 0.0; -5.0; 104.0; -8.0; 0.0; -8.0; -461.0; -461.0; -106.0; -54.0; -629.0; -220.0; 17.0; -106.0
2016-12-31; 303.0; 86.0; -24.0; 62.0; -54.0; -6.0; 0.0; -19.0; -53.0; 312.0; -135.0; 0.0; 223.0; 0.0; 0.0; 0.0; 35.0; 123.0; -13.0; 0.0; -13.0; -1087.0; -1087.0; -185.0; 99.0; -1186.0; -777.0; 38.0; -185.0
2016-09-30; 640.0; 77.0; -379.0; -302.0; -3.0; 2.0; 0.0; 4.0; 11.0; 349.0; -106.0; 0.0; 63.0; 0.0; 0.0; 0.0; 6.0; -37.0; -6.0; 0.0; -6.0; -2249.0; -2249.0; -180.0; 57.0; -2378.0; -2073.0; 20.0; -180.0
2016-06-30; 336.0; 74.0; -111.0; -37.0; -11.0; 2.0; 0.0; 9.0; -21.0; 278.0; -106.0; 0.0; 76.0; 0.0; 0.0; 0.0; 7.0; -23.0; 6598.0; -2080.0; 4518.0; -1142.0; -1142.0; -187.0; 9.0; 3198.0; 3449.0; 9.0; -187.0
2016-03-31; 364.0; 73.0; -148.0; -75.0; 45.0; 2.0; 0.0; 6.0; 20.0; 309.0; -80.0; 0.0; 8.0; 0.0; 0.0; 0.0; 5.0; -67.0; -2.0; 795.0; 793.0; -925.0; -925.0; -192.0; -54.0; -378.0; -133.0; 13.0; -192.0
2015-12-31; 260.0; -186.0; -357.0; -543.0; -21.0; -66.0; 0.0; 17.0; -274.0; -557.0; 200.0; 0.0; 141.0; 0.0; 0.0; 0.0; -18.0; 323.0; -257.0; 1028.0; 771.0; -830.0; -830.0; -198.0; 187.0; -70.0; -311.0; 6.0; -198.0
2015-09-30; 426.0; 179.0; 49.0; 228.0; -31.0; 41.0; 0.0; 2.0; 216.0; 870.0; -238.0; 0.0; 43.0; 16.0; 0.0; 16.0; 9.0; -170.0; -3.0; -181.0; -184.0; -94.0; -94.0; -177.0; 12.0; -443.0; 225.0; 12.0; -177.0
