Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2306.0; 738.0; 1568.0; 0.0; 619.0; 0.0; 969.0; 599.0; -68.0; 531.0; 78.0; 453.0; 0.0; 453.0; 0.0; 452.0; 973.0; 599.0; 258.4; 259.5; 1.75; 1.74
2022-06-30; 1726.0; 481.0; 1245.0; 0.0; 620.0; 0.0; 936.0; 309.0; -64.0; 245.0; 36.0; 209.0; 0.0; 209.0; 0.0; 207.0; 664.0; 309.0; 258.2; 259.4; 0.8; 0.8
2022-03-31; 1879.0; 646.0; 1233.0; 0.0; 603.0; 0.0; 902.0; 331.0; -44.0; 287.0; 34.0; 253.0; 0.0; 253.0; 0.0; 252.0; 681.0; 331.0; 257.9; 259.0; 0.98; 0.97
2021-12-31; 1545.0; 453.0; 1092.0; 0.0; 605.0; 0.0; 895.0; 197.0; -42.0; 155.0; 29.0; 126.0; 0.0; 126.0; 0.0; 125.0; 540.0; 197.0; 256.3; 257.6; 0.47; 0.48
2021-09-30; 1811.0; 388.0; 1423.0; 0.0; 599.0; 0.0; 889.0; 534.0; -38.0; 496.0; 70.0; 426.0; 0.0; 426.0; 0.0; 425.0; 864.0; 534.0; 257.3; 258.6; 1.66; 1.65
2021-06-30; 1472.0; 367.0; 1105.0; 0.0; 534.0; 0.0; 819.0; 286.0; -47.0; 239.0; 31.0; 208.0; 0.0; 208.0; 0.0; 207.0; 613.0; 286.0; 256.1; 257.2; 0.81; 0.8
2021-03-31; 1566.0; 421.0; 1145.0; 0.0; 548.0; 0.0; 829.0; 316.0; -54.0; 262.0; 27.0; 235.0; 0.0; 235.0; 0.0; 233.0; 616.0; 316.0; 254.4; 255.9; 0.92; 0.91
2020-12-31; 1328.0; 309.0; 1019.0; 0.0; 532.0; 0.0; 808.0; 211.0; -74.0; 137.0; 21.0; 116.0; 0.0; 116.0; 0.0; 115.0; 500.0; 211.0; 247.0; 248.7; 0.47; 0.46
2020-09-30; 1628.0; 315.0; 1313.0; 0.0; 546.0; 0.0; 819.0; 494.0; -62.0; 432.0; 63.0; 369.0; 0.0; 369.0; 0.0; 367.0; 792.0; 494.0; 247.1; 249.2; 1.48; 1.47
2020-06-30; 1398.0; 270.0; 1128.0; 0.0; 503.0; 0.0; 774.0; 354.0; -60.0; 294.0; 50.0; 244.0; 0.0; 244.0; 0.0; 243.0; 651.0; 354.0; 246.9; 247.9; 0.99; 0.98
2020-03-31; 1440.0; 381.0; 1059.0; 0.0; 563.0; 0.0; 818.0; 241.0; -72.0; 169.0; 21.0; 148.0; 0.0; 148.0; 0.0; 146.0; 532.0; 241.0; 246.4; 248.1; 0.59; 0.59
2019-12-31; 1316.0; 337.0; 979.0; 0.0; 550.0; 0.0; 800.0; 179.0; -60.0; 119.0; 24.0; 95.0; 0.0; 95.0; 0.0; 94.0; 464.0; 179.0; 245.6; 247.1; 0.38; 0.38
2019-09-30; 1659.0; 326.0; 1333.0; 0.0; 565.0; 0.0; 813.0; 520.0; -62.0; 458.0; 92.0; 366.0; 0.0; 366.0; 0.0; 364.0; 799.0; 520.0; 245.9; 247.5; 1.48; 1.47
2019-06-30; 1379.0; 282.0; 1097.0; 0.0; 568.0; 0.0; 817.0; 280.0; -61.0; 219.0; 39.0; 180.0; 0.0; 180.0; 0.0; 179.0; 543.0; 280.0; 245.6; 247.2; 0.73; 0.72
2019-03-31; 1556.0; 477.0; 1079.0; 0.0; 543.0; 0.0; 791.0; 288.0; -68.0; 220.0; 27.0; 193.0; 0.0; 193.0; 0.0; 191.0; 561.0; 288.0; 244.9; 246.4; 0.78; 0.78
