Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 4820.0; 2607.0; 2213.0; 0.0; 1051.0; 0.0; 1110.0; 1103.0; 0.0; 1103.0; -493.0; 1596.0; 0.0; 1596.0; 0.0; 1596.0; 1430.0; 1162.0; 629.35; 631.95; 2.54; 2.53
2022-06-30; 5400.0; 2577.0; 2823.0; 0.0; 1067.0; 0.0; 1122.0; 1701.0; 0.0; 1701.0; 313.0; 1388.0; 0.0; 1388.0; 0.0; 1388.0; 2024.0; 1756.0; 640.71; 643.24; 2.17; 2.16
2022-03-31; 5272.0; 2787.0; 2485.0; 0.0; 1153.0; 0.0; 1209.0; 1276.0; 0.0; 1276.0; 244.0; 1032.0; 0.0; 1032.0; 0.0; 1032.0; 1654.0; 1332.0; 649.75; 652.83; 1.59; 1.58
2021-12-31; 5436.0; 2883.0; 2553.0; 0.0; 1263.0; 0.0; 1320.0; 1233.0; 0.0; 1233.0; 194.0; 1039.0; 0.0; 1039.0; 0.0; 1039.0; 1591.0; 1290.0; 673.62; 676.73; 1.58; 1.58
2021-09-30; 5237.0; 2920.0; 2317.0; 0.0; 1147.0; 0.0; 1204.0; 1113.0; 0.0; 1113.0; 225.0; 888.0; 0.0; 888.0; 0.0; 888.0; 1447.0; 1170.0; 668.76; 671.92; 1.33; 1.32
2021-06-30; 5564.0; 2968.0; 2596.0; 0.0; 1161.0; 0.0; 1223.0; 1373.0; 0.0; 1373.0; 268.0; 1105.0; 0.0; 1105.0; 0.0; 1105.0; 1716.0; 1435.0; 678.05; 680.92; 1.63; 1.62
2021-03-31; 5869.0; 3061.0; 2808.0; 0.0; 1143.0; 0.0; 1205.0; 1603.0; 0.0; 1603.0; 310.0; 1293.0; 0.0; 1293.0; 0.0; 1293.0; 1976.0; 1665.0; 688.94; 691.94; 1.88; 1.87
2020-12-31; 5913.0; 3298.0; 2615.0; 0.0; 1338.0; 0.0; 1399.0; 1216.0; 0.0; 1216.0; 265.0; 951.0; 0.0; 951.0; 0.0; 951.0; 1577.0; 1277.0; 713.7; 716.19; 1.34; 1.33
2020-09-30; 5665.0; 3310.0; 2355.0; 0.0; 1139.0; 0.0; 1202.0; 1153.0; 0.0; 1153.0; -1303.0; 2456.0; 0.0; 2456.0; 0.0; 2456.0; 1508.0; 1216.0; 711.7; 713.79; 3.45; 3.44
2020-06-30; 5407.0; 3229.0; 2178.0; 0.0; 1045.0; 0.0; 1108.0; 1070.0; 0.0; 1070.0; 265.0; 805.0; 0.0; 805.0; 0.0; 805.0; 1422.0; 1133.0; 717.89; 719.76; 1.12; 1.12
2020-03-31; 5162.0; 3275.0; 1887.0; 0.0; 1112.0; 0.0; 1167.0; 720.0; 0.0; 720.0; 154.0; 566.0; 0.0; 566.0; 0.0; 566.0; 1108.0; 775.0; 724.37; 727.51; 0.78; 0.78
2019-12-31; 5603.0; 3315.0; 2288.0; 0.0; 1174.0; 0.0; 1230.0; 1058.0; 0.0; 1058.0; 276.0; 782.0; 0.0; 782.0; 0.0; 782.0; 1429.0; 1114.0; 742.41; 746.43; 1.07; 1.07
2019-09-30; 5536.0; 3357.0; 2179.0; 0.0; 1086.0; 0.0; 1143.0; 1036.0; 0.0; 1036.0; 259.0; 777.0; 0.0; 777.0; 0.0; 777.0; 1411.0; 1093.0; 739.95; 743.84; 1.05; 1.04
2019-06-30; 5511.0; 3293.0; 2218.0; 0.0; 1052.0; 0.0; 1109.0; 1109.0; 0.0; 1109.0; 292.0; 817.0; 0.0; 817.0; 0.0; 817.0; 1475.0; 1166.0; 745.15; 748.85; 1.1; 1.09
2019-03-31; 5657.0; 3298.0; 2359.0; 0.0; 1059.0; 0.0; 1117.0; 1242.0; 0.0; 1242.0; 314.0; 928.0; 0.0; 928.0; 0.0; 928.0; 1640.0; 1300.0; 751.42; 755.79; 1.23; 1.23
2018-12-31; 5128.0; 3239.0; 1889.0; 0.0; 1106.0; 0.0; 1165.0; 724.0; 0.0; 724.0; 198.0; 526.0; 0.0; 526.0; 0.0; 526.0; 1096.0; 783.0; 769.59; 774.65; 0.69; 0.7
2018-09-30; 5577.0; 3333.0; 2244.0; 0.0; 1045.0; 0.0; 1098.0; 1146.0; 0.0; 1146.0; 301.0; 845.0; 0.0; 845.0; 0.0; 845.0; 1514.0; 1199.0; 767.05; 772.07; 1.1; 1.09
2018-06-30; 5589.0; 3369.0; 2220.0; 0.0; 1035.0; 0.0; 1089.0; 1131.0; 0.0; 1131.0; 299.0; 832.0; 0.0; 832.0; 0.0; 832.0; 1488.0; 1185.0; 772.95; 777.81; 1.08; 1.07
2018-03-31; 5464.0; 3379.0; 2085.0; 0.0; 1047.0; 0.0; 1103.0; 982.0; 0.0; 982.0; 265.0; 717.0; 0.0; 717.0; 0.0; 717.0; 1352.0; 1038.0; 778.55; 783.85; 0.92; 0.91
2017-12-31; 5424.0; 3328.0; 2096.0; 0.0; 1038.0; 0.0; 1096.0; 1000.0; 0.0; 1000.0; -1583.0; 2583.0; 0.0; 2583.0; 0.0; 2583.0; 1342.0; 1058.0; 792.04; 797.86; 3.26; 3.25
2017-09-30; 5506.0; 3415.0; 2091.0; 0.0; 957.0; 0.0; 1016.0; 1075.0; 0.0; 1075.0; 359.0; 716.0; 0.0; 716.0; 0.0; 716.0; 1405.0; 1134.0; 788.96; 794.76; 0.91; 0.9
2017-06-30; 5428.0; 3374.0; 2054.0; 0.0; 948.0; 0.0; 1009.0; 1045.0; 0.0; 1045.0; 332.0; 713.0; 0.0; 713.0; 0.0; 713.0; 1389.0; 1106.0; 792.87; 798.7; 0.9; 0.89
2017-03-31; 5309.0; 3380.0; 1929.0; 0.0; 969.0; 0.0; 1031.0; 898.0; 0.0; 898.0; 306.0; 592.0; 0.0; 592.0; 0.0; 592.0; 1254.0; 960.0; 802.26; 808.14; 0.74; 0.73
2016-12-31; 5955.0; 3599.0; 2356.0; 0.0; 1187.0; 0.0; 1203.0; 1153.0; 0.0; 1153.0; 402.0; 751.0; 0.0; 751.0; 0.0; 751.0; 1225.0; 1225.0; 822.94; 827.84; 0.92; 0.92
2016-09-30; 5716.0; 3731.0; 1985.0; 0.0; 957.0; 0.0; 1022.0; 963.0; 0.0; 963.0; 334.0; 629.0; 0.0; 629.0; 0.0; 629.0; 1028.0; 1028.0; 817.04; 822.28; 0.77; 0.77
2016-06-30; 5437.0; 3599.0; 1838.0; 0.0; 938.0; 0.0; 1004.0; 834.0; 0.0; 834.0; 286.0; 548.0; 0.0; 548.0; 0.0; 548.0; 900.0; 900.0; 823.71; 828.65; 0.67; 0.66
2016-03-31; 5451.0; 3358.0; 2093.0; 0.0; 855.0; -56.0; 976.0; 1117.0; 0.0; 1117.0; 386.0; 731.0; 0.0; 731.0; 0.0; 731.0; 1182.0; 1182.0; 837.5; 841.84; 0.88; 0.87
2015-12-31; 5319.0; 3252.0; 2067.0; 0.0; 1248.0; 0.0; 956.0; 1111.0; 0.0; 1111.0; 381.0; 730.0; 0.0; 730.0; 0.0; 730.0; 1176.0; 1176.0; 861.31; 866.34; 0.85; 0.85
2015-09-30; 5040.0; 3253.0; 1787.0; 0.0; 812.0; -44.0; 923.0; 864.0; 0.0; 864.0; 297.0; 567.0; 0.0; 567.0; 0.0; 567.0; 931.0; 931.0; 857.47; 862.2; 0.66; 0.66
2015-06-30; 5287.0; 3262.0; 2025.0; 0.0; 805.0; -272.0; 1151.0; 874.0; 0.0; 874.0; 301.0; 573.0; 0.0; 573.0; 0.0; 573.0; 948.0; 948.0; 863.34; 868.51; 0.67; 0.66
2015-03-31; 5226.0; 3282.0; 1944.0; 0.0; 807.0; -41.0; 931.0; 1013.0; 0.0; 1013.0; 350.0; 663.0; 0.0; 663.0; 0.0; 663.0; 1096.0; 1096.0; 874.61; 879.85; 0.76; 0.76
2014-12-31; 5514.0; 3409.0; 2105.0; 0.0; 891.0; -60.0; 1030.0; 1075.0; 0.0; 1075.0; 372.0; 703.0; 0.0; 703.0; 0.0; 703.0; 1154.0; 1154.0; 902.41; 908.0; 0.79; 0.78
2014-09-30; 5736.0; 3716.0; 2020.0; 0.0; 837.0; -32.0; 946.0; 1074.0; 0.0; 1074.0; 368.0; 706.0; 0.0; 706.0; 0.0; 706.0; 1151.0; 1151.0; 902.49; 907.96; 0.78; 0.78
2014-06-30; 5838.0; 3662.0; 2176.0; 0.0; 813.0; -44.0; 938.0; 1238.0; 0.0; 1238.0; 428.0; 810.0; 0.0; 810.0; 0.0; 810.0; 1319.0; 1319.0; 905.12; 910.76; 0.9; 0.89
2014-03-31; 5640.0; 3586.0; 2054.0; 0.0; 828.0; -42.0; 950.0; 1104.0; 0.0; 1104.0; 372.0; 732.0; 0.0; 732.0; 0.0; 732.0; 1184.0; 1184.0; 909.46; 915.4; 0.81; 0.8
2013-12-31; 5801.0; 3766.0; 2035.0; 0.0; 875.0; -50.0; 1007.0; 1028.0; 0.0; 1028.0; 353.0; 675.0; 0.0; 675.0; 0.0; 675.0; 1110.0; 1110.0; 929.0; 934.82; 0.73; 0.73
2013-09-30; 5886.0; 3873.0; 2013.0; 0.0; 824.0; -49.0; 944.0; 1069.0; 0.0; 1069.0; 367.0; 702.0; 0.0; 702.0; 0.0; 702.0; 1140.0; 1140.0; 928.65; 934.78; 0.76; 0.75
2013-06-30; 6044.0; 3789.0; 2255.0; 0.0; 780.0; -48.0; 897.0; 1358.0; 0.0; 1358.0; 469.0; 889.0; 0.0; 889.0; 0.0; 889.0; 1427.0; 1427.0; 930.43; 935.95; 0.95; 0.95
