Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2696.0; 1532.0; 1164.0; 0.0; 299.0; -204.0; 574.0; 590.0; -80.0; 510.0; 92.0; 418.0; 0.0; 418.0; 0.0; 408.0; 661.0; 590.0; 210.9; 212.6; 1.93; 1.92
2022-06-30; 2983.0; 1639.0; 1344.0; 0.0; 391.0; -188.0; 644.0; 700.0; -67.0; 633.0; 119.0; 514.0; 0.0; 514.0; 0.0; 501.0; 765.0; 700.0; 213.3; 214.7; 2.35; 2.33
2022-03-31; 3670.0; 1767.0; 1903.0; 0.0; 275.0; -195.0; 536.0; 1367.0; -63.0; 1304.0; 256.0; 1048.0; 0.0; 1048.0; 0.0; 1023.0; 1433.0; 1367.0; 215.3; 216.4; 4.75; 4.73
2021-12-31; 3080.0; 1556.0; 1524.0; 0.0; 280.0; -194.0; 550.0; 974.0; 62.0; 1036.0; 163.0; 873.0; 0.0; 873.0; 0.0; 863.0; 1050.0; 974.0; 224.7; 226.1; 3.89; 3.88
2021-09-30; 2702.0; 1835.0; 867.0; 0.0; 1348.0; -228.0; 1668.0; -801.0; -67.0; -868.0; 23.0; -891.0; 0.0; -891.0; 0.0; -900.0; -709.0; -801.0; 225.4; 225.4; -3.99; -3.99
2021-06-30; 2886.0; 1628.0; 1258.0; 0.0; 318.0; -191.0; 586.0; 672.0; -76.0; 596.0; 203.0; 393.0; 0.0; 393.0; 0.0; 379.0; 749.0; 672.0; 227.0; 228.0; 1.67; 1.66
2021-03-31; 3525.0; 1719.0; 1806.0; 0.0; 289.0; -191.0; 561.0; 1245.0; -78.0; 1167.0; 234.0; 933.0; 0.0; 933.0; 0.0; 913.0; 1326.0; 1245.0; 227.1; 228.1; 4.02; 4.0
2020-12-31; 2965.0; 1635.0; 1330.0; 0.0; 340.0; -193.0; 617.0; 713.0; -87.0; 626.0; 92.0; 534.0; 0.0; 534.0; 0.0; 524.0; 797.0; 713.0; 231.9; 233.1; 2.29; 2.28
2020-09-30; 2385.0; 1387.0; 998.0; 0.0; 288.0; -177.0; 557.0; 441.0; -77.0; 364.0; 82.0; 282.0; 0.0; 282.0; 0.0; 275.0; 533.0; 441.0; 232.6; 233.5; 1.18; 1.18
2020-06-30; 2497.0; 1361.0; 1136.0; 0.0; 262.0; -181.0; 542.0; 594.0; -98.0; 496.0; 85.0; 411.0; 0.0; 411.0; 0.0; 398.0; 693.0; 594.0; 232.7; 233.6; 1.71; 1.7
2020-03-31; 3219.0; 1522.0; 1697.0; 0.0; 342.0; -184.0; 664.0; 1033.0; -53.0; 980.0; 189.0; 791.0; 0.0; 791.0; 0.0; 772.0; 1171.0; 1033.0; 233.2; 234.5; 3.31; 3.29
