Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 680.8; 307.01; 373.79; 69.95; 211.05; 0.0; 281.0; 92.8; -301.96; -209.17; -44.94; -164.23; 0.0; -164.23; 0.0; -164.23; 92.8; 92.8; 29.73; 29.73; -5.52; -5.52
2022-06-30; 691.1; 295.12; 395.98; 67.03; 208.73; 0.0; 275.76; 120.22; -1343.1; -1222.88; -295.7; -927.18; 0.0; -927.18; 0.0; -927.18; 120.22; 120.22; 29.79; 29.79; -31.12; -31.12
2022-03-31; 700.06; 296.5; 403.56; 62.54; 197.59; 0.0; 260.14; 143.42; -4514.44; -4371.02; -1001.4; -3369.61; 0.0; -3369.61; 0.0; -3369.61; 143.42; 143.42; 29.93; 29.93; -112.57; -112.57
2021-12-31; 732.77; 331.77; 401.0; 69.87; 224.15; 0.0; 294.02; 106.98; -2145.04; -2038.06; -464.4; -1573.66; 0.0; -1573.66; 0.0; -1573.66; 106.98; 106.98; 29.83; 30.21; -52.9; -52.1
2021-09-30; 747.05; 309.61; 437.44; 64.48; 216.15; 0.0; 280.63; 156.8; 4865.42; 5022.23; 1094.19; 3928.03; 0.0; 3928.03; 0.0; 3928.03; 156.8; 156.8; 29.81; 30.22; 131.75; 129.96
2021-06-30; 715.93; 314.33; 401.6; 63.39; 213.43; 0.0; 276.82; 124.78; 1031.99; 1156.78; 242.66; 914.11; 0.0; 914.11; 0.0; 914.11; 124.78; 124.78; 29.76; 30.15; 30.71; 30.32
2021-03-31; 726.8; 326.17; 400.63; 73.91; 225.85; 0.0; 299.76; 100.86; 1196.34; 1297.2; 319.79; 977.41; 0.0; 977.41; 0.0; 977.41; 100.86; 100.86; 29.82; 30.19; 32.77; 32.38
2020-12-31; 789.84; 329.68; 460.16; 115.07; 219.15; 0.0; 284.91; 175.24; 903.29; 1078.53; 239.43; 839.1; 0.0; 839.1; 0.0; 839.1; 175.24; 175.24; 29.77; 30.16; 28.06; 27.69
2020-09-30; 647.26; 279.95; 367.31; 59.55; 198.16; 0.0; 257.71; 109.6; 1574.86; 1684.46; 369.64; 1314.82; 0.0; 1314.82; 0.0; 1314.82; 109.6; 109.6; 29.72; 30.13; 44.24; 43.64
2020-06-30; 536.88; 243.89; 292.99; 51.98; 189.26; 0.0; 241.25; 51.74; 1194.2; 1245.94; 279.52; 966.43; 0.0; 966.43; 0.0; 966.43; 51.74; 51.74; 29.65; 30.06; 32.59; 32.15
2020-03-31; 571.64; 254.28; 317.37; 0.0; 193.69; 0.0; 243.0; 74.37; 824.33; 898.7; 212.79; 685.91; 0.0; 685.91; 0.0; 685.91; 74.37; 74.37; 29.86; 30.2; 22.97; 22.72
2019-12-31; 624.43; 293.99; 330.44; 105.01; 214.16; 0.0; 271.23; 59.2; 640.23; 699.43; 145.94; 553.49; 0.0; 553.49; 0.0; 553.49; 59.2; 59.2; 29.84; 30.18; 18.5; 18.35
2019-09-30; 560.63; 253.61; 307.03; 0.0; 201.62; 0.0; 249.57; 57.46; -392.68; -335.22; -76.4; -258.82; 0.0; -258.82; 0.0; -258.82; 57.46; 57.46; 29.83; 29.83; -8.68; -8.68
2019-06-30; 572.62; 264.85; 307.77; 50.12; 201.26; 0.0; 251.38; 56.39; 713.21; 769.6; 170.79; 598.81; 0.0; 598.81; 0.0; 598.81; 56.39; 56.39; 29.81; 30.15; 20.08; 19.86
2019-03-31; 553.98; 242.22; 311.76; 47.58; 207.58; 0.0; 255.16; 56.61; 1070.66; 1127.27; 262.07; 865.19; 0.0; 865.19; 0.0; 865.2; 56.61; 56.61; 29.8; 30.1; 29.03; 28.74
2018-12-31; 616.85; 284.28; 332.57; 0.0; 214.03; 0.0; 559.62; -227.05; -814.19; -1041.25; -212.72; -828.53; 0.0; -828.53; 0.0; -828.53; -227.05; -227.05; 29.84; 30.23; -27.81; -27.43
2018-09-30; 545.14; 258.42; 286.72; 0.0; 201.2; 0.0; 250.44; 36.27; 313.86; 350.13; 80.81; 269.33; 0.0; 269.33; 0.0; 269.33; 71.17; 36.27; 29.86; 30.29; 9.02; 8.89
2018-06-30; 575.91; 274.24; 301.67; 0.0; 210.43; 0.0; 257.88; 43.79; 296.29; 340.09; 72.04; 268.04; 0.0; 268.04; 0.0; 268.04; 43.79; 43.79; 29.81; 30.22; 8.99; 8.87
2018-03-31; 551.52; 249.32; 302.2; 0.0; 209.13; 0.0; 258.56; 43.65; 820.04; 863.69; 206.91; 656.77; 0.0; 656.77; 0.0; 656.77; 43.65; 43.65; 29.79; 30.17; 22.05; 21.77
2017-12-31; 621.29; 276.04; 345.26; 188.08; 201.73; 0.0; 289.28; 55.98; -10.03; 45.95; -36.78; 82.73; 0.0; 82.73; 0.0; 82.73; 55.98; 55.98; 29.66; 30.03; 2.79; 2.76
2017-09-30; 534.14; 235.13; 299.01; 62.08; 198.17; 0.0; 260.25; 38.76; -8.17; 30.59; 8.52; 22.07; 0.0; 22.07; 0.0; 22.07; 74.06; 38.76; 29.66; 30.05; 0.74; 0.73
2017-06-30; 504.67; 231.29; 273.38; 0.0; 212.49; 0.0; 275.08; -1.7; 2.82; 1.12; -3.92; 5.04; 0.0; 5.04; 0.0; 5.04; 35.3; -1.7; 29.61; 30.01; 0.17; 0.17
2017-03-31; 500.05; 229.99; 270.06; 0.0; 194.4; 0.0; 243.85; 26.21; -6.06; 20.15; 7.73; 12.41; 0.0; 12.41; 0.0; 12.41; 59.91; 26.21; 29.58; 29.91; 0.42; 0.41
2016-12-31; 571.45; 256.75; 314.7; 57.39; 217.99; -59.95; 335.33; -20.63; -7.56; -28.19; -5.49; -22.7; 0.0; -22.7; 0.0; -22.7; -20.63; -20.63; 29.44; 29.65; -0.78; -0.77
2016-09-30; 508.75; 229.28; 279.47; 49.92; 201.45; 0.0; 251.38; 28.09; -5.41; 22.69; 4.28; 18.41; 0.0; 18.41; 0.0; 18.41; 66.58; 28.09; 29.44; 29.67; 0.63; 0.62
2016-06-30; 516.78; 236.54; 280.23; 49.81; 205.54; -2.36; 257.71; 22.52; 4.34; 26.86; 8.85; 18.01; 0.0; 18.01; 0.0; 18.01; 60.1; 22.52; 29.4; 29.59; 0.61; 0.61
2016-03-31; 471.2; 207.17; 264.03; 48.59; 189.72; 0.0; 238.3; 25.73; -5.53; 20.2; 7.92; 12.28; 0.0; 12.28; 0.0; 12.28; 59.82; 25.73; 29.36; 29.51; 0.42; 0.42
2015-12-31; 570.56; 262.04; 308.51; 55.89; 193.15; 0.0; 249.03; 59.48; -5.29; 54.2; 8.57; 45.63; 0.0; 45.63; 0.0; 45.63; 59.48; 59.48; 29.19; 29.41; 1.56; 1.54
2015-09-30; 469.96; 206.51; 263.45; 43.34; 187.44; 0.0; 230.78; 32.67; -7.26; 25.41; 8.04; 17.37; 0.0; 17.37; 0.0; 17.37; 32.67; 32.67; 29.2; 29.44; 0.59; 0.59
2015-06-30; 506.1; 226.5; 279.6; 46.55; 192.84; 0.0; 239.39; 40.2; -0.67; 39.54; 11.12; 28.42; 0.0; 28.42; 0.0; 28.42; 40.2; 40.2; 29.14; 29.38; 0.98; 0.97
2015-03-31; 472.82; 202.72; 270.11; 47.2; 188.56; 0.0; 235.76; 34.35; -7.66; 26.69; 8.88; 17.82; 0.0; 17.82; 0.0; 17.82; 34.35; 34.35; 29.09; 29.29; 0.61; 0.61
2014-12-31; 598.22; 280.81; 317.41; 115.0; 207.54; 0.0; 266.82; 50.59; -4.84; 45.75; 6.71; 39.04; 0.0; 39.04; 0.0; 39.04; 50.59; 50.59; 28.88; 29.13; 1.35; 1.34
2014-09-30; 530.64; 242.07; 288.58; 52.79; 202.55; 0.0; 255.34; 33.24; -10.76; 22.48; 10.97; 11.51; 0.0; 11.51; 0.0; 11.51; 33.24; 33.24; 28.88; 29.14; 0.4; 0.39
2014-06-30; 536.83; 239.59; 297.24; 0.0; 195.84; 0.0; 251.56; 45.69; 3.11; 48.8; 17.17; 31.63; 0.0; 31.63; 0.0; 31.63; 45.69; 45.69; 28.83; 29.09; 1.1; 1.09
2014-03-31; 509.34; 234.06; 275.29; 52.54; 202.28; 0.0; 254.82; 20.47; -5.93; 14.54; 7.87; 6.67; 0.0; 6.67; 0.0; 6.67; 20.47; 20.47; 28.79; 29.06; 0.23; 0.23
2013-12-31; 602.64; 279.89; 322.75; 55.85; 214.58; 0.0; 270.43; 52.32; -7.81; 44.51; 14.37; 30.14; 0.0; 30.14; 0.0; 30.14; 52.32; 52.32; 28.59; 28.91; 1.05; 1.04
2013-09-30; 505.07; 220.85; 284.22; 52.92; 202.24; 0.0; 255.16; 29.06; -34.27; -5.22; 1.88; -7.1; 0.0; -7.1; 0.0; -7.1; 29.06; 29.06; 28.6; 28.6; -0.25; -0.25
2013-06-30; 525.32; 225.22; 300.1; 51.84; 195.33; 0.0; 247.17; 52.93; -3.88; 49.04; 14.44; 34.6; 0.0; 34.6; 0.0; 34.6; 52.93; 52.93; 28.54; 28.87; 1.21; 1.2
2013-03-31; 499.67; 228.26; 271.41; 50.34; 185.92; 0.0; 236.26; 35.15; -11.11; 24.05; 3.88; 20.17; 0.0; 20.17; 0.0; 20.15; 35.15; 35.15; 28.49; 28.82; 0.71; 0.7
2012-12-31; 573.84; 258.93; 314.91; 56.15; 188.1; 0.0; 244.25; 70.66; -7.96; 62.71; 19.29; 43.42; 0.0; 43.42; 0.0; 43.5; 70.66; 70.66; 28.29; 28.64; 1.53; 1.51
2012-09-30; 498.7; 224.93; 273.77; 47.8; 160.13; 0.0; 207.93; 65.84; -10.84; 55.0; 12.38; 42.62; 0.0; 42.62; 0.0; 42.63; 65.84; 65.84; 28.31; 28.64; 1.51; 1.49
2012-06-30; 510.42; 222.52; 287.9; 52.34; 162.26; 0.0; 214.59; 73.31; -7.29; 66.02; 17.45; 48.56; 0.0; 48.56; 0.0; 48.34; 73.31; 73.31; 28.25; 28.61; 1.71; 1.69
2012-03-31; 486.28; 207.69; 278.58; 52.92; 171.29; 0.0; 224.22; 54.37; -8.19; 46.18; 15.23; 30.94; 0.0; 30.94; 0.0; 31.0; 54.37; 54.37; 28.2; 28.55; 1.1; 1.09
2011-12-31; 550.24; 238.33; 311.91; 41.28; 174.61; 0.0; 215.89; 96.02; -12.02; 83.99; 24.0; 59.99; 0.0; 59.99; 0.0; 60.03; 96.02; 96.02; 28.03; 28.47; 2.15; 2.11
2011-09-30; 516.51; 220.34; 296.18; 45.39; 176.87; 0.0; 222.25; 73.92; -18.15; 55.77; 9.91; 45.86; 0.0; 45.86; 0.0; 45.9; 73.92; 73.92; 28.07; 28.46; 1.63; 1.61
2011-06-30; 521.66; 228.52; 293.14; 48.21; 176.74; 0.0; 224.95; 68.19; -10.37; 57.82; 17.8; 40.02; 0.0; 40.02; 0.0; 40.05; 68.19; 68.19; 28.01; 28.5; 1.43; 1.41
2011-03-31; 485.12; 207.51; 277.61; 42.73; 167.76; 0.0; 210.49; 67.12; -18.86; 48.26; 15.32; 32.94; 0.0; 32.94; 0.0; 33.04; 67.12; 67.12; 27.9; 28.39; 1.18; 1.16
2010-12-31; 533.72; 234.0; 299.72; 45.27; 176.67; 0.0; 221.94; 77.78; -20.58; 57.2; -10.74; 67.94; 0.0; 67.94; 0.0; 67.91; 77.78; 77.78; 27.66; 28.15; 2.44; 2.41
2010-09-30; 471.5; 205.17; 266.33; 42.87; 148.65; 0.0; 191.53; 74.8; -16.89; 57.91; 12.82; 45.09; 0.0; 45.09; 0.0; 44.76; 74.8; 74.8; 27.7; 28.1; 1.62; 1.59
2010-06-30; 467.66; 199.35; 268.31; 43.86; 156.27; 0.0; 200.13; 68.18; -12.82; 55.35; 16.83; 38.52; 0.0; 38.52; 0.0; 37.96; 68.18; 68.18; 27.61; 28.12; 1.37; 1.35
2010-03-31; 454.23; 197.11; 257.13; 40.26; 153.62; 0.0; 193.88; 63.25; -13.43; 49.82; 14.43; 35.39; 0.0; 35.39; 0.0; 34.86; 63.25; 63.25; 27.55; 28.07; 1.27; 1.24
2009-12-31; 495.07; 226.6; 268.47; 86.92; 163.86; 0.0; 212.17; 56.3; -14.2; 42.09; 3.57; 38.52; 0.0; 38.52; 0.0; 37.86; 56.3; 56.29; 27.4; 27.83; 1.38; 1.35
2009-09-30; 461.06; 200.54; 260.51; 39.52; 153.62; 0.0; 193.14; 67.37; -16.15; 51.22; 11.92; 39.3; 0.0; 39.3; 0.0; 38.52; 67.37; 67.37; 27.43; 27.88; 1.4; 1.38
2009-06-30; 427.18; 185.22; 241.96; 0.0; 143.67; 0.0; 186.08; 55.88; -6.61; 49.27; 9.97; 39.3; 0.0; 39.3; 0.0; 37.97; 55.88; 55.88; 27.37; 27.74; 1.39; 1.37
2009-03-31; 400.93; 172.03; 228.9; 37.15; 140.31; 0.0; 177.47; 51.44; -8.19; 43.24; 11.2; 32.04; 0.0; 32.04; 0.0; 30.27; 51.44; 51.44; 27.32; 27.62; 1.11; 1.1
