Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 49603.0; 47989.0; 1614.0; 0.0; 1197.0; -180.0; 1477.0; 137.0; -27.0; 110.0; -1.0; 111.0; 0.0; 111.0; 0.0; 110.0; 308.0; 137.0; 271.0; 273.0; 0.41; 0.4
2022-06-30; 47103.0; 45498.0; 1605.0; 0.0; 1155.0; -282.0; 1569.0; 36.0; -64.0; -28.0; -165.0; 137.0; 0.0; 137.0; 0.0; 138.0; 215.0; 36.0; 279.0; 279.0; 0.59; 0.59
2022-03-31; 44836.0; 43154.0; 1682.0; 0.0; 1137.0; -532.0; 1779.0; -97.0; -40.0; -137.0; 1253.0; -1390.0; 0.0; -1390.0; 0.0; -1391.0; 84.0; -97.0; 275.0; 275.0; -5.05; -5.05
2021-12-31; 45457.0; 43841.0; 1616.0; 0.0; 1151.0; -1329.0; 2566.0; -950.0; -23.0; -973.0; -1022.0; 49.0; 0.0; 49.0; 0.0; 49.0; -786.0; -950.0; 279.0; 281.0; 0.17; 0.17
2021-09-30; 43968.0; 42326.0; 1642.0; 0.0; 1114.0; -16.0; 1227.0; 415.0; -46.0; 369.0; 97.0; 272.0; 0.0; 272.0; 0.0; 271.0; 583.0; 415.0; 287.0; 289.0; 0.94; 0.94
2021-06-30; 42586.0; 41111.0; 1475.0; 0.0; 1129.0; -45.0; 1313.0; 162.0; -43.0; 119.0; 4.0; 115.0; 0.0; 115.0; 0.0; 116.0; 342.0; 162.0; 292.0; 294.0; 0.4; 0.41
2021-03-31; 39275.0; 37463.0; 1812.0; 0.0; 1120.0; -84.0; 1339.0; 473.0; -33.0; 440.0; 320.0; 120.0; 0.0; 120.0; 0.0; 119.0; 672.0; 473.0; 292.0; 294.0; 0.41; 0.4
2020-12-31; 41541.0; 39765.0; 1776.0; 0.0; 1147.0; -32.0; 1315.0; 461.0; -34.0; 427.0; -203.0; 630.0; 0.0; 630.0; 0.0; 629.0; 660.0; 461.0; 294.0; 295.0; 2.14; 2.13
2020-09-30; 39065.0; 37350.0; 1715.0; 0.0; 1137.0; -1047.0; 2339.0; -624.0; -39.0; -663.0; -410.0; -253.0; 0.0; -253.0; 0.0; -253.0; -419.0; -624.0; 293.0; 293.0; -0.86; -0.86
2020-06-30; 36689.0; 35099.0; 1590.0; 0.0; 1137.0; -12.0; 1320.0; 270.0; 545.0; 815.0; 158.0; 657.0; 0.0; 657.0; 0.0; 656.0; 495.0; 270.0; 293.0; 293.0; 2.09; 2.1
2020-03-31; 39157.0; 37272.0; 1885.0; 0.0; 1165.0; -34.0; 1323.0; 562.0; -84.0; 478.0; 127.0; 351.0; 0.0; 351.0; 0.0; 350.0; 786.0; 562.0; 292.0; 294.0; 1.2; 1.19
2019-12-31; 39735.0; 38021.0; 1714.0; 0.0; 1163.0; -28.0; 1380.0; 334.0; -55.0; 279.0; 59.0; 220.0; 0.0; 220.0; 0.0; 220.0; 564.0; 334.0; 292.0; 294.0; 0.75; 0.75
2019-09-30; 37341.0; 35662.0; 1679.0; 0.0; 1107.0; -5674.0; 6943.0; -5264.0; -80.0; -5344.0; -423.0; -4921.0; 0.0; -4921.0; 0.0; -4922.0; -5030.0; -5264.0; 296.0; 296.0; -16.65; -16.65
2019-06-30; 37353.0; 35680.0; 1673.0; 0.0; 1164.0; -19.0; 1365.0; 308.0; -70.0; 238.0; 44.0; 194.0; 0.0; 194.0; 0.0; 194.0; 549.0; 308.0; 300.0; 301.0; 0.67; 0.67
2019-03-31; 35228.0; 33464.0; 1764.0; 0.0; 1097.0; -28.0; 1332.0; 432.0; -62.0; 370.0; 74.0; 296.0; 0.0; 296.0; 0.0; 296.0; 693.0; 432.0; 298.0; 299.0; 0.99; 0.99
