Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-11-30; 3839.0; 3667.0; 172.0; 0.0; 741.0; 0.0; 1309.0; -1137.0; -466.0; -1601.0; -3.0; -1598.0; 0.0; -1598.0; 0.0; -1598.0; 0.0; -1137.0; 1259.0; 1259.0; -1.27; -1.27
2022-08-31; 4305.0; 3379.0; 926.0; 0.0; 625.0; 0.0; 1206.0; -280.0; -479.0; -759.0; 11.0; -770.0; 0.0; -770.0; 0.0; -770.0; 345.0; -280.0; 1185.0; 1185.0; -0.65; -0.65
2022-05-31; 2401.0; 2682.0; -281.0; 0.0; 619.0; 0.0; 1191.0; -1472.0; -358.0; -1831.0; 3.0; -1834.0; 0.0; -1834.0; 0.0; -1834.0; -859.0; -1472.0; 1140.0; 1140.0; -1.61; -1.61
2022-02-28; 1623.0; 2032.0; -409.0; 0.0; 530.0; 0.0; 1084.0; -1493.0; -397.0; -1888.0; 3.0; -1891.0; 0.0; -1891.0; 0.0; -1891.0; -893.0; -1493.0; 1137.0; 1137.0; -1.66; -1.66
2021-11-30; 1286.0; 1231.0; 55.0; 0.0; 581.0; 0.0; 1950.0; -1895.0; -731.0; -2624.0; -4.0; -2620.0; 0.0; -2620.0; 0.0; -2620.0; -1302.0; -1895.0; 1123.0; 1123.0; -2.33; -2.33
2021-08-31; 546.0; 1616.0; -1070.0; 0.0; 425.0; 0.0; 987.0; -2057.0; -802.0; -2859.0; -23.0; -2836.0; 0.0; -2836.0; 0.0; -2836.0; -1447.0; -2057.0; 1133.0; 1133.0; -2.5; -2.5
2021-05-31; 50.0; 681.0; -631.0; 0.0; 417.0; 0.0; 984.0; -1615.0; -444.0; -2060.0; 12.0; -2072.0; 0.0; -2072.0; 0.0; -2072.0; -1007.0; -1615.0; 1132.0; 1132.0; -1.83; -1.83
2021-02-28; 26.0; 535.0; -509.0; 0.0; 462.0; 0.0; 1014.0; -1523.0; -455.0; -1979.0; -6.0; -1973.0; 0.0; -1973.0; 0.0; -1973.0; -929.0; -1523.0; 1095.0; 1095.0; -1.8; -1.8
2020-11-30; 35.0; 893.0; -858.0; 0.0; 443.0; 203.0; 784.0; -1642.0; -595.0; -2237.0; -15.0; -2222.0; 0.0; -2222.0; 0.0; -2223.0; -1058.0; -1642.0; 775.0; 775.0; -2.3; -2.3
2020-08-31; 31.0; 639.0; -608.0; 0.0; 265.0; -910.0; 1726.0; -2334.0; -528.0; -2861.0; -2.0; -2859.0; 0.0; -2859.0; 0.0; -2858.0; -1738.0; -2334.0; 775.0; 775.0; -3.69; -3.69
2020-05-31; 740.0; 1896.0; -1156.0; 0.0; 492.0; -589.0; 3022.0; -4178.0; -208.0; -4385.0; -11.0; -4374.0; 0.0; -4374.0; 0.0; -4374.0; -3574.0; -4178.0; 721.0; 721.0; -6.07; -6.07
2020-02-29; 4789.0; 2850.0; 1939.0; 0.0; 678.0; -671.0; 2650.0; -711.0; -57.0; -770.0; 11.0; -781.0; 0.0; -781.0; 0.0; -781.0; -135.0; -711.0; 684.0; 684.0; -1.14; -1.14
2019-11-30; 4781.0; 3073.0; 1708.0; 0.0; 667.0; -3.0; 1224.0; 484.0; -47.0; 436.0; 14.0; 422.0; 0.0; 422.0; 0.0; 423.0; 1059.0; 484.0; 690.0; 692.0; 0.63; 0.61
2019-08-31; 6533.0; 3509.0; 3024.0; 0.0; 563.0; -23.0; 1134.0; 1890.0; -63.0; 1827.0; 47.0; 1780.0; 0.0; 1780.0; 0.0; 1780.0; 2438.0; 1890.0; 689.0; 691.0; 2.58; 2.58
2019-05-31; 4838.0; 3159.0; 1679.0; 0.0; 621.0; 0.0; 1163.0; 516.0; -56.0; 459.0; 8.0; 451.0; 0.0; 451.0; 0.0; 451.0; 1059.0; 516.0; 691.0; 693.0; 0.65; 0.65
2019-02-28; 4673.0; 3141.0; 1532.0; 0.0; 629.0; 0.0; 1145.0; 387.0; -49.0; 338.0; 2.0; 336.0; 0.0; 336.0; 0.0; 336.0; 903.0; 387.0; 693.0; 695.0; 0.48; 0.48
2018-11-30; 4456.0; 2726.0; 1730.0; 0.0; 656.0; 0.0; 1178.0; 552.0; -46.0; 509.0; 14.0; 495.0; 0.0; 495.0; 0.0; 493.0; 1059.0; 552.0; 709.0; 710.0; 0.7; 0.71
2018-08-31; 5836.0; 2958.0; 2878.0; 0.0; 573.0; 0.0; 1084.0; 1794.0; -49.0; 1744.0; 37.0; 1707.0; 0.0; 1707.0; 0.0; 1707.0; 2304.0; 1794.0; 706.0; 707.0; 2.42; 2.41
2018-05-31; 4357.0; 2681.0; 1676.0; 0.0; 605.0; 0.0; 1117.0; 559.0; 5.0; 564.0; 3.0; 561.0; 0.0; 561.0; 0.0; 561.0; 1071.0; 559.0; 714.0; 715.0; 0.79; 0.78
2018-02-28; 4232.0; 2709.0; 1523.0; 0.0; 616.0; 0.0; 1104.0; 419.0; -28.0; 390.0; 0.0; 390.0; 0.0; 390.0; 0.0; 391.0; 907.0; 419.0; 717.0; 719.0; 0.54; 0.54
2017-11-30; 4259.0; 2617.0; 1642.0; 0.0; 616.0; 0.0; 1094.0; 548.0; 12.0; 560.0; 14.0; 546.0; 0.0; 546.0; 0.0; 546.0; 1026.0; 548.0; 722.0; 725.0; 0.77; 0.76
2017-08-31; 5515.0; 3013.0; 2502.0; 0.0; 547.0; 0.0; 1109.0; 1393.0; -25.0; 1368.0; 39.0; 1329.0; 0.0; 1329.0; 0.0; 1329.0; 1865.0; 1393.0; 723.0; 726.0; 1.84; 1.83
2017-05-31; 3945.0; 2436.0; 1509.0; 0.0; 553.0; 0.0; 1009.0; 500.0; -116.0; 384.0; 5.0; 379.0; 0.0; 379.0; 0.0; 379.0; 957.0; 500.0; 724.0; 727.0; 0.52; 0.52
2017-02-28; 3791.0; 2435.0; 1356.0; 0.0; 549.0; 0.0; 988.0; 368.0; -14.0; 354.0; 2.0; 352.0; 0.0; 352.0; 0.0; 352.0; 807.0; 368.0; 725.0; 728.0; 0.48; 0.48
