Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1408.0; 1969.0; -561.0; 0.0; 0.0; -4.0; 4.0; -565.0; -14.0; -579.0; -161.0; -418.0; 0.0; -418.0; 0.0; -418.0; -539.0; -565.0; 158.0; 158.0; -2.64; -2.64
2022-06-30; 820.0; 1843.0; -1023.0; 0.0; 0.0; -5.0; 5.0; -1028.0; -13.0; -1041.0; -233.0; -808.0; 0.0; -808.0; 0.0; -808.0; -1002.0; -1028.0; 159.6; 159.6; -5.06; -5.06
2022-03-31; 1215.0; 1558.0; -343.0; 0.0; 0.0; -4.0; 4.0; -347.0; -13.0; -360.0; -87.0; -273.0; 0.0; -273.0; 0.0; -273.0; -318.0; -347.0; 160.4; 160.4; -1.7; -1.7
2021-12-31; 3323.0; 1457.0; 1866.0; 0.0; 0.0; -6.0; 6.0; 1860.0; -14.0; 1846.0; 376.0; 1470.0; 0.0; 1470.0; 0.0; 1470.0; 1884.0; 1860.0; 161.0; 162.7; 9.13; 9.03
2021-09-30; 1785.0; 1583.0; 202.0; 0.0; 0.0; -5.0; 5.0; 197.0; -13.0; 184.0; 31.0; 153.0; 0.0; 153.0; 0.0; 153.0; 220.0; 197.0; 161.1; 162.9; 0.95; 0.94
2021-06-30; 2295.0; 1405.0; 890.0; 0.0; 0.0; -5.0; 5.0; 885.0; -13.0; 872.0; 169.0; 703.0; 0.0; 703.0; 0.0; 703.0; 908.0; 885.0; 161.1; 162.9; 4.36; 4.31
2021-03-31; 2227.0; 1442.0; 785.0; 0.0; 0.0; -4.0; 4.0; 781.0; -13.0; 768.0; 148.0; 620.0; 0.0; 620.0; 0.0; 620.0; 804.0; 781.0; 161.0; 162.5; 3.85; 3.82
2020-12-31; 2694.0; 1359.0; 1335.0; 0.0; 0.0; -5.0; 5.0; 1330.0; -14.0; 1316.0; 267.0; 1049.0; 0.0; 1049.0; 0.0; 1049.0; 1349.0; 1330.0; 161.2; 162.4; 6.45; 6.43
2020-09-30; 2227.0; 1595.0; 632.0; 0.0; 0.0; -5.0; 5.0; 627.0; -13.0; 614.0; 130.0; 484.0; 0.0; 484.0; 0.0; 484.0; 647.0; 627.0; 160.9; 162.0; 3.01; 2.99
2020-06-30; 2714.0; 1550.0; 1164.0; 0.0; 0.0; -5.0; 5.0; 1159.0; -14.0; 1145.0; 236.0; 909.0; 0.0; 909.0; 0.0; 909.0; 1179.0; 1159.0; 160.8; 161.5; 5.65; 5.63
