Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 989.16; 618.93; 370.22; 0.0; 183.71; 0.0; 219.25; 150.98; -27.87; 123.11; 25.5; 97.61; 0.0; 97.61; 0.0; 96.47; 225.58; 150.98; 50.87; 51.28; 1.9; 1.88
2022-06-30; 973.13; 616.4; 356.73; 0.0; 131.71; 0.0; 169.31; 187.41; -43.3; 144.11; 33.45; 110.66; 0.0; 110.66; 0.0; 109.32; 263.83; 187.41; 50.82; 51.28; 2.15; 2.13
2022-03-31; 913.93; 577.11; 336.82; 0.0; 150.03; 0.0; 188.04; 148.78; -37.93; 110.85; 15.62; 95.23; 0.0; 95.23; 0.0; 93.02; 224.08; 148.78; 50.64; 51.33; 1.84; 1.81
2021-12-31; 905.05; 557.94; 347.11; 0.0; 144.11; 0.0; 174.3; 172.81; -9.16; 163.64; 23.82; 139.83; 0.0; 139.83; 0.0; 137.58; 240.05; 172.81; 50.29; 51.42; 2.73; 2.67
2021-09-30; 895.94; 558.71; 337.23; 0.0; 148.57; 0.0; 181.43; 155.8; -32.53; 123.27; 18.11; 105.16; 0.0; 105.16; 0.0; 103.43; 224.49; 155.8; 50.42; 51.56; 2.05; 2.01
2021-06-30; 914.61; 572.59; 342.02; 0.0; 171.5; 0.0; 204.47; 137.55; -10.05; 127.5; 37.58; 89.92; 0.0; 89.92; 0.0; 88.45; 205.66; 137.55; 50.3; 51.33; 1.76; 1.72
2021-03-31; 824.57; 516.29; 308.28; 0.0; 155.73; 0.0; 184.57; 123.7; -57.4; 66.3; 2.37; 63.94; 0.0; 63.94; 0.0; 61.53; 185.21; 123.7; 49.98; 51.08; 1.23; 1.2
2020-12-31; 790.99; 491.02; 299.97; 0.0; 143.03; 0.0; 171.04; 128.93; 43.5; 172.43; 28.24; 144.19; 0.0; 144.19; 0.0; 143.19; 189.8; 128.93; 49.55; 50.61; 2.89; 2.81
2020-09-30; 743.3; 454.03; 289.27; 0.0; 128.29; 0.0; 156.52; 132.75; 2.52; 135.28; 32.66; 102.61; 0.0; 102.61; 0.0; 102.91; 192.33; 132.75; 49.7; 50.7; 2.07; 2.03
2020-06-30; 682.58; 450.35; 232.24; 0.0; 127.71; 0.0; 155.47; 76.77; 7.18; 83.95; 16.28; 67.67; 0.0; 67.67; 0.0; 67.44; 133.98; 76.77; 49.55; 50.25; 1.36; 1.34
