Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2520.0; 373.0; 2147.0; 10.0; 209.0; 0.0; 641.0; 1506.0; 9.0; 1515.0; 319.0; 1196.0; 0.0; 1196.0; 0.0; 1196.0; 1912.0; 1506.0; 792.0; 797.0; 1.51; 1.5
2022-06-30; 2572.0; 354.0; 2218.0; 7.0; 185.0; -3.0; 609.0; 1609.0; -21.0; 1588.0; 359.0; 1229.0; 0.0; 1229.0; 0.0; 1228.0; 2014.0; 1609.0; 803.0; 808.0; 1.53; 1.52
2022-03-31; 1679.0; 333.0; 1346.0; 6.0; 183.0; 2.0; 547.0; 799.0; -21.0; 778.0; 170.0; 608.0; 0.0; 608.0; 0.0; 608.0; 1149.0; 799.0; 810.0; 814.0; 0.75; 0.74
2021-12-31; 2225.0; 346.0; 1879.0; 9.0; 220.0; 0.0; 641.0; 1238.0; -24.0; 1214.0; 276.0; 938.0; 0.0; 938.0; 0.0; 935.0; 1636.0; 1238.0; 503.0; 504.0; 1.74; 1.74
2021-09-30; 440.0; 170.0; 270.0; 4.0; 72.0; 0.0; 173.0; 97.0; -13.0; 84.0; 20.0; 64.0; 0.0; 64.0; 0.0; 64.0; 195.0; 97.0; 400.0; 403.0; 0.16; 0.16
2021-06-30; 324.0; 149.0; 175.0; 2.0; 27.0; 0.0; 121.0; 54.0; -13.0; 41.0; 11.0; 30.0; 0.0; 30.0; 0.0; 30.0; 146.0; 54.0; 400.0; 403.0; 0.08; 0.08
2021-03-31; 460.0; 154.0; 306.0; 3.0; 34.0; 0.0; 131.0; 175.0; -12.0; 163.0; 37.0; 126.0; 0.0; 126.0; 0.0; 126.0; 270.0; 175.0; 399.0; 402.0; 0.32; 0.31
2020-12-31; 456.15; 163.57; 292.58; 4.33; 28.44; 0.0; 129.16; 163.42; -10.69; 152.73; 21.05; 131.68; 0.0; 131.68; 0.0; 131.68; 260.78; 163.42; 399.0; 401.0; 0.32; 0.33
2020-09-30; 291.04; 167.18; 123.86; 3.9; 27.88; 0.03; 131.4; -7.53; -14.45; -21.98; -7.02; -14.96; 0.0; -14.96; 0.0; -14.96; 92.85; -7.53; 398.58; 398.58; -0.04; -0.04
2020-06-30; 332.35; 152.67; 179.68; 4.58; 26.52; -0.24; 125.96; 53.72; -14.59; 39.12; 8.75; 30.37; 0.0; 30.37; 0.0; 30.37; 149.09; 53.72; 398.58; 401.28; 0.08; 0.08
2020-03-31; 386.46; 160.58; 225.88; 2.19; 37.17; 0.01; 139.48; 86.4; -14.28; 72.12; 18.21; 53.91; 0.0; 53.91; 0.0; 53.91; 187.29; 86.4; 398.34; 399.9; 0.14; 0.13
2019-12-31; 461.09; 171.69; 289.4; 4.97; 25.54; 70.27; 66.94; 222.46; -15.27; 207.19; 60.32; 146.87; 0.0; 146.87; 0.0; 146.87; 329.95; 222.46; 416.0; 418.0; 0.37; 0.36
2019-09-30; 429.11; 164.86; 264.25; 4.48; 23.0; 3.9; 134.47; 129.78; -13.7; 116.08; 25.72; 90.36; 0.0; 90.36; 0.0; 90.36; 241.42; 129.78; 412.46; 414.46; 0.22; 0.22
2019-06-30; 534.12; 159.78; 374.33; 4.5; 26.53; 3.65; 123.53; 250.81; -14.71; 236.09; 55.09; 181.01; 0.0; 181.01; 0.0; 181.01; 348.33; 250.81; 422.14; 424.35; 0.43; 0.43
2019-03-31; 641.68; 155.67; 486.01; 6.04; 36.94; 2.18; 133.06; 352.96; -12.32; 340.63; 77.87; 262.76; 0.0; 262.76; 0.0; 262.76; 446.31; 352.96; 423.12; 425.19; 0.62; 0.62
2018-12-31; 716.3; 163.53; 552.77; 45.65; 37.84; 0.67; 212.09; 340.68; -15.74; 324.94; 49.89; 275.04; 0.0; 275.04; 0.0; 275.04; 471.06; 340.68; 445.54; 447.57; 0.62; 0.62
2018-09-30; 545.17; 239.97; 305.2; 10.05; 23.58; 25.64; 129.15; 176.05; -14.31; 161.75; 39.41; 122.34; 0.0; 122.34; 0.0; 122.34; 298.35; 176.05; 440.77; 443.11; 0.28; 0.28
2018-06-30; 453.45; 209.93; 243.52; 54.5; 26.62; 0.54; 165.49; 78.03; -23.45; 54.58; 12.15; 42.43; 0.0; 42.43; 0.0; 42.43; 164.13; 78.03; 451.06; 453.11; 0.09; 0.09
2018-03-31; 473.23; 137.15; 336.08; 3.62; 31.25; -42.04; 159.04; 177.04; -20.17; 156.87; 39.64; 117.23; 0.0; 117.23; 0.0; 117.23; 260.37; 177.04; 459.71; 461.55; 0.26; 0.25
2017-12-31; 400.5; 148.65; 251.86; 4.9; 33.81; -508.82; 690.66; -438.81; -20.43; -459.23; -414.79; -44.44; 0.0; -44.44; 0.0; -44.44; -294.48; -438.81; 463.74; 465.55; -0.1; -0.1
