Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2777.0; 1879.0; 898.0; 312.0; 657.0; 23.0; 1276.0; -378.0; -18.0; -396.0; -74.0; -322.0; 0.0; -322.0; -6.0; -331.0; -68.0; -378.0; 718.7; 718.7; -0.46; -0.46
2022-06-30; 6252.0; 3323.0; 2929.0; 296.0; 1017.0; 49.0; 1586.0; 1343.0; -16.0; 1327.0; 325.0; 1002.0; 0.0; 1002.0; -30.0; 969.0; 1645.0; 1343.0; 723.0; 726.7; 1.34; 1.33
2022-03-31; 4601.0; 2724.0; 1877.0; 268.0; 735.0; 17.0; 1170.0; 707.0; -9.0; 698.0; 121.0; 577.0; 0.0; 577.0; -10.0; 564.0; 1014.0; 707.0; 727.0; 730.9; 0.78; 0.78
2021-12-31; 3479.0; 2232.0; 1247.0; 316.0; 806.0; 335.0; 994.0; 253.0; -8.0; 245.0; 90.0; 155.0; 0.0; 155.0; 6.0; 159.0; 570.0; 253.0; 735.9; 741.6; 0.23; 0.22
2021-09-30; 2371.0; 1558.0; 813.0; 297.0; 672.0; 378.0; 797.0; 16.0; -8.0; 8.0; -28.0; 36.0; 0.0; 36.0; -4.0; 30.0; 325.0; 16.0; 733.8; 739.5; 0.04; 0.04
2021-06-30; 5627.0; 3010.0; 2617.0; 293.0; 998.0; 298.0; 1308.0; 1309.0; -7.0; 1302.0; 284.0; 1018.0; 0.0; 1018.0; -45.0; 970.0; 1622.0; 1309.0; 737.3; 743.3; 1.31; 1.31
2021-03-31; 4178.0; 2420.0; 1758.0; 281.0; 733.0; 337.0; 960.0; 798.0; -7.0; 791.0; 178.0; 613.0; 0.0; 613.0; -10.0; 600.0; 1102.0; 798.0; 743.4; 749.6; 0.81; 0.8
2020-12-31; 3207.0; 2112.0; 1095.0; 305.0; 724.0; 92.0; 1155.0; -60.0; -10.0; -70.0; -169.0; 99.0; 0.0; 99.0; -56.0; 41.0; 249.0; -60.0; 748.7; 751.2; 0.06; 0.06
2020-09-30; 1863.0; 1297.0; 566.0; 284.0; 597.0; 30.0; 1062.0; -496.0; -11.0; -507.0; -117.0; -390.0; 0.0; -390.0; 0.0; -392.0; -211.0; -496.0; 749.5; 749.5; -0.52; -0.52
2020-06-30; 5191.0; 2829.0; 2362.0; 273.0; 965.0; 89.0; 1504.0; 858.0; -14.0; 844.0; 78.0; 766.0; 0.0; 766.0; 0.0; 760.0; 1158.0; 858.0; 749.2; 751.6; 1.01; 1.01
2020-03-31; 3956.0; 2269.0; 1687.0; 280.0; 757.0; 1.0; 1269.0; 418.0; -10.0; 408.0; 127.0; 281.0; 0.0; 281.0; 1.0; 272.0; 701.0; 418.0; 749.9; 752.5; 0.36; 0.36
2019-12-31; 2983.0; 1968.0; 1015.0; 290.0; 747.0; 75.0; 1178.0; -163.0; -24.0; -187.0; -145.0; -42.0; 0.0; -42.0; 24.0; -21.0; 126.0; -163.0; 749.5; 749.5; -0.03; -0.03
2019-09-30; 1911.0; 1349.0; 562.0; 289.0; 646.0; -93.0; 1174.0; -612.0; -19.0; -631.0; -104.0; -527.0; 0.0; -527.0; 22.0; -494.0; -371.0; -612.0; 749.5; 749.5; -0.66; -0.66
2019-06-30; 5556.0; 3047.0; 2509.0; 269.0; 937.0; -343.0; 1722.0; 787.0; -34.0; 753.0; 270.0; 483.0; 0.0; 483.0; -1077.0; -608.0; 2299.0; 787.0; 749.4; 750.0; -0.81; -0.81
2019-03-31; 3396.0; 2211.0; 1185.0; 299.0; 735.0; -181.0; 1377.0; -192.0; -59.0; -251.0; -67.0; -184.0; 0.0; -184.0; 360.0; 164.0; 739.0; -192.0; 749.4; 749.4; 0.22; 0.22
2018-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-09-30; 1947.0; 1485.0; 462.0; 325.0; 5617.0; 0.0; 6030.0; -5568.0; -82.0; -5650.0; -8.0; -5642.0; 0.0; -5642.0; 526.0; -5121.0; -274.0; -5568.0; 0.0; 0.0; 0.0; 0.0
2018-06-30; 5731.0; 3687.0; 2044.0; 354.0; 1187.0; 0.0; 1648.0; 396.0; -88.0; 308.0; -67.0; 375.0; 0.0; 375.0; 323.0; 694.0; 396.0; 396.0; 0.0; 0.0; 0.0; 0.0
2017-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
