Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 81159.0; 50365.0; 30794.0; 0.0; 0.0; -34725.0; 34725.0; -3931.0; -525.0; -4456.0; -1047.0; -3409.0; 0.0; -3409.0; 0.0; -3416.0; -2875.0; -3931.0; 1315.0; 1315.0; -2.6; -2.6
2022-06-30; 80636.0; 49290.0; 31346.0; 0.0; 0.0; -26777.0; 26777.0; 4569.0; -540.0; 4029.0; 1068.0; 2961.0; 0.0; 2961.0; 0.0; 2951.0; 5656.0; 4569.0; 1313.0; 1321.0; 2.25; 2.23
2022-03-31; 76826.0; 45509.0; 31317.0; 0.0; 0.0; -27827.0; 27827.0; 3490.0; -544.0; 2946.0; 633.0; 2313.0; 0.0; 2313.0; 0.0; 2312.0; 4545.0; 3490.0; 1312.0; 1328.0; 1.76; 1.74
2021-12-31; 76604.0; 46378.0; 30226.0; 0.0; 0.0; -27997.0; 27997.0; 2229.0; -659.0; 1570.0; 274.0; 1296.0; 0.0; 1296.0; 0.0; 1306.0; 3344.0; 2229.0; 1319.0; 1329.0; 0.99; 0.97
2021-09-30; 73794.0; 45011.0; 28783.0; 0.0; 0.0; -25291.0; 25722.0; 3061.0; -916.0; 2145.0; 558.0; 1587.0; 0.0; 1587.0; 0.0; 1598.0; 4626.0; 3061.0; 1321.0; 1329.0; 1.21; 1.2
2021-06-30; 72616.0; 43520.0; 29096.0; 0.0; 0.0; -24770.0; 24770.0; 4326.0; -591.0; 3735.0; 944.0; 2791.0; 0.0; 2791.0; 0.0; 2783.0; 5463.0; 4326.0; 1319.0; 1327.0; 2.11; 2.1
2021-03-31; 69097.0; 40894.0; 28203.0; 0.0; 0.0; -24626.0; 24626.0; 3577.0; -607.0; 2970.0; 746.0; 2224.0; 0.0; 2224.0; 0.0; 2223.0; 4703.0; 3577.0; 1313.0; 1322.0; 1.69; 1.68
2020-12-31; 69554.0; 42452.0; 27102.0; 0.0; 0.0; -24578.0; 24578.0; 2524.0; -1299.0; 1225.0; 241.0; 984.0; 0.0; 984.0; 0.0; 973.0; 3663.0; 2524.0; 1309.0; 1314.0; 0.74; 0.74
2020-09-30; 67056.0; 40940.0; 26116.0; 0.0; 0.0; -22867.0; 22867.0; 3249.0; -1443.0; 1806.0; 587.0; 1219.0; 0.0; 1219.0; 0.0; 1224.0; 4363.0; 3249.0; 1310.0; 1315.0; 0.93; 0.93
2020-06-30; 65341.0; 40242.0; 25099.0; 0.0; 0.0; -20419.0; 20419.0; 4680.0; -720.0; 3960.0; 974.0; 2986.0; 0.0; 2986.0; 0.0; 2975.0; 5782.0; 4680.0; 1309.0; 1314.0; 2.27; 2.26
2020-03-31; 66755.0; 40347.0; 26408.0; 0.0; 0.0; -22950.0; 22950.0; 3458.0; -679.0; 2779.0; 767.0; 2012.0; 0.0; 2012.0; 0.0; 2007.0; 4544.0; 3458.0; 1306.0; 1312.0; 1.54; 1.53
2019-12-31; 66889.0; 42065.0; 24824.0; 0.0; 0.0; -21787.0; 21787.0; 3037.0; -703.0; 2334.0; 590.0; 1744.0; 0.0; 1744.0; 0.0; 1747.0; 4133.0; 3037.0; 1301.0; 1305.0; 1.35; 1.33
2019-09-30; 64810.0; 40437.0; 24373.0; 0.0; 0.0; -21445.0; 21445.0; 2928.0; -795.0; 2133.0; 604.0; 1529.0; 0.0; 1529.0; 0.0; 1530.0; 4020.0; 2928.0; 1302.0; 1305.0; 1.17; 1.17
2019-06-30; 63431.0; 38970.0; 24461.0; 0.0; 0.0; -21129.0; 21129.0; 3332.0; -741.0; 2591.0; 660.0; 1931.0; 0.0; 1931.0; 0.0; 1936.0; 4404.0; 3332.0; 1301.0; 1302.0; 1.49; 1.49
2019-03-31; 61646.0; 37247.0; 24399.0; 0.0; 0.0; -21709.0; 21709.0; 2690.0; -751.0; 1939.0; 512.0; 1427.0; 0.0; 1427.0; 0.0; 1421.0; 3801.0; 2690.0; 1298.0; 1302.0; 1.09; 1.09
2018-12-31; 54424.0; 40564.0; 13860.0; 0.0; 0.0; -10808.0; 13036.0; 824.0; -722.0; 102.0; 524.0; -422.0; 0.0; -422.0; 1.0; -419.0; 3859.0; 824.0; 1044.0; 1044.0; -0.39; -0.39
2018-09-30; 47490.0; 39502.0; 7988.0; 0.0; 0.0; -5414.0; 5414.0; 2574.0; -675.0; 1899.0; 509.0; 1390.0; 0.0; 1390.0; 0.0; 1390.0; 3194.0; 2574.0; 1020.0; 1022.0; 1.36; 1.36
2018-06-30; 46922.0; 38876.0; 8046.0; 0.0; 0.0; -5498.0; 9419.0; -1373.0; -692.0; -2065.0; 497.0; -2562.0; 0.0; -2562.0; -1.0; -2563.0; 3195.0; -1373.0; 1018.0; 1018.0; -2.52; -2.52
2018-03-31; 45743.0; 37505.0; 8238.0; 0.0; 0.0; -6242.0; 6242.0; 1996.0; -526.0; 1470.0; 472.0; 998.0; 0.0; 998.0; 0.0; 998.0; 2640.0; 1996.0; 1016.0; 1019.0; 0.98; 0.98
2017-12-31; 48406.0; 37682.0; 10724.0; 0.0; 0.0; -7549.0; 7595.0; 3129.0; -320.0; 2809.0; -478.0; 3287.0; 0.0; 3287.0; 0.0; 3287.0; 3797.0; 3129.0; 1020.0; 1024.0; 3.22; 3.19
2017-09-30; 46181.0; 39064.0; 7117.0; 0.0; 0.0; -4618.0; 4618.0; 2499.0; -437.0; 2062.0; 777.0; 1285.0; 0.0; 1285.0; 0.0; 1285.0; 3114.0; 2499.0; 1016.0; 1020.0; 1.26; 1.26
2017-06-30; 45685.0; 38759.0; 6926.0; 0.0; 0.0; -4674.0; 4809.0; 2117.0; -254.0; 1863.0; 766.0; 1097.0; 0.0; 1097.0; 1.0; 1098.0; 2875.0; 2117.0; 1019.0; 1024.0; 1.07; 1.07
2017-03-31; 44514.0; 37943.0; 6571.0; 0.0; 0.0; -4778.0; 4778.0; 1793.0; -259.0; 1534.0; 572.0; 962.0; 0.0; 962.0; -9.0; 952.0; 2412.0; 1793.0; 1030.0; 1035.0; 0.92; 0.92
