Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-10-31; 15536.0; 10214.0; 5322.0; 576.0; 1191.0; -320.0; 2437.0; 2885.0; 0.0; 2885.0; 642.0; 2243.0; 0.0; 2244.0; 0.0; 2246.0; 3687.0; 3235.0; 304.5; 306.3; 7.43; 7.39
2022-07-31; 14102.0; 9511.0; 4591.0; 481.0; 959.0; -316.0; 2052.0; 2539.0; 0.0; 2539.0; 654.0; 1885.0; 0.0; 1885.0; 0.0; 1884.0; 3345.0; 2835.0; 304.1; 305.7; 6.2; 6.16
2022-04-30; 13370.0; 8918.0; 4452.0; 453.0; 932.0; -328.0; 1900.0; 2552.0; 0.0; 2552.0; 461.0; 2091.0; 0.0; 2097.0; 0.0; 2098.0; 3186.0; 2739.0; 306.2; 308.1; 6.85; 6.81
2022-01-31; 9569.0; 6695.0; 2874.0; 402.0; 781.0; -311.0; 1723.0; 1151.0; 0.0; 1151.0; 250.0; 901.0; 0.0; 904.0; 0.0; 903.0; 1866.0; 1380.0; 307.4; 309.4; 2.94; 2.92
2021-10-31; 11327.0; 7809.0; 3518.0; 450.0; 935.0; -311.0; 1906.0; 1612.0; 0.0; 1612.0; 329.0; 1283.0; 0.0; 1284.0; 0.0; 1282.0; 2303.0; 1822.0; 311.6; 314.0; 4.16; 4.12
2021-07-31; 11527.0; 7574.0; 3953.0; 394.0; 841.0; -324.0; 1803.0; 2150.0; 0.0; 2150.0; 491.0; 1659.0; 0.0; 1667.0; 0.0; 1667.0; 2909.0; 2394.0; 311.0; 313.4; 5.36; 5.32
2021-04-30; 12058.0; 7928.0; 4130.0; 377.0; 838.0; -335.0; 1818.0; 2312.0; 0.0; 2312.0; 530.0; 1782.0; 0.0; 1790.0; 0.0; 1790.0; 3096.0; 2580.0; 312.8; 315.2; 5.72; 5.68
2021-01-31; 9112.0; 5805.0; 3307.0; 366.0; 769.0; -373.0; 1779.0; 1528.0; 0.0; 1528.0; 308.0; 1220.0; 0.0; 1224.0; 0.0; 1224.0; 2337.0; 1799.0; 313.5; 316.1; 3.9; 3.87
2020-10-31; 9731.0; 6471.0; 3260.0; 443.0; 1010.0; -412.0; 2144.0; 1116.0; 0.0; 1116.0; 330.0; 786.0; 0.0; 758.0; 0.0; 757.0; 1899.0; 1395.0; 313.5; 316.6; 2.4; 2.38
2020-07-31; 8925.0; 5835.0; 3090.0; 370.0; 752.0; -408.0; 1820.0; 1270.0; 0.0; 1270.0; 457.0; 813.0; 0.0; 811.0; 0.0; 811.0; 2107.0; 1560.0; 313.0; 315.8; 2.59; 2.57
2020-04-30; 9253.0; 6294.0; 2959.0; 406.0; 906.0; -377.0; 2031.0; 928.0; 0.0; 928.0; 245.0; 683.0; 0.0; 666.0; 0.0; 666.0; 1799.0; 1270.0; 313.2; 316.2; 2.13; 2.11
2020-01-31; 7631.0; 5077.0; 2554.0; 425.0; 809.0; -415.0; 1985.0; 569.0; 0.0; 569.0; 50.0; 519.0; 0.0; 518.0; 0.0; 517.0; 1443.0; 905.0; 313.5; 317.2; 1.65; 1.63
2019-10-31; 9896.0; 6735.0; 3161.0; 488.0; 944.0; -516.0; 2336.0; 825.0; 0.0; 825.0; 104.0; 721.0; 0.0; 722.0; 0.0; 721.0; 1710.0; 1213.0; 316.5; 320.6; 2.31; 2.28
2019-07-31; 10036.0; 6870.0; 3166.0; 431.0; 896.0; -352.0; 2053.0; 1113.0; 0.0; 1113.0; 221.0; 892.0; 0.0; 899.0; 0.0; 899.0; 1993.0; 1487.0; 315.9; 319.8; 2.84; 2.81
2019-04-30; 11342.0; 7755.0; 3587.0; 457.0; 947.0; -359.0; 2114.0; 1473.0; 0.0; 1473.0; 343.0; 1130.0; 0.0; 1136.0; 0.0; 1135.0; 2337.0; 1824.0; 317.9; 322.2; 3.57; 3.52
2019-01-31; 7984.0; 5432.0; 2552.0; 407.0; 764.0; -351.0; 1875.0; 677.0; 0.0; 677.0; 184.0; 493.0; 0.0; 500.0; 0.0; 498.0; 1533.0; 1030.0; 318.5; 322.7; 1.56; 1.54
2018-10-31; 9416.5; 6381.2; 3035.3; 470.0; 897.8; -365.1; 2055.9; 979.4; 0.0; 979.4; 203.4; 776.0; 0.0; 785.0; 0.0; 785.0; 1784.4; 1302.4; 322.6; 327.3; 2.46; 2.45
2018-07-31; 10308.0; 7152.0; 3156.0; 416.0; 913.0; -346.0; 1966.0; 1190.0; 0.0; 1190.0; 289.0; 901.0; 0.0; 911.0; 0.0; 910.0; 1975.2; 1481.0; 323.5; 328.0; 2.81; 2.78
2018-04-30; 10720.0; 7333.3; 3386.7; 415.2; 939.2; -344.9; 2003.0; 1383.7; 0.0; 1383.7; 177.1; 1206.6; 0.0; 1209.7; 0.0; 1208.1; 2175.0; 1687.4; 324.2; 329.2; 3.73; 3.67
2018-01-31; 6913.5; 4704.5; 2209.0; 356.8; 705.0; -343.0; 1691.1; 517.9; 0.0; 517.9; 1057.5; -539.6; 0.0; -534.7; 0.0; -535.1; 1267.4; 804.2; 322.8; 322.8; -1.66; -1.66
2017-10-31; 8018.0; 5408.2; 2609.8; 398.7; 848.0; -348.6; 1843.0; 766.8; 0.0; 766.8; 222.8; 544.0; 0.0; 510.0; 0.0; 510.0; 1451.5; 1014.5; 319.5; 323.3; 1.6; 1.59
2017-07-31; 7807.8; 5248.6; 2559.2; 336.8; 799.1; -317.1; 1669.3; 889.9; 0.0; 889.9; 253.2; 636.7; 0.0; 642.3; 0.0; 641.8; 1542.1; 1106.2; 320.8; 325.1; 2.0; 1.97
2017-04-30; 8287.0; 5427.7; 2859.3; 325.4; 783.6; -354.1; 1690.0; 1169.3; 0.0; 1169.3; 365.8; 803.5; 0.0; 808.3; 0.0; 808.3; 1823.6; 1396.2; 319.2; 323.0; 2.53; 2.5
2017-01-31; 5625.2; 3781.5; 1843.7; 312.1; 667.3; -328.2; 1515.7; 328.0; 0.0; 328.0; 129.2; 198.8; 0.0; 198.4; 0.0; 198.9; 951.8; 536.1; 316.7; 319.7; 0.63; 0.62
2016-10-31; 6519.7; 4330.8; 2188.9; 390.6; 774.5; -390.6; 1754.5; 434.4; 0.0; 434.4; 140.3; 294.1; 0.0; 284.4; 0.0; 285.9; 1034.6; 633.2; 315.2; 316.6; 0.91; 0.9
2016-07-31; 6724.4; 4494.2; 2230.2; 338.8; 709.0; -276.6; 1525.1; 705.1; 0.0; 705.1; 226.5; 478.6; 0.0; 488.6; 0.0; 488.5; 1302.4; 905.8; 314.3; 315.7; 1.55; 1.55
2016-04-30; 7875.4; 5531.0; 2344.4; 345.0; 714.8; -360.3; 1611.1; 733.3; 0.0; 733.3; 237.8; 495.5; 0.0; 494.7; 0.0; 495.2; 1311.9; 924.3; 315.1; 316.5; 1.57; 1.56
2016-01-31; 5524.5; 3840.1; 1684.4; 319.3; 592.9; -247.8; 1333.2; 351.2; 0.0; 351.2; 95.5; 255.7; 0.0; 253.8; 0.0; 254.3; 898.6; 524.4; 316.4; 317.6; 0.8; 0.8
2015-10-31; 6715.3; 4670.4; 2044.9; 404.0; 719.0; -302.0; 1587.9; 457.0; 0.0; 457.0; 104.6; 352.4; 0.0; 351.5; 0.0; 351.7; 973.1; 619.9; 333.6; 336.0; 1.09; 1.09
2015-07-31; 7593.7; 5358.0; 2235.7; 346.8; 755.3; -223.6; 1497.2; 738.5; 0.0; 738.5; 241.0; 497.5; 0.0; 511.7; 0.0; 511.4; 1256.3; 910.0; 331.4; 334.1; 1.54; 1.53
2015-04-30; 8170.7; 5694.2; 2476.5; 341.1; 740.0; -212.9; 1459.5; 1017.0; 0.0; 1017.0; 324.0; 693.0; 0.0; 690.8; 0.0; 690.2; 1522.5; 1182.5; 337.1; 339.7; 2.05; 2.03
2015-01-31; 6383.1; 4420.6; 1962.5; 333.2; 659.0; -222.6; 1394.9; 567.6; 0.0; 567.6; 170.5; 397.1; 0.0; 386.9; 0.0; 386.7; 1090.6; 747.7; 343.1; 345.7; 1.13; 1.12
2014-10-31; 8964.8; 6097.2; 2867.6; 412.1; 851.3; -355.1; 1791.1; 1076.5; 0.0; 1076.5; 416.8; 659.7; 0.0; 649.9; 0.0; 649.9; 1598.2; 1249.1; 363.0; 366.1; 1.86; 1.84
2014-07-31; 9500.2; 6611.3; 2888.9; 362.1; 820.7; -260.0; 1596.7; 1292.2; 0.0; 1292.2; 450.2; 842.0; 0.0; 850.9; 0.0; 850.4; 1773.2; 1446.1; 361.9; 365.1; 2.35; 2.33
2014-04-30; 9947.9; 6871.8; 3076.1; 354.1; 846.5; -245.9; 1612.3; 1463.8; 0.0; 1463.8; 479.0; 984.8; 0.0; 981.2; 0.0; 980.3; 1916.8; 1629.6; 366.6; 369.8; 2.67; 2.65
2014-01-31; 7654.0; 5195.5; 2458.5; 323.7; 765.9; -232.3; 1493.6; 964.9; 0.0; 964.9; 280.5; 684.4; 0.0; 681.3; 0.0; 681.1; 1479.7; 1136.6; 371.9; 375.4; 1.83; 1.81
2013-10-31; 9450.6; 6332.4; 3118.2; 405.3; 947.9; -333.2; 1874.0; 1244.19; 0.0; 1244.2; 437.0; 807.2; 0.0; 807.1; 0.0; 807.5; 1730.89; 1431.8; 385.3; 389.2; 2.14; 2.12
2013-07-31; 10009.9; 6837.9; 3172.0; 338.7; 919.8; -181.6; 1622.7; 1549.3; 0.0; 1549.3; 553.5; 995.8; 0.0; 996.6; 0.0; 996.3; 2018.7; 1731.9; 386.0; 389.6; 2.58; 2.56
2013-04-30; 10913.5; 7482.2; 3431.3; 376.8; 956.3; -163.4; 1687.5; 1743.8; 0.0; 1743.8; 666.4; 1077.4; 0.0; 1084.3; 0.0; 1083.9; 2212.1; 1934.8; 389.2; 393.1; 2.79; 2.76
2013-01-31; 7421.4; 5014.8; 2406.6; 356.5; 781.5; -142.4; 1460.5; 946.1; 0.0; 946.1; 289.0; 657.1; 0.0; 649.6; 0.0; 649.6; 1403.3; 1126.2; 388.4; 393.0; 1.67; 1.65
2012-10-31; 9791.6; 6841.3; 2950.3; 401.3; 948.2; -278.3; 1827.9; 1122.4; 0.0; 1122.4; 425.1; 697.3; 0.0; 688.9; 0.0; 687.6; 1584.0; 1322.5; 397.1; 401.5; 1.76; 1.74
2012-07-31; 9590.4; 6756.0; 2834.4; 367.8; 878.4; -178.6; 1619.7; 1214.7; 0.0; 1214.7; 426.8; 787.9; 0.0; 790.2; 0.0; 788.0; 1653.6; 1409.6; 394.7; 398.8; 2.0; 1.98
2012-04-30; 10008.6; 6834.5; 3174.1; 352.0; 881.4; -148.0; 1577.1; 1597.0; 0.0; 1597.0; 541.3; 1055.7; 0.0; 1058.1; 0.0; 1056.2; 2048.1; 1792.7; 400.2; 404.7; 2.64; 2.61
