Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 11859.0; 10656.0; 1203.0; 225.0; 386.0; 0.0; 623.0; 580.0; 285.0; 865.0; 218.0; 647.0; 0.0; 647.0; 0.0; 613.0; 0.0; 580.0; 709.2; 713.0; 0.86; 0.85
2022-09-30; 14115.0; 12381.0; 1734.0; 191.0; 356.0; 0.0; 630.0; 1104.0; -103.0; 1001.0; 241.0; 760.0; 0.0; 760.0; 0.0; 739.0; 1772.0; 1104.0; 714.3; 718.1; 1.03; 1.02
2022-06-30; 15664.0; 12899.0; 2765.0; 217.0; 435.0; 0.0; 737.0; 2028.0; 141.0; 2169.0; 488.0; 1681.0; 0.0; 1681.0; 0.0; 1661.0; 2712.0; 2028.0; 725.7; 731.5; 2.28; 2.26
2022-03-31; 15264.0; 12402.0; 2862.0; 218.0; 498.0; 0.0; 990.0; 1872.0; 183.0; 2055.0; 503.0; 1552.0; 0.0; 1552.0; 0.0; 1569.0; 2624.0; 1872.0; 734.6; 739.8; 2.12; 2.11
2021-12-31; 14364.0; 11778.0; 2586.0; 225.0; 436.0; 0.0; 732.0; 1854.0; 264.0; 2118.0; 357.0; 1761.0; 0.0; 1761.0; 0.0; 1736.0; 2509.0; 1854.0; 743.6; 749.0; 2.34; 2.32
2021-09-30; 14837.0; 11611.0; 3226.0; 210.0; 403.0; 0.0; 713.0; 2513.0; -265.0; 2248.0; 542.0; 1706.0; 0.0; 1706.0; 0.0; 1683.0; 3238.0; 2513.0; 744.5; 750.0; 2.25; 2.23
2021-06-30; 13885.0; 10740.0; 3145.0; 228.0; 440.0; 0.0; 790.0; 2355.0; 101.0; 2456.0; 524.0; 1932.0; 0.0; 1932.0; 0.0; 1901.0; 3100.0; 2355.0; 747.0; 752.9; 2.53; 2.51
2021-03-31; 11882.0; 10062.0; 1820.0; 194.0; 366.0; 0.0; 661.0; 1159.0; 164.0; 1323.0; 317.0; 1006.0; 0.0; 1006.0; 0.0; 991.0; 1876.0; 1159.0; 744.8; 749.8; 1.32; 1.32
2020-12-31; 10706.0; 9135.0; 1571.0; 214.0; 408.0; -65.0; 777.0; 794.0; 1022.0; 1816.0; 562.0; 1254.0; 0.0; 1254.0; 0.0; 1236.0; 1520.0; 794.0; 740.5; 742.3; 1.67; 1.67
2020-09-30; 9712.0; 8371.0; 1341.0; 193.0; 372.0; -63.0; 1345.0; -4.0; 46.0; 42.0; 43.0; -1.0; 0.0; -1.0; 0.0; -25.0; 720.0; -4.0; 740.5; 740.5; -0.04; -0.04
2020-06-30; 8354.0; 7610.0; 744.0; 182.0; 357.0; -46.0; 691.0; 53.0; -236.0; -183.0; 34.0; -217.0; 0.0; -217.0; 0.0; -225.0; 753.0; 53.0; 739.3; 739.3; -0.31; -0.31
2020-03-31; 9770.0; 8230.0; 1540.0; 179.0; 334.0; -65.0; 774.0; 766.0; -370.0; 396.0; 138.0; 258.0; 0.0; 258.0; 0.0; 239.0; 1490.0; 766.0; 740.2; 742.0; 0.32; 0.32
2019-12-31; 10204.0; 8718.0; 1486.0; 173.0; 332.0; -99.0; 3554.0; -2068.0; -128.0; -2196.0; 114.0; -2310.0; 0.0; -2310.0; 0.0; -2323.0; -1355.0; -2068.0; 742.5; 742.5; -3.13; -3.13
2019-09-30; 10764.0; 9377.0; 1387.0; 194.0; 388.0; -164.0; 993.0; 394.0; 43.0; 437.0; 90.0; 347.0; 0.0; 347.0; 0.0; 333.0; 1133.0; 394.0; 739.8; 743.0; 0.45; 0.45
2019-06-30; 11014.0; 9420.0; 1594.0; 208.0; 422.0; -348.0; 1147.0; 447.0; -232.0; 215.0; 125.0; 90.0; 0.0; 90.0; 0.0; 75.0; 1190.0; 447.0; 742.8; 747.9; 0.1; 0.1
2019-03-31; 10969.0; 9142.0; 1827.0; 190.0; 448.0; -452.0; 1362.0; 465.0; -168.0; 297.0; 141.0; 156.0; 0.0; 156.0; 445.0; 556.0; 1208.0; 465.0; 747.2; 747.2; 0.74; 0.74
2018-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-09-30; 12634.0; 10456.0; 2178.0; 193.0; 409.0; -313.0; 1080.0; 1098.0; -104.0; 994.0; 280.0; 714.0; 0.0; 714.0; 335.0; 1013.0; 1830.0; 1098.0; 747.2; 747.2; 1.36; 1.36
2018-06-30; 12789.0; 10540.0; 2249.0; 221.0; 485.0; -262.0; 1126.0; 1123.0; -64.0; 1059.0; 249.0; 810.0; 0.0; 810.0; 554.0; 1333.0; 1123.0; 1123.0; 747.2; 747.2; 1.78; 1.78
2017-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2016-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
