Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3566.0; 2775.0; 791.0; 0.0; 324.0; 0.0; 704.0; 87.0; -33.0; 54.0; 26.0; 28.0; 0.0; 28.0; 0.0; 27.0; 475.0; 87.0; 229.96; 233.17; 0.12; 0.12
2022-06-30; 3707.0; 2930.0; 777.0; 0.0; 349.0; 0.0; 738.0; 39.0; 83.0; 122.0; 19.0; 103.0; 0.0; 103.0; 0.0; 102.0; 437.0; 39.0; 232.48; 237.38; 0.44; 0.43
2022-03-31; 4008.0; 3161.0; 847.0; 0.0; 315.0; 0.0; 738.0; 109.0; 690.0; 799.0; 260.0; 539.0; 0.0; 539.0; 0.0; 530.0; 542.0; 109.0; 250.02; 255.21; 2.13; 2.1
2021-12-31; 4089.0; 3179.0; 910.0; 0.0; 340.0; -2.0; 766.0; 144.0; 22.0; 166.0; 64.0; 102.0; 0.0; 102.0; 0.0; 98.0; 574.0; 144.0; 250.27; 254.82; 0.39; 0.38
2021-09-30; 4027.0; 3088.0; 939.0; 0.0; 370.0; -281.0; 1099.0; -160.0; -88.0; -248.0; -61.0; -187.0; 0.0; -187.0; 0.0; -188.0; 292.0; -160.0; 252.4; 252.4; -0.74; -0.74
2021-06-30; 4141.0; 3255.0; 886.0; 0.0; 383.0; -28.0; 833.0; 53.0; 371.0; 424.0; 142.0; 282.0; 0.0; 282.0; 0.0; 278.0; 480.0; 53.0; 254.67; 260.32; 1.09; 1.07
2021-03-31; 4385.0; 3561.0; 824.0; 0.0; 471.0; 0.0; 990.0; -166.0; -627.0; -793.0; 11.0; -804.0; 0.0; -804.0; 0.0; -798.0; 319.0; -166.0; 254.14; 254.14; -3.14; -3.11
2020-12-31; 4288.0; 3333.0; 955.0; 0.0; 517.0; 0.0; 992.0; -37.0; 2015.0; 1978.0; 875.0; 1103.0; 0.0; 1103.0; 0.0; 1098.0; 444.0; -37.0; 254.32; 255.75; 4.32; 4.29
2020-09-30; 4554.0; 3563.0; 991.0; 0.0; 539.0; 0.0; 1064.0; -73.0; -233.0; -306.0; -60.0; -246.0; 0.0; -246.0; 0.0; -244.0; 456.0; -73.0; 254.13; 254.13; -0.96; -0.96
2020-06-30; 4502.0; 3629.0; 873.0; 0.0; 539.0; 0.0; 1031.0; -158.0; -67.0; -225.0; -26.0; -199.0; 0.0; -199.0; 0.0; -205.0; 338.0; -158.0; 253.63; 253.63; -0.81; -0.81
2020-03-31; 4815.0; 3773.0; 1042.0; 0.0; 536.0; 0.0; 1062.0; -20.0; -3542.0; -3562.0; -61.0; -3501.0; 0.0; -3501.0; 0.0; -3495.0; 4361.0; -20.0; 258.57; 258.57; -13.5; -13.5
2019-12-31; 5021.0; 3827.0; 1194.0; 0.0; 518.0; 0.0; 997.0; 197.0; -70.0; 127.0; 37.0; 90.0; 0.0; 90.0; 0.0; 82.0; 733.0; 197.0; 255.09; 256.05; 0.32; 0.32
2019-09-30; 4851.0; 3679.0; 1172.0; 0.0; 489.0; 0.0; 956.0; 216.0; -2215.0; -1999.0; 116.0; -2115.0; 0.0; -2115.0; 0.0; -2119.0; 3575.0; 216.0; 258.71; 258.71; -8.19; -8.19
2019-06-30; 4890.0; 3622.0; 1268.0; 0.0; 507.0; 0.0; 977.0; 291.0; -85.0; 206.0; 38.0; 168.0; 0.0; 168.0; 0.0; 163.0; 765.0; 291.0; 267.0; 268.97; 0.61; 0.61
2019-03-31; 5280.0; 3836.0; 1444.0; 0.0; 459.0; 0.0; 964.0; 480.0; -126.0; 354.0; 83.0; 271.0; 0.0; 271.0; 0.0; 274.0; 979.0; 480.0; 277.54; 281.43; 1.01; 0.99
2018-12-31; 5178.0; 3725.0; 1453.0; 0.0; 491.0; 0.0; 999.0; 454.0; 15.0; 469.0; 3.0; 466.0; 0.0; 466.0; 0.0; 462.0; 966.0; 454.0; 275.66; 278.99; 1.68; 1.66
2018-09-30; 5013.0; 3518.0; 1495.0; 0.0; 569.0; 0.0; 1053.0; 442.0; -110.0; 332.0; 73.0; 259.0; 0.0; 259.0; 0.0; 262.0; 935.0; 442.0; 281.37; 285.78; 0.93; 0.92
2018-06-30; 5282.0; 3867.0; 1415.0; 0.0; 440.0; 0.0; 911.0; 504.0; -144.0; 360.0; 129.0; 231.0; 0.0; 231.0; 35.0; 259.0; 1013.0; 504.0; 284.44; 289.3; 0.91; 0.9
2018-03-31; 5584.0; 4087.0; 1497.0; 0.0; 406.0; 0.0; 937.0; 560.0; 28.0; 588.0; 61.0; 527.0; 0.0; 527.0; 38.0; 560.0; 1183.0; 560.0; 284.93; 289.77; 1.97; 1.93
2017-12-31; 5460.0; 4051.0; 1409.0; 0.0; 447.0; 0.0; 887.0; 522.0; -181.0; 341.0; -365.0; 706.0; 0.0; 706.0; 73.0; 776.0; 1005.0; 522.0; 285.38; 289.77; 2.72; 2.68
2017-09-30; 5453.0; 3870.0; 1583.0; 0.0; 644.0; 0.0; 1126.0; 457.0; -173.0; 284.0; 79.0; 205.0; 0.0; 205.0; 60.0; 256.0; 998.0; 457.0; 284.87; 289.29; 0.9; 0.88
2017-06-30; 5236.0; 4309.0; 927.0; 0.0; 393.0; 0.0; 735.0; 192.0; -101.0; 91.0; -17.0; 108.0; 0.0; 108.0; 65.0; 159.0; 555.0; 192.0; 283.83; 289.47; 0.56; 0.55
2017-03-31; 1889.0; 1418.0; 471.0; 0.0; 351.0; 0.0; 504.0; -33.0; -154.0; -187.0; -49.0; -138.0; 0.0; -138.0; 0.0; -148.0; 139.0; -33.0; 140.39; 140.39; -1.06; -1.04
