Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 769.6; 275.4; 494.2; 110.3; 234.6; 0.0; 346.7; 147.5; -1.3; 146.2; 45.0; 101.2; 0.0; 101.2; 0.0; 101.2; 186.7; 147.5; 389.8; 425.8; 0.26; 0.24
2022-06-30; 696.2; 246.7; 449.5; 121.7; 248.9; 0.0; 372.5; 77.0; -1.7; 75.3; 24.4; 50.9; 0.0; 50.9; 0.0; 50.9; 120.6; 77.0; 392.5; 421.4; 0.13; 0.12
2022-03-31; 628.8; 230.7; 398.1; 135.9; 220.9; 0.0; 356.8; 41.3; -5.2; 36.1; -61.2; 97.3; 0.0; 97.3; 0.0; 97.3; 78.1; 41.3; 388.8; 428.8; 0.25; 0.23
2021-12-31; 698.2; 225.6; 472.6; 236.9; 236.9; 0.0; 472.0; 0.6; -77.1; -76.5; -9.0; -67.5; 0.0; -67.5; 0.0; -67.5; 32.7; 0.6; 386.8; 400.4; -0.18; -0.15
2021-09-30; 650.2; 203.3; 446.9; 128.8; 198.5; 0.0; 328.6; 118.3; -6.3; 112.0; 24.7; 87.3; 0.0; 87.3; 0.0; 87.3; 143.8; 118.3; 387.4; 430.3; 0.23; 0.21
2021-06-30; 595.1; 178.0; 417.1; 129.1; 186.5; 0.0; 316.1; 101.0; -3.9; 97.1; 18.7; 78.4; 0.0; 78.4; 0.0; 78.4; 124.5; 101.0; 386.9; 427.1; 0.2; 0.19
2021-03-31; 505.0; 161.1; 343.9; 109.4; 188.6; 0.0; 298.0; 45.9; -4.6; 41.3; -15.2; 56.5; 0.0; 56.5; 0.0; 56.5; 66.8; 45.9; 385.2; 418.4; 0.15; 0.14
2020-12-31; 568.9; 169.8; 399.1; 119.2; 175.9; 0.0; 295.1; 104.0; -22.7; 81.3; -273.9; 355.2; 0.0; 355.2; 0.0; 355.2; 124.4; 104.0; 377.6; 390.0; 0.94; 0.91
2020-09-30; 500.9; 160.5; 340.4; 87.7; 158.6; 0.0; 246.3; 94.1; -19.0; 75.1; 2.9; 72.2; 0.0; 72.2; 0.0; 72.2; 112.5; 94.1; 383.2; 398.0; 0.19; 0.18
2020-06-30; 451.8; 167.7; 284.1; 79.9; 136.4; 0.0; 216.3; 67.8; -21.6; 46.2; -0.1; 46.3; 0.0; 46.3; 0.0; 46.3; 83.1; 67.8; 375.2; 388.0; 0.12; 0.12
2020-03-31; 405.1; 148.6; 256.5; 73.1; 149.8; 0.0; 222.9; 33.6; -11.2; 22.4; 2.5; 19.9; 0.0; 19.9; 0.0; 19.9; 46.6; 33.6; 367.2; 376.4; 0.06; 0.05
2019-12-31; 462.8; 153.5; 309.3; 78.8; 129.0; 0.0; 207.8; 101.5; -7.2; 94.3; 1.6; 92.7; 0.0; 92.7; 0.0; 92.7; 115.8; 101.5; 364.4; 369.2; 0.26; 0.26
2019-09-30; 396.3; 149.4; 246.9; 66.7; 124.2; 0.0; 190.9; 56.0; -10.2; 45.8; 0.0; 45.8; 0.0; 45.8; 0.0; 45.8; 68.9; 56.0; 365.2; 370.0; 0.12; 0.12
2019-06-30; 336.4; 129.9; 206.5; 69.0; 138.3; 0.0; 207.3; -0.8; -8.5; -9.3; 1.2; -10.5; 0.0; -10.5; 0.0; -10.5; 10.8; -0.8; 364.4; 364.4; -0.03; -0.03
2019-03-31; 280.5; 111.7; 168.8; 59.0; 124.2; 0.0; 183.2; -14.4; -12.2; -26.6; 0.3; -26.9; 0.0; -26.9; 0.0; -26.9; -4.5; -14.4; 361.2; 361.2; -0.07; -0.07
2018-12-31; 338.0; 115.2; 222.8; 275.3; 112.1; 0.0; 387.4; -164.6; -12.3; -176.9; 2.8; -179.7; 0.0; -179.7; 0.0; -179.7; -156.0; -164.6; 352.8; 352.8; -0.51; -0.51
2018-09-30; 266.7; 98.1; 168.6; 50.1; 104.6; 0.0; 154.7; 13.9; 30.9; 44.8; -1.8; 46.6; 0.0; 46.6; 0.0; 46.6; 21.7; 13.9; 354.0; 361.2; 0.13; 0.13
2018-06-30; 242.5; 88.9; 153.6; 47.2; 111.3; 0.0; 158.5; -4.9; 34.5; 29.6; -0.6; 30.2; 0.0; 30.2; 0.0; 30.2; 1.8; -4.9; 352.8; 357.6; 0.09; 0.09
2018-03-31; 184.4; 65.5; 118.9; 44.8; 104.8; 0.0; 149.6; -30.7; 6.7; -24.0; 0.2; -24.2; 0.0; -24.2; 0.0; -24.2; -24.7; -30.7; 349.2; 349.2; -0.07; -0.07
2017-12-31; 221.0; 67.5; 153.5; 48.7; 92.8; 0.0; 141.5; 12.0; -3.4; 8.6; 18.0; -9.4; 0.0; -9.4; 0.0; -9.4; 16.2; 12.0; 345.2; 345.2; -0.03; -0.03
2017-09-30; 184.6; 57.6; 127.0; 43.3; 84.2; 0.0; 127.5; -0.5; -2.0; -2.5; -0.5; -2.0; 0.0; -2.0; 0.0; -2.0; 3.8; -0.5; 346.8; 346.8; -0.01; -0.01
2017-06-30; 170.6; 53.1; 117.5; 45.3; 85.8; 0.0; 131.1; -13.6; -0.8; -14.4; -17.3; 2.9; 0.0; 2.9; 0.0; 2.9; -9.7; -13.6; 345.6; 349.6; 0.01; 0.01
2017-03-31; 142.3; 48.2; 94.1; 48.1; 86.4; 0.0; 134.5; -40.4; 0.1; -40.3; 1.4; -41.7; 0.0; -41.7; 0.0; -41.7; -36.7; -40.4; 340.8; 340.8; -0.12; -0.12
2016-12-31; 171.2; 54.5; 116.7; 43.7; 79.1; 0.0; 122.8; -6.1; -0.9; -7.0; 0.4; -7.4; 0.0; -7.4; 0.0; -7.4; -2.5; -6.1; 334.4; 334.4; -0.02; -0.02
2016-09-30; 148.6; 47.5; 101.1; 43.9; 75.7; 0.0; 119.6; -18.5; -0.1; -18.6; 0.2; -18.8; 0.0; -18.8; 0.0; -18.8; -14.4; -18.5; 336.4; 336.4; -0.06; -0.06
2016-06-30; 137.3; 51.8; 85.5; 36.3; 69.3; 0.0; 105.6; -20.1; 0.0; -20.1; 0.1; -20.2; 0.0; -20.2; 0.0; -20.2; -16.2; -20.1; 334.4; 334.4; -0.06; -0.06
