Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 4218.61; 1781.88; 2436.74; 0.0; 1022.91; -5.84; 1482.03; 954.71; -214.71; 739.99; 184.11; 555.88; 0.0; 555.88; 0.0; 560.59; 1508.51; 954.71; 203.45; 204.58; 2.76; 2.74
2022-06-30; 3395.2; 1222.57; 2172.62; 0.0; 986.88; -659.86; 2091.49; 81.13; -276.76; -195.63; -359.64; 164.01; 0.0; 164.01; 0.0; 159.7; 633.36; 81.13; 203.38; 204.71; 0.79; 0.78
2022-03-31; 2877.93; 936.56; 1941.36; 0.0; 901.96; -34.37; 1375.3; 566.06; -219.97; 346.09; 66.5; 279.59; 0.0; 279.59; 0.0; 276.4; 1127.79; 566.06; 202.94; 203.89; 1.36; 1.36
2021-12-31; 2722.46; 921.32; 1801.14; 0.0; 987.34; -45.77; 1459.59; 341.55; -110.6; 230.95; -14.43; 245.38; 0.0; 245.38; 0.0; 258.9; 888.17; 341.55; 200.94; 201.87; 1.29; 1.28
2021-09-30; 3353.53; 1049.12; 2304.41; 0.0; 926.25; -128.55; 1476.55; 827.87; -134.0; 693.87; 158.28; 535.58; 0.0; 535.58; 0.0; 531.0; 1373.9; 827.87; 200.96; 202.0; 2.64; 2.63
2021-06-30; 2822.07; 878.44; 1943.63; 0.0; 980.73; -373.15; 1775.43; 168.21; -188.02; -19.81; -18.42; -1.39; 0.0; -1.39; 0.0; -5.97; 737.93; 168.21; 200.78; 200.78; -0.03; -0.03
2021-03-31; 2844.84; 880.9; 1963.94; 0.0; 907.23; -134.19; 1455.94; 508.0; -102.91; 405.09; 65.94; 339.14; 0.0; 339.14; 0.0; 334.56; 1088.57; 508.0; 200.53; 201.06; 1.67; 1.66
2020-12-31; 2370.1; 615.06; 1755.04; 0.0; 1010.08; -184.82; 1602.93; 152.11; -48.44; 103.68; -288.87; 392.55; 0.0; 392.55; 0.0; 387.97; 714.96; 152.11; 200.11; 201.1; 1.95; 1.93
2020-09-30; 2903.57; 686.59; 2216.98; 0.0; 967.15; -70.24; 1438.96; 778.02; -102.87; 675.14; 149.44; 525.7; 0.0; 525.7; 0.0; 521.12; 1341.71; 778.02; 200.22; 201.12; 2.6; 2.59
2020-06-30; 2412.79; 552.97; 1859.82; 0.0; 939.8; -76.94; 1420.51; 439.31; 14.92; 454.23; 89.11; 365.11; 0.0; 365.11; 0.0; 360.53; 1001.93; 439.31; 200.18; 200.89; 1.8; 1.79
2020-03-31; 2427.18; 614.02; 1813.16; 0.0; 922.6; -91.1; 1413.41; 399.76; -347.66; 52.1; -71.19; 123.29; 0.0; 123.29; 0.0; 118.71; 968.35; 399.76; 199.79; 200.9; 0.59; 0.59
2019-12-31; 2462.3; 678.2; 1784.11; 0.0; 1049.28; -106.27; 1535.57; 248.54; -102.19; 146.35; -243.25; 389.61; 0.0; 389.61; 0.0; 385.02; 796.17; 248.54; 195.2; 197.0; 1.96; 1.94
2019-09-30; 3140.57; 913.28; 2227.3; 0.0; 1023.47; -304.68; 1707.37; 519.93; -121.27; 398.66; 29.2; 369.46; 0.0; 369.46; 0.0; 365.24; 1085.8; 519.93; 198.93; 200.49; 1.84; 1.82
2019-06-30; 2666.21; 813.18; 1853.03; 0.0; 1056.24; -94.51; 1514.25; 338.78; -96.78; 241.99; 1.46; 240.53; 0.0; 240.53; 0.0; 236.42; 877.36; 338.78; 193.02; 194.24; 1.22; 1.22
2019-03-31; 2609.58; 817.84; 1791.75; 0.0; 992.07; -159.15; 1508.49; 283.25; 18.16; 301.42; 42.77; 258.65; 0.0; 258.65; 0.0; 254.54; 813.48; 283.25; 189.57; 192.23; 1.34; 1.32
2018-12-31; 2512.48; 915.79; 1596.69; 0.0; 1062.74; -415.62; 1825.62; -228.93; -350.28; -579.21; -516.89; -62.32; 0.0; -62.32; 0.0; -65.9; 294.28; -228.93; 181.41; 183.38; -0.37; -0.36
2018-09-30; 3104.32; 1168.65; 1935.67; 0.0; 1053.87; -286.14; 1664.63; 271.04; -14.22; 256.81; -283.01; 539.82; 0.0; 539.82; 0.0; 536.38; 760.77; 271.04; 181.0; 183.66; 2.96; 2.92
2018-06-30; 2668.77; 882.84; 1785.93; 0.0; 1034.01; -309.84; 1694.34; 91.6; -123.33; -31.74; -280.6; 248.86; 0.0; 248.86; 0.0; 245.42; 594.02; 91.6; 180.82; 182.98; 1.36; 1.34
2018-03-31; 2723.88; 839.32; 1884.56; 0.0; 991.56; -210.27; 1548.9; 335.66; -155.8; 179.86; 43.66; 136.2; 0.0; 136.2; 0.0; 132.76; 860.85; 335.66; 180.71; 181.43; 0.73; 0.73
2017-12-31; 2623.85; 810.67; 1813.17; 0.0; 1082.36; -156.1; 1576.1; 237.07; -82.66; 154.41; 630.12; -475.71; 0.0; -475.71; 0.0; -479.11; 754.09; 237.07; 179.67; 180.54; -2.67; -2.66
2017-09-30; 3243.63; 1021.09; 2222.54; 0.0; 977.75; -131.05; 1463.54; 759.0; -115.56; 643.44; 241.79; 401.64; 0.0; 401.64; 0.0; 398.2; 1277.9; 759.0; 179.56; 180.46; 2.22; 2.21
2017-06-30; 2618.55; 812.44; 1806.11; 0.0; 986.52; -300.42; 1637.27; 168.84; -92.58; 76.26; -337.11; 413.37; 0.0; 413.37; 0.0; 409.92; 680.14; 168.84; 179.47; 180.24; 2.28; 2.27
2017-03-31; 2588.46; 775.33; 1813.12; 0.0; 1045.77; -224.59; 1617.63; 195.49; -101.68; 93.81; 7.76; 86.05; 0.0; 86.05; 0.0; 82.61; 726.87; 195.49; 179.34; 179.84; 0.46; 0.46
2016-12-31; 2648.53; 802.2; 1846.32; 0.0; 1099.26; -2937.99; 4374.09; -2527.77; -203.91; -2731.68; -966.14; -1765.54; 0.0; -1765.54; 0.0; -1769.07; -1953.35; -2527.77; 178.89; 178.89; -9.89; -9.86
2016-09-30; 3124.7; 836.1; 2288.61; 0.0; 1038.93; -137.22; 1516.55; 772.06; -120.95; 651.11; 257.91; 393.2; 0.0; 393.2; 0.0; 388.17; 1308.18; 772.06; 179.02; 179.99; 2.17; 2.16
2016-06-30; 2462.56; 624.14; 1838.42; 0.0; 955.55; -104.95; 1396.17; 442.26; -118.64; 323.62; -248.97; 572.59; 0.0; 572.59; 0.0; 567.31; 954.76; 442.26; 178.81; 179.5; 3.17; 3.16
2016-03-31; 2609.85; 767.29; 1842.56; 0.0; 932.92; -77.15; 1344.34; 498.22; -123.03; 375.19; 139.94; 235.24; 0.0; 235.24; 0.0; 229.97; 998.47; 498.22; 178.58; 178.98; 1.29; 1.28
