Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1909.1; 724.6; 1184.5; 0.0; 366.9; -6.0; 606.1; 578.4; -99.7; 478.7; 49.5; 429.2; 0.0; 431.2; 0.0; 428.2; 840.4; 578.4; 229.9; 230.6; 1.86; 1.86
2022-06-30; 1446.5; 495.8; 950.7; 0.0; 383.1; 0.0; 615.2; 335.5; -117.2; 218.3; 22.1; 196.2; 0.0; 197.6; 0.0; 194.5; 594.8; 335.5; 229.9; 230.4; 0.85; 0.84
2022-03-31; 1223.9; 387.7; 836.2; 0.0; 354.1; 0.0; 583.1; 253.1; -118.1; 135.0; 11.5; 123.5; 0.0; 125.6; 0.0; 122.5; 510.9; 253.1; 229.8; 230.2; 0.53; 0.53
2021-12-31; 1122.1; 355.6; 766.5; 0.0; 398.4; 0.0; 625.3; 141.2; -69.2; 72.0; 17.6; 54.4; 0.0; 56.5; 0.0; 53.4; 395.7; 141.2; 229.0; 229.6; 0.23; 0.23
2021-09-30; 1616.5; 429.4; 1187.1; 0.0; 361.4; 0.0; 586.4; 600.7; -93.0; 507.7; 57.2; 450.5; 0.0; 452.5; 0.0; 449.4; 855.1; 600.7; 229.7; 230.2; 1.96; 1.95
2021-06-30; 1236.2; 357.9; 878.3; 0.0; 357.8; 0.0; 583.0; 295.3; -89.5; 205.8; 19.6; 186.2; 0.0; 188.3; 0.0; 185.3; 538.3; 295.3; 229.3; 229.7; 0.81; 0.81
2021-03-31; 1611.9; 704.5; 907.4; 0.0; 370.4; 0.0; 589.7; 317.7; -102.1; 215.6; 23.0; 192.6; 0.0; 194.6; 0.0; 191.6; 562.8; 317.7; 227.3; 227.6; 0.84; 0.84
2020-12-31; 1094.4; 331.9; 762.5; 0.0; 387.5; 0.0; 609.5; 153.0; -92.8; 60.2; 8.4; 51.8; 0.0; 54.0; 0.0; 51.0; 401.1; 153.0; 227.2; 227.5; 0.22; 0.22
2020-09-30; 1517.6; 382.3; 1135.3; 0.0; 395.6; 0.0; 613.6; 521.7; -106.1; 415.6; 50.0; 365.6; 0.0; 367.5; 0.0; 364.5; 767.1; 521.7; 227.3; 227.5; 1.6; 1.6
2020-06-30; 1184.7; 327.8; 856.9; 0.0; 363.6; 0.0; 585.2; 271.7; -103.7; 168.0; 33.7; 134.3; 0.0; 136.3; 0.0; 133.4; 516.4; 271.7; 227.2; 227.6; 0.59; 0.59
2020-03-31; 1116.7; 320.2; 796.5; 0.0; 380.5; 0.0; 599.0; 197.5; -117.4; 80.1; 10.1; 70.0; 0.0; 72.2; 0.0; 69.4; 443.2; 197.5; 227.1; 227.5; 0.31; 0.31
2019-12-31; 1131.6; 348.7; 782.9; 0.0; 400.5; 0.0; 617.1; 165.8; -103.2; 62.6; -2.2; 64.8; 0.0; 66.7; 0.0; 63.9; 400.6; 165.8; 239.5; 239.9; 0.28; 0.27
2019-09-30; 1577.6; 419.7; 1157.9; 0.0; 403.1; 0.0; 619.2; 538.7; -105.9; 432.8; 65.5; 367.3; 0.0; 370.9; 0.0; 366.8; 781.1; 538.7; 234.6; 235.0; 1.56; 1.56
2019-06-30; 1221.7; 354.4; 867.3; 0.0; 380.2; 0.0; 595.6; 271.7; -104.8; 166.9; 24.4; 142.5; 0.0; 144.6; 0.0; 139.7; 511.6; 271.7; 243.2; 243.4; 0.57; 0.57
2019-03-31; 1216.9; 393.5; 823.4; 0.0; 400.2; 0.0; 613.8; 209.6; -99.1; 110.5; 9.3; 101.2; 0.0; 103.4; 0.0; 99.5; 450.9; 209.6; 252.8; 253.0; 0.39; 0.39
2018-12-31; 1199.8; 395.3; 804.5; 0.0; 447.1; 0.0; 654.4; 150.1; -98.9; 51.2; 30.7; 20.5; 0.0; 21.1; 0.0; 18.5; 384.2; 150.1; 213.9; 214.1; 0.2; 0.2
