Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3619.0; 455.0; 3164.0; 310.0; 1856.0; -52.0; 2417.0; 747.0; -57.0; 690.0; 214.0; 476.0; 0.0; 476.0; 0.0; 482.0; 1124.0; 747.0; 157.63; 161.83; 3.05; 2.98
2022-06-30; 3181.0; 419.0; 2762.0; 284.0; 1905.0; -31.0; 2417.0; 345.0; -472.0; -127.0; 58.0; -185.0; 0.0; -185.0; 0.0; -185.0; 635.0; 345.0; 157.29; 157.29; -1.17; -1.17
2022-03-31; 2249.0; 371.0; 1878.0; 270.0; 1525.0; -21.0; 2013.0; -135.0; -73.0; -208.0; -85.0; -123.0; 0.0; -123.0; 0.0; -122.0; 152.0; -135.0; 156.34; 156.37; -0.78; -0.78
2021-12-31; 2279.0; 395.0; 1884.0; 274.0; 1227.0; -6.0; 1721.0; 163.0; 308.0; 471.0; 76.0; 395.0; 0.0; 395.0; 0.0; 276.0; 481.0; 163.0; 149.73; 149.73; 1.99; 2.13
2021-09-30; 2962.0; 442.0; 2520.0; 277.0; 1496.0; -10.0; 1996.0; 524.0; -59.0; 465.0; 87.0; 378.0; 0.0; 378.0; 0.0; 362.0; 841.0; 524.0; 151.02; 160.46; 2.4; 2.26
2021-06-30; 2111.0; 374.0; 1737.0; 276.0; 1383.0; 8.0; 1869.0; -132.0; -92.0; -224.0; -47.0; -177.0; 0.0; -177.0; 0.0; -301.0; 193.0; -132.0; 149.09; 149.09; -2.02; -2.02
2021-03-31; 1246.0; 311.0; 935.0; 247.0; 820.0; 1.0; 1304.0; -369.0; -381.0; -750.0; -169.0; -581.0; 0.0; -581.0; 0.0; -606.0; -77.0; -369.0; 145.18; 145.18; -4.17; -4.17
2020-12-31; 920.0; 276.0; 644.0; 240.0; 629.0; -1.0; 1107.0; -463.0; -32.0; -495.0; -104.0; -391.0; 0.0; -391.0; 0.0; -412.0; -199.0; -463.0; 141.41; 141.41; -2.86; -2.86
2020-09-30; 1504.0; 363.0; 1141.0; 242.0; 657.0; -43.0; 1254.0; -113.0; -111.0; -224.0; -24.0; -200.0; 0.0; -200.0; 0.0; -221.0; 209.0; -113.0; 141.31; 141.31; -1.56; -1.56
2020-06-30; 566.0; 381.0; 185.0; 271.0; 440.0; -18.0; 1034.0; -849.0; -104.0; -953.0; -213.0; -740.0; 0.0; -740.0; 0.0; -753.0; -533.0; -849.0; 141.07; 141.07; -5.34; -5.34
2020-03-31; 2209.0; 629.0; 1580.0; 315.0; 1390.0; -100.0; 2874.0; -1294.0; -185.0; -1479.0; -82.0; -1397.0; 0.0; -1397.0; 0.0; -1301.0; -124.0; -1294.0; 140.82; 140.82; -9.24; -9.24
2019-12-31; 2747.0; 528.0; 2219.0; 358.0; 1458.0; -9.0; 2059.0; 160.0; -40.0; 120.0; 42.0; 78.0; 0.0; 78.0; 0.0; 76.0; 452.0; 160.0; 147.19; 149.88; 0.53; 0.54
2019-09-30; 3558.0; 548.0; 3010.0; 304.0; 1856.0; -11.0; 2401.0; 609.0; -48.0; 561.0; 154.0; 407.0; 0.0; 407.0; 0.0; 409.0; 897.0; 609.0; 147.23; 150.63; 2.77; 2.71
2019-06-30; 3153.0; 500.0; 2653.0; 304.0; 1848.0; -4.0; 2388.0; 265.0; -30.0; 235.0; 48.0; 187.0; 0.0; 187.0; 0.0; 183.0; 552.0; 265.0; 149.05; 151.56; 1.23; 1.21
2019-03-31; 2609.0; 490.0; 2119.0; 297.0; 1705.0; -10.0; 2250.0; -131.0; -10.0; -141.0; -41.0; -100.0; 0.0; -100.0; 0.0; -103.0; 153.0; -131.0; 147.88; 147.88; -0.69; -0.69
2018-12-31; 2559.0; 375.0; 2184.0; -78.0; 1340.0; -15.0; 2088.0; 96.0; -40.0; 56.0; 31.0; 25.0; 0.0; 25.0; 0.0; 17.0; 449.0; 96.0; 149.96; 152.89; 0.1; 0.12
2018-09-30; 3276.0; 504.0; 2772.0; 404.0; 1703.0; 78.0; 2100.0; 672.0; -60.0; 612.0; 81.0; 531.0; 0.0; 531.0; 0.0; 525.0; 968.0; 672.0; 149.48; 153.15; 3.51; 3.43
2018-06-30; 2880.0; 498.0; 2382.0; 400.0; 1737.0; -1.0; 2271.0; 111.0; -125.0; -14.0; -5.0; -9.0; 0.0; -9.0; 0.0; 1.0; 463.0; 111.0; 150.08; 152.62; 0.01; 0.01
2018-03-31; 2508.0; 487.0; 2021.0; 396.0; 1715.0; -3.0; 2186.0; -165.0; -4.0; -169.0; -20.0; -149.0; 0.0; -149.0; 0.0; -137.0; 124.0; -165.0; 151.82; 151.82; -0.91; -0.91
2017-12-31; 2319.0; 437.0; 1882.0; 372.0; 1322.0; -2.0; 1768.0; 114.0; -38.0; 76.0; 23.0; 53.0; 0.0; 53.0; 0.0; 55.0; 395.0; 114.0; 151.62; 156.38; 0.37; 0.4
2017-09-30; 2966.0; 459.0; 2507.0; 350.0; 1602.0; 1.0; 2026.0; 481.0; -66.0; 415.0; 66.0; 349.0; 0.0; 349.0; 0.0; 352.0; 715.0; 481.0; 152.09; 157.76; 2.32; 2.23
2017-06-30; 2586.0; 439.0; 2147.0; 343.0; 1622.0; -3.0; 2044.0; 103.0; -46.0; 57.0; 3.0; 54.0; 0.0; 54.0; 0.0; 57.0; 371.0; 103.0; 151.58; 157.03; 0.37; 0.36
2017-03-31; 2189.0; 422.0; 1767.0; 322.0; 1428.0; -21.0; 1840.0; -73.0; -58.0; -131.0; -47.0; -84.0; 0.0; -84.0; 0.0; -86.0; 182.0; -73.0; 150.53; 150.53; -0.57; -0.57
2016-12-31; 2093.26; 371.14; 1722.12; 324.08; 1141.74; -31.21; 1574.64; 147.48; -31.96; 115.53; 30.93; 84.6; 0.0; 84.6; 0.0; 79.61; 426.93; 147.48; 150.37; 154.52; 0.52; 0.52
2016-09-30; 2580.91; 416.91; 2164.0; 301.45; 1370.35; -24.47; 1777.85; 386.15; -46.6; 339.56; 60.63; 278.93; 0.0; 278.93; 0.0; 279.33; 632.91; 386.15; 150.24; 154.24; 1.86; 1.81
2016-06-30; 2195.87; 406.38; 1789.49; 317.92; 1347.55; -4.34; 1763.83; 25.66; -37.86; -12.2; -18.2; 6.01; 0.0; 6.01; 0.0; 31.65; 326.3; 25.66; 149.55; 153.53; 0.21; 0.21
2016-03-31; 1903.96; 402.57; 1501.39; 291.55; 1185.36; -1.97; 1598.69; -97.3; -68.59; -165.89; -57.35; -108.53; 0.0; -108.53; 0.0; -108.59; 146.86; -97.3; 151.05; 151.05; -0.72; -0.72
2015-12-31; 1698.57; 338.49; 1360.07; 250.57; 974.89; -9.13; 1330.6; 29.48; -35.41; -5.93; 6.95; -12.89; 0.0; -12.89; 0.0; -12.54; 242.45; 29.48; 130.16; 134.02; -0.15; -0.14
2015-09-30; 1937.75; 328.07; 1609.69; 202.7; 1073.46; 114.55; 1264.69; 345.0; -2.81; 342.19; 65.95; 276.24; 0.0; 276.24; 0.0; 283.22; 527.21; 345.0; 129.99; 133.42; 2.18; 2.12
2015-06-30; 1662.6; 321.08; 1341.52; 186.52; 1026.87; -5.51; 1251.43; 90.09; 467.96; 558.06; 131.22; 426.84; 0.0; 426.84; 0.0; 449.64; 237.74; 90.09; 128.89; 132.96; 3.49; 3.38
2015-03-31; 1373.4; 321.92; 1051.48; 190.46; 879.78; -2.53; 1102.48; -51.0; 82.65; 31.65; -0.91; 32.56; 0.0; 32.56; 0.0; 44.14; 77.37; -51.0; 127.56; 131.4; 0.35; 0.34
2014-12-31; 1355.98; 284.25; 1071.72; 181.35; 743.0; -2.7; 977.02; 94.71; -6.71; 88.0; 31.72; 56.28; 0.0; 56.28; 0.0; 65.97; 203.73; 94.71; 128.91; 133.17; 0.5; 0.49
2014-09-30; 1712.5; 299.71; 1412.8; 172.75; 920.8; -3.89; 1115.96; 296.84; -7.31; 289.52; 38.9; 250.62; 0.0; 250.62; 0.0; 257.06; 405.13; 296.84; 127.91; 132.27; 2.01; 1.94
2014-06-30; 1494.63; 300.5; 1194.13; 169.07; 846.16; -31.42; 1064.91; 129.22; -22.61; 106.61; 20.75; 85.85; 0.0; 85.85; 0.0; 89.37; 234.06; 129.22; 129.54; 133.67; 0.69; 0.67
2014-03-31; 1200.37; 294.62; 905.75; 162.97; 723.74; -3.54; 908.75; -3.0; -16.49; -19.48; 0.32; -19.8; 0.0; -19.8; 0.0; -14.3; 102.45; -3.0; 130.56; 130.56; -0.11; -0.11
2013-12-31; 1152.02; 248.53; 903.49; 155.04; 584.69; -3.24; 764.78; 138.71; -18.25; 120.46; 26.47; 93.99; 0.0; 93.99; 0.0; 94.72; 240.27; 138.71; 134.91; 139.59; 0.73; 0.71
2013-09-30; 1401.86; 276.32; 1125.54; 143.82; 717.65; -6.87; 886.85; 238.69; -26.61; 212.08; 45.36; 166.72; 0.0; 166.72; 0.0; 170.86; 328.21; 238.69; 136.38; 140.45; 1.25; 1.22
2013-06-30; 1205.02; 262.61; 942.41; 140.68; 682.36; -6.25; 848.12; 94.29; -6.86; 87.42; 24.41; 63.02; 0.0; 63.02; 0.0; 71.5; 180.35; 94.29; 136.35; 141.11; 0.52; 0.51
2013-03-31; 1012.37; 250.58; 761.79; 138.28; 588.53; -61.56; 867.41; -105.63; -13.64; -119.27; -11.9; -107.37; 0.0; -107.37; 0.0; -104.23; 30.89; -105.63; 135.64; 135.64; -0.77; -0.77
2012-12-31; 974.86; 225.13; 749.73; 134.34; 492.05; -111.64; 748.22; 1.51; -17.48; -15.97; -23.07; 7.09; 0.0; 7.09; -0.19; 6.73; 74.77; 1.51; 134.2; 139.93; 0.06; 0.05
2012-09-30; 1199.02; 243.63; 955.39; 125.62; 590.9; -2.31; 728.3; 227.09; -22.75; 204.34; 36.15; 168.19; 0.0; 168.19; 1.54; 171.48; 295.78; 227.09; 135.97; 141.42; 1.26; 1.21
2012-06-30; 1039.98; 229.74; 810.24; 116.03; 527.79; -3.35; 655.8; 154.44; -19.58; 134.86; 28.75; 106.11; 0.0; 106.11; 0.0; 105.24; 218.36; 154.44; 132.56; 138.19; 0.79; 0.76
2012-03-31; 816.49; 200.1; 616.39; 108.91; 455.65; 0.28; 567.71; 48.68; -21.86; 26.83; 5.24; 21.59; 0.0; 21.59; -23.89; -3.28; 103.37; 48.68; 133.2; 139.31; -0.02; -0.02
2011-12-31; 787.13; 183.4; 603.73; 102.62; 402.9; -1.95; 512.09; 91.65; -22.07; 69.58; 9.11; 60.47; 0.0; 60.47; 10.63; 70.33; 156.15; 91.65; 135.89; 138.7; 0.53; 0.53
2011-09-30; 1020.45; 206.45; 814.0; 98.47; 486.85; -14.02; 604.9; 209.1; -6.66; 202.44; 30.6; 171.84; 0.0; 171.84; 38.57; 209.53; 264.48; 209.1; 136.18; 139.68; 1.54; 1.5
2011-06-30; 913.59; 195.81; 717.78; 93.1; 472.53; -2.53; 574.07; 143.71; -22.44; 121.27; 33.13; 88.13; 0.0; 88.13; 52.76; 140.39; 192.78; 143.71; 136.8; 139.05; 1.03; 1.01
