Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-11-30; 22814.0; 7258.0; 15556.0; 0.0; 7792.0; -4311.0; 14380.0; 1176.0; -117.0; 1059.0; 271.0; 788.0; 0.0; 788.0; 0.0; 788.0; 2222.0; 1176.0; 255.0; 256.0; 3.08; 3.07
2022-08-31; 23242.0; 7589.0; 15653.0; 0.0; 7859.0; -4382.0; 14462.0; 1191.0; -37.0; 1154.0; 279.0; 875.0; 0.0; 875.0; 0.0; 875.0; 2215.0; 1191.0; 259.0; 262.0; 3.37; 3.33
2022-05-31; 24394.0; 7706.0; 16688.0; 0.0; 7903.0; -4606.0; 14764.0; 1924.0; -1240.0; 684.0; 126.0; 558.0; 0.0; 558.0; 0.0; 558.0; 2942.0; 1924.0; 263.0; 266.0; 2.17; 2.16
2022-02-28; 23641.0; 7473.0; 16168.0; 0.0; 8244.0; -4280.0; 14842.0; 1326.0; 49.0; 1375.0; 263.0; 1112.0; 0.0; 1112.0; 0.0; 1112.0; 2312.0; 1326.0; 261.0; 265.0; 4.26; 4.2
2021-11-30; 23474.0; 7386.0; 16088.0; 0.0; 8135.0; -4140.0; 14491.0; 1597.0; -217.0; 1380.0; 336.0; 1044.0; 0.0; 1044.0; 0.0; 1044.0; 2592.0; 1597.0; 265.0; 268.0; 3.94; 3.88
2021-08-31; 22003.0; 6668.0; 15335.0; 0.0; 7776.0; -3990.0; 13937.0; 1398.0; 59.0; 1457.0; 345.0; 1112.0; 0.0; 1112.0; 0.0; 1112.0; 2369.0; 1398.0; 266.0; 271.0; 4.17; 4.09
2021-05-31; 22565.0; 6566.0; 15999.0; 0.0; 7868.0; -4171.0; 14202.0; 1797.0; 816.0; 2613.0; 745.0; 1868.0; 0.0; 1868.0; 0.0; 1868.0; 2772.0; 1797.0; 264.0; 268.0; 7.04; 6.88
2021-02-28; 21510.0; 6416.0; 15094.0; 0.0; 8010.0; -3982.0; 14089.0; 1005.0; 44.0; 1049.0; 157.0; 892.0; 0.0; 892.0; 0.0; 892.0; 1961.0; 1005.0; 265.0; 270.0; 3.36; 3.3
2020-11-30; 20563.0; 6032.0; 14531.0; 0.0; 7443.0; -3681.0; 13066.0; 1465.0; -59.0; 1406.0; 180.0; 1226.0; 0.0; 1226.0; 0.0; 1226.0; 2401.0; 1465.0; 264.0; 269.0; 4.64; 4.55
2020-08-31; 19321.0; 5542.0; 13779.0; 0.0; 6852.0; -3475.0; 12189.0; 1590.0; 16.0; 1606.0; 361.0; 1245.0; 0.0; 1245.0; 0.0; 1245.0; 2516.0; 1590.0; 262.0; 263.0; 4.75; 4.72
2020-05-31; 17358.0; 5069.0; 12289.0; 0.0; 6327.0; -3221.0; 11814.0; 475.0; -794.0; -319.0; 15.0; -334.0; 0.0; -334.0; 0.0; -334.0; 1837.0; 475.0; 261.0; 262.0; -1.3; -1.27
2020-02-29; 17487.0; 5437.0; 12050.0; 0.0; 6382.0; -3385.0; 11639.0; 411.0; 9.0; 420.0; 105.0; 315.0; 0.0; 315.0; 0.0; 315.0; 1319.0; 411.0; 261.0; 262.0; 1.21; 1.2
2019-11-30; 17324.0; 5218.0; 12106.0; 0.0; 6235.0; -3492.0; 11552.0; 554.0; 18.0; 572.0; 12.0; 560.0; 0.0; 560.0; 0.0; 560.0; 1455.0; 554.0; 261.0; 262.0; 2.15; 2.13
2019-08-31; 17048.0; 4898.0; 12150.0; 0.0; 6087.0; -3287.0; 11173.0; 977.0; 19.0; 996.0; 251.0; 745.0; 0.0; 745.0; 0.0; 745.0; 1856.0; 977.0; 260.0; 262.0; 2.86; 2.84
2019-05-31; 17807.0; 5032.0; 12775.0; 0.0; 6187.0; -3263.0; 11459.0; 1316.0; -3870.0; -2554.0; -585.0; -1969.0; 0.0; -1969.0; 0.0; -1969.0; 2182.0; 1316.0; 262.0; 265.0; -7.48; -7.38
2019-02-28; 17010.0; 5160.0; 11850.0; 0.0; 6069.0; -3141.0; 10939.0; 911.0; 20.0; 931.0; 192.0; 739.0; 0.0; 739.0; 0.0; 739.0; 1762.0; 911.0; 261.0; 263.0; 2.83; 2.8
2018-11-30; 17824.0; 5398.0; 12426.0; 0.0; 6260.0; -3334.0; 11258.0; 1168.0; 9.0; 1177.0; 242.0; 935.0; 0.0; 935.0; 0.0; 935.0; 1996.0; 1168.0; 262.0; 266.0; 3.56; 3.51
2018-08-31; 17052.0; 4953.0; 12099.0; 0.0; 6260.0; -3137.0; 11028.0; 1071.0; 30.0; 1101.0; 266.0; 835.0; 0.0; 835.0; 0.0; 835.0; 1879.0; 1071.0; 265.0; 269.0; 3.15; 3.1
2018-05-31; 17314.0; 4820.0; 12494.0; 0.0; 6118.0; -3411.0; 11166.0; 1328.0; 30.0; 1358.0; 231.0; 1127.0; 0.0; 1127.0; 0.0; 1127.0; 2510.0; 1328.0; 267.0; 272.0; 4.23; 4.17
2018-02-28; 16526.0; 4849.0; 11677.0; 0.0; 6124.0; -3036.0; 10819.0; 858.0; 16.0; 874.0; -1200.0; 2074.0; 0.0; 2074.0; 0.0; 2074.0; 1644.0; 858.0; 268.0; 273.0; 7.74; 7.59
2017-11-30; 16313.0; 4658.0; 11655.0; 0.0; 5889.0; -3060.0; 10540.0; 1115.0; 24.0; 1139.0; 364.0; 775.0; 0.0; 775.0; 0.0; 775.0; 1871.0; 1115.0; 268.0; 272.0; 2.89; 2.84
2017-08-31; 15297.0; 4148.0; 11149.0; 0.0; 5664.0; -2945.0; 10178.0; 971.0; 11.0; 982.0; 386.0; 596.0; 0.0; 596.0; 0.0; 596.0; 1722.0; 971.0; 268.0; 272.0; 2.22; 2.19
2017-05-31; 15728.0; 4191.0; 11537.0; 0.0; 5930.0; -2929.0; 10427.0; 1110.0; 350.0; 1460.0; 440.0; 1020.0; 0.0; 1020.0; 0.0; 1020.0; 1864.0; 1110.0; 266.0; 270.0; 3.81; 3.76
2017-02-28; 14997.0; 4233.0; 10764.0; 0.0; 5395.0; -2748.0; 9739.0; 1025.0; -126.0; 899.0; 337.0; 562.0; 0.0; 562.0; 0.0; 562.0; 1787.0; 1025.0; 266.0; 271.0; 2.11; 2.07
2016-11-30; 14931.0; 4089.0; 10842.0; 0.0; 5353.0; -2780.0; 9675.0; 1167.0; -89.0; 1078.0; 378.0; 700.0; 0.0; 700.0; 0.0; 700.0; 1907.0; 1167.0; 266.0; 270.0; 2.63; 2.59
2016-08-31; 14663.0; 3890.0; 10773.0; 0.0; 5311.0; -2669.0; 9509.0; 1264.0; -122.0; 1142.0; 427.0; 715.0; 0.0; 715.0; 0.0; 715.0; 2003.0; 1264.0; 265.0; 269.0; 2.69; 2.65
2016-05-31; 12979.0; 2996.0; 9983.0; 0.0; 4774.0; -2379.0; 10051.0; -68.0; -113.0; -181.0; -111.0; -70.0; 0.0; -70.0; 0.0; -70.0; 599.0; -68.0; 276.0; 279.0; -0.19; -0.19
2016-02-29; 12654.0; 3160.0; 9494.0; 0.0; 4712.0; -2511.0; 8630.0; 864.0; -82.0; 782.0; 275.0; 507.0; 0.0; 507.0; 0.0; 507.0; 1527.0; 864.0; 272.0; 275.0; 1.86; 1.84
2015-11-30; 12453.0; 3153.0; 9300.0; 0.0; 4570.0; -2258.0; 8163.0; 1137.0; -82.0; 1055.0; 364.0; 691.0; 0.0; 691.0; 0.0; 691.0; 1790.0; 1137.0; 279.0; 283.0; 2.47; 2.44
2015-08-31; 12279.0; 3056.0; 9223.0; 0.0; 4525.0; -2211.0; 8079.0; 1144.0; -60.0; 1084.0; 392.0; 692.0; 0.0; 692.0; 0.0; 692.0; 1792.0; 1144.0; 282.0; 286.0; 2.45; 2.42
