Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3475.0; 1318.0; 2157.0; 0.0; 295.0; -1111.0; 1652.0; 505.0; -56.0; 449.0; 105.0; 344.0; 0.0; 344.0; 0.0; 334.0; 854.0; 505.0; 571.0; 572.0; 0.58; 0.58
2022-06-30; 2818.0; 992.0; 1826.0; 0.0; 264.0; -896.0; 1379.0; 447.0; -206.0; 241.0; 49.0; 192.0; 0.0; 192.0; 0.0; 187.0; 782.0; 447.0; 571.0; 572.0; 0.33; 0.33
2022-03-31; 2989.0; 1015.0; 1974.0; 0.0; 292.0; -820.0; 1415.0; 559.0; -188.0; 371.0; 83.0; 288.0; 0.0; 288.0; 0.0; 288.0; 918.0; 559.0; 570.0; 571.0; 0.51; 0.5
2021-12-31; 2660.0; 877.0; 1783.0; 0.0; 261.0; -870.0; 1559.0; 224.0; 255.0; 479.0; 49.0; 430.0; 0.0; 430.0; -3.0; 427.0; 606.0; 224.0; 545.0; 546.0; 0.77; 0.77
2021-09-30; 3124.0; 1006.0; 2118.0; 0.0; 275.0; -856.0; 1487.0; 631.0; -127.0; 504.0; 88.0; 416.0; 0.0; 416.0; 47.0; 463.0; 1019.0; 631.0; 544.0; 545.0; 0.85; 0.85
2021-06-30; 2622.0; 726.0; 1896.0; 0.0; 264.0; -948.0; 1584.0; 312.0; -158.0; 154.0; 96.0; 58.0; 0.0; 58.0; 0.0; 58.0; 689.0; 312.0; 544.0; 545.0; 0.11; 0.11
2021-03-31; 2726.0; 836.0; 1890.0; 0.0; 273.0; -643.0; 1331.0; 559.0; -137.0; 422.0; 87.0; 335.0; 0.0; 335.0; 0.0; 335.0; 1013.0; 559.0; 543.0; 544.0; 0.62; 0.62
2020-12-31; 2537.0; 721.0; 1816.0; 0.0; 254.0; -875.0; 1422.0; 394.0; -178.0; 216.0; 4.0; 212.0; 0.0; 212.0; 30.0; 242.0; 789.0; 394.0; 542.0; 543.0; 0.44; 0.44
2020-09-30; 3022.0; 867.0; 2155.0; 0.0; 272.0; -937.0; 1434.0; 721.0; -145.0; 576.0; 116.0; 460.0; 0.0; 460.0; -6.0; 454.0; 923.0; 721.0; 542.0; 543.0; 0.84; 0.84
2020-06-30; 2522.0; 690.0; 1832.0; 0.0; 253.0; -730.0; 1317.0; 515.0; -142.0; 373.0; 66.0; 307.0; 0.0; 307.0; 2.0; 309.0; 822.0; 515.0; 542.0; 543.0; 0.57; 0.57
2020-03-31; 2709.0; 792.0; 1917.0; 0.0; 267.0; -749.0; 1385.0; 532.0; -568.0; -36.0; -60.0; 24.0; 0.0; 24.0; 50.0; 74.0; 827.0; 532.0; 541.0; 543.0; 0.14; 0.14
2019-12-31; 2673.0; 852.0; 1821.0; 0.0; 251.0; -809.0; 1206.0; 615.0; -864.0; -249.0; -68.0; -181.0; 0.0; -181.0; 70.0; -106.0; 763.0; 615.0; 535.0; 542.0; -0.2; -0.21
2019-09-30; 2963.0; 920.0; 2043.0; 0.0; 257.0; -758.0; 1362.0; 681.0; -185.0; 496.0; 107.0; 389.0; 0.0; 389.0; 2.0; 391.0; 1048.0; 681.0; 538.0; 542.0; 0.73; 0.72
2019-06-30; 2516.0; 740.0; 1776.0; 0.0; 239.0; -606.0; 1191.0; 585.0; -163.0; 422.0; 81.0; 341.0; 0.0; 341.0; -29.0; 308.0; 942.0; 585.0; 532.0; 533.0; 0.58; 0.58
2019-03-31; 2883.0; 912.0; 1971.0; 0.0; 261.0; -779.0; 1342.0; 629.0; -181.0; 448.0; 93.0; 355.0; 0.0; 355.0; -35.0; 315.0; 974.0; 629.0; 530.0; 533.0; 0.59; 0.59
2018-12-31; 2710.0; 850.0; 1860.0; 0.0; 247.0; -770.0; 1348.0; 512.0; -343.0; 169.0; 35.0; 134.0; 0.0; 134.0; 4.0; 146.0; 893.0; 512.0; 492.0; 494.0; 0.18; 0.19
2018-09-30; 3064.0; 1013.0; 2051.0; 0.0; 252.0; -739.0; 1341.0; 710.0; -190.0; 520.0; 121.0; 399.0; 0.0; 399.0; -857.0; -512.0; 1109.0; 710.0; 503.0; 505.0; -1.02; -1.02
2018-06-30; 2625.0; 825.0; 1800.0; 0.0; 240.0; -684.0; 1100.0; 700.0; -291.0; 409.0; 101.0; 308.0; 0.0; 308.0; -9.0; 134.0; 1024.0; 700.0; 477.0; 479.0; 0.28; 0.28
2018-03-31; 2862.0; 959.0; 1903.0; 0.0; 254.0; -940.0; 1323.0; 580.0; -166.0; 414.0; 233.0; 181.0; 0.0; 181.0; 1188.0; 1213.0; 860.0; 580.0; 476.0; 478.0; 2.55; 2.54
2017-12-31; 2539.0; 715.0; 1824.0; 0.0; 230.0; -805.0; 1331.0; 493.0; -330.0; 163.0; 1229.0; -1066.0; 0.0; -1066.0; -1433.0; -2499.0; 886.0; 493.0; 444.0; 444.0; -5.62; -5.62
2017-09-30; 2910.0; 900.0; 2010.0; 0.0; 238.0; -665.0; 1277.0; 733.0; -230.0; 503.0; 202.0; 301.0; 0.0; 301.0; 95.0; 396.0; 1211.0; 733.0; 444.0; 446.0; 0.89; 0.89
2017-06-30; 2624.0; 813.0; 1811.0; 0.0; 230.0; -675.0; 1237.0; 574.0; -223.0; 351.0; 132.0; 219.0; 0.0; 219.0; -45.0; 174.0; 987.0; 574.0; 444.0; 445.0; 0.39; 0.39
2017-03-31; 2855.0; 995.0; 1860.0; 0.0; 242.0; -657.0; 1232.0; 628.0; -219.0; 409.0; 152.0; 257.0; 0.0; 257.0; -52.0; 205.0; 1044.0; 628.0; 443.0; 444.0; 0.46; 0.46
2016-12-31; -487.0; -380.0; -107.0; 0.0; 127.0; 1660.0; -1499.0; 1392.0; -267.0; 1125.0; 193.0; 932.0; 0.0; 932.0; 0.0; -5796.0; 1889.0; 1392.0; 426.0; 426.0; -13.6; -13.59
2016-09-30; 3917.0; 1429.0; 2488.0; 0.0; 265.0; -953.0; 1627.0; 861.0; -230.0; 631.0; 251.0; 380.0; 0.0; 380.0; 0.0; 380.0; 1388.0; 861.0; 425.0; 427.0; 0.89; 0.89
2016-06-30; 3401.0; 1327.0; 2074.0; 0.0; 241.0; -2411.0; 3049.0; -975.0; -244.0; -1219.0; -130.0; -1089.0; 0.0; -1089.0; 0.0; -1089.0; -486.0; -975.0; 425.0; 425.0; -2.56; -2.56
2016-03-31; 3869.0; 1505.0; 2364.0; 0.0; 280.0; -918.0; 1588.0; 776.0; -235.0; 541.0; 213.0; 328.0; 0.0; 328.0; 0.0; 328.0; 1237.0; 776.0; 424.0; 426.0; 0.78; 0.77
2015-12-31; 3541.0; 1589.0; 1952.0; 0.0; 231.0; -1201.0; 1716.0; 236.0; -632.0; -396.0; -170.0; -226.0; 0.0; -226.0; 0.0; -226.0; 727.0; 236.0; 422.0; 424.0; -0.54; -0.53
2015-09-30; 4123.0; 1691.0; 2432.0; 0.0; 236.0; -850.0; 1524.0; 908.0; -287.0; 621.0; 226.0; 395.0; 0.0; 395.0; 0.0; 395.0; 1422.0; 908.0; 423.0; 424.0; 0.94; 0.93
2015-06-30; 3465.0; 1372.0; 2093.0; 0.0; 242.0; -916.0; 1539.0; 554.0; -252.0; 302.0; 115.0; 187.0; 0.0; 187.0; 0.0; 187.0; 998.0; 554.0; 422.0; 423.0; 0.44; 0.44
2015-03-31; 3897.0; 1626.0; 2271.0; 0.0; 269.0; -1057.0; 1677.0; 594.0; -228.0; 366.0; 144.0; 222.0; 0.0; 222.0; 0.0; 222.0; 1019.0; 594.0; 421.0; 423.0; 0.53; 0.53
2014-12-31; 3483.0; 1559.0; 1924.0; 0.0; 224.0; -1736.0; 2261.0; -337.0; -237.0; -574.0; -268.0; -306.0; 0.0; -306.0; 0.0; -306.0; 122.0; -337.0; 420.0; 421.0; -0.74; -0.72
2014-09-30; 3888.0; 1732.0; 2156.0; 0.0; 239.0; -858.0; 1440.0; 716.0; -231.0; 485.0; 152.0; 333.0; 0.0; 333.0; 0.0; 333.0; 1120.0; 716.0; 420.0; 421.0; 0.79; 0.79
2014-06-30; 3496.0; 1633.0; 1863.0; 0.0; 228.0; -1021.0; 1571.0; 292.0; -202.0; 90.0; 26.0; 64.0; 0.0; 64.0; 0.0; 64.0; 746.0; 292.0; 420.0; 421.0; 0.16; 0.15
2014-03-31; 4182.0; 2072.0; 2110.0; 0.0; 271.0; -1182.0; 1719.0; 391.0; -221.0; 170.0; 48.0; 122.0; 0.0; 122.0; 86.0; 208.0; 714.0; 391.0; 419.0; 420.0; 0.5; 0.49
2013-12-31; 3630.0; 1612.0; 2018.0; 0.0; 231.0; -1014.0; 1634.0; 384.0; -176.0; 208.0; 66.0; 142.0; 0.0; 142.0; 0.0; 142.0; 946.0; 384.0; 418.0; 419.0; 0.34; 0.34
2013-09-30; 4032.0; 1777.0; 2255.0; 0.0; 242.0; -877.0; 1747.0; 508.0; -222.0; 286.0; 77.0; 209.0; 0.0; 209.0; 9.0; 218.0; 1194.0; 508.0; 418.0; 419.0; 0.52; 0.52
