Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-11-30; 5220.7; 3515.6; 1705.1; 0.0; 894.2; 0.0; 905.3; 799.8; -69.8; 730.0; 147.1; 582.9; 0.0; 608.3; 0.0; 605.9; 939.4; 799.8; 595.9; 602.0; 1.01; 1.01
2022-08-31; 4717.6; 3269.9; 1447.7; 0.0; 791.4; 430.9; 362.1; 1085.6; -66.0; 1019.6; 216.1; 803.5; 0.0; 823.3; 0.0; 820.0; 1219.9; 1085.6; 600.2; 606.0; 1.37; 1.35
2022-05-31; 4891.2; 3121.3; 1769.9; 0.0; 809.4; 24.0; 753.8; 1016.1; -75.5; 940.6; 134.5; 806.1; 0.0; 825.8; 0.0; 822.8; 1155.8; 1016.1; 607.5; 612.6; 1.36; 1.35
2022-02-28; 4537.7; 3134.0; 1403.7; 0.0; 751.4; 170.1; 588.4; 815.3; -59.4; 755.9; 123.2; 632.7; 0.0; 662.6; 0.0; 660.3; 959.0; 815.3; 606.8; 612.4; 1.09; 1.08
2021-11-30; 5024.0; 3392.8; 1631.2; 0.0; 828.8; 0.0; 831.1; 800.1; -65.0; 735.1; 159.7; 575.4; 0.0; 608.4; 0.0; 597.2; 941.2; 800.1; 608.6; 613.0; 0.98; 0.97
2021-08-31; 4539.9; 2942.5; 1597.4; 0.0; 757.4; 0.0; 753.1; 844.3; -66.3; 778.0; 168.9; 609.1; 0.0; 638.2; 0.0; 627.0; 990.1; 844.3; 610.4; 614.8; 1.03; 1.02
2021-05-31; 4523.6; 2940.7; 1582.9; 0.0; 823.0; 0.0; 1035.0; 547.9; -69.3; 478.6; 106.9; 371.7; 0.0; 399.9; 0.0; 416.8; 694.7; 547.9; 614.1; 619.1; 0.68; 0.68
2021-02-28; 4520.0; 2966.1; 1553.9; 0.0; 716.3; 0.0; 727.3; 826.6; -72.6; 754.0; 162.0; 592.0; 0.0; 603.8; 0.0; 595.7; 986.0; 826.6; 615.0; 619.4; 0.97; 0.96
2020-11-30; 4719.4; 2998.3; 1721.1; 0.0; 804.1; 0.0; 804.5; 916.6; -67.7; 848.9; 189.4; 659.5; 0.0; 695.9; 0.0; 688.4; 1065.6; 916.6; 614.8; 619.6; 1.12; 1.11
2020-08-31; 4364.0; 2773.6; 1590.4; 0.0; 736.2; 0.0; 736.7; 853.7; -77.8; 775.9; 170.8; 605.1; 0.0; 646.4; 0.0; 638.9; 999.8; 853.7; 614.1; 619.8; 1.04; 1.03
2020-05-31; 5023.0; 3254.9; 1768.1; 0.0; 927.1; 0.0; 938.6; 829.5; -96.5; 733.0; 139.6; 593.4; 0.0; 627.0; 0.0; 625.7; 967.8; 829.5; 608.1; 613.3; 1.02; 1.02
2020-02-29; 4180.3; 2777.1; 1403.2; 0.0; 746.6; 0.0; 752.4; 650.8; -79.5; 571.3; 118.2; 453.1; 0.0; 463.9; 0.0; 454.1; 799.5; 650.8; 607.9; 612.8; 0.75; 0.74
2019-11-30; 4420.8; 2851.7; 1569.1; 0.0; 759.0; 0.0; 757.9; 811.2; -89.2; 722.0; 155.5; 566.5; 0.0; 591.4; 0.0; 580.8; 964.8; 811.2; 607.4; 612.3; 0.96; 0.95
2019-08-31; 4002.5; 2613.0; 1389.5; 0.0; 718.9; 0.0; 727.1; 662.4; -88.5; 573.9; 67.2; 506.7; 0.0; 528.5; 0.0; 520.6; 816.5; 662.4; 606.0; 611.5; 0.86; 0.85
2019-05-31; 4161.7; 2700.4; 1461.3; 0.0; 743.2; 5.4; 745.2; 716.1; -100.2; 615.9; 54.7; 561.2; 0.0; 581.2; 0.0; 570.2; 871.6; 716.1; 600.4; 605.4; 0.95; 0.94
