Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3488.0; 2426.0; 1062.0; 278.0; 461.0; 0.0; 770.0; 292.0; -32.0; 260.0; 34.0; 226.0; 0.0; 226.0; 0.0; 208.0; 650.0; 292.0; 843.0; 855.0; 0.25; 0.24
2022-06-30; 3615.0; 2369.0; 1246.0; 240.0; 486.0; 0.0; 756.0; 490.0; 260.0; 750.0; 166.0; 584.0; 0.0; 584.0; 0.0; 563.0; 865.0; 490.0; 843.0; 856.0; 0.67; 0.66
2022-03-31; 3680.0; 2397.0; 1283.0; 248.0; 434.0; 0.0; 713.0; 570.0; 191.0; 761.0; 180.0; 581.0; 0.0; 581.0; 0.0; 581.0; 943.0; 570.0; 843.0; 859.0; 0.69; 0.68
2021-12-31; 3676.0; 2405.0; 1271.0; 280.0; 476.0; 0.0; 788.0; 483.0; 75.0; 558.0; 89.0; 469.0; 0.0; 469.0; 0.0; 463.0; 862.0; 483.0; 828.0; 844.0; 0.53; 0.6
2021-09-30; 3615.0; 2294.0; 1321.0; 251.0; 486.0; 0.0; 769.0; 552.0; -59.0; 493.0; 109.0; 384.0; 0.0; 384.0; 0.0; 371.0; 923.0; 552.0; 852.0; 866.0; 0.44; 0.43
2021-06-30; 3501.0; 2186.0; 1315.0; 242.0; 465.0; 0.0; 740.0; 575.0; -54.0; 521.0; 67.0; 454.0; 0.0; 454.0; 0.0; -354.0; 944.0; 575.0; 844.0; 844.0; -0.42; -0.42
2021-03-31; 3290.0; 2134.0; 1156.0; 222.0; 400.0; 0.0; 654.0; 502.0; 323.0; 825.0; 226.0; 599.0; 0.0; 599.0; 0.0; 599.0; 864.0; 502.0; 766.0; 898.0; 0.75; 0.67
2020-12-31; 3350.0; 2137.0; 1213.0; 232.0; 471.0; 0.0; 737.0; 476.0; -146.0; 330.0; 78.0; 252.0; 0.0; 252.0; 0.0; 203.0; 868.0; 476.0; 761.0; 772.0; 0.3; 0.35
2020-09-30; 3001.0; 2000.0; 1001.0; 231.0; 480.0; 0.0; 744.0; 257.0; 193.0; 450.0; 23.0; 427.0; 0.0; 427.0; 0.0; 427.0; 651.0; 257.0; 760.0; 889.0; 0.53; 0.48
2020-06-30; 2561.0; 1805.0; 756.0; 430.0; 401.0; 0.0; 859.0; -103.0; 54.0; -49.0; 22.0; -71.0; 0.0; -71.0; 0.0; -96.0; 249.0; -103.0; 759.0; 759.0; -0.13; -0.13
