Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 5675.27; 3695.61; 1979.67; 0.0; 1458.42; -6.15; 1551.13; 428.54; -10.6; 417.94; 105.58; 312.36; 0.0; 312.36; 0.0; 312.36; 515.1; 428.54; 141.34; 142.11; 2.21; 2.2
2022-06-30; 5602.41; 3641.61; 1960.8; 0.0; 1364.02; -2.9; 1452.8; 508.0; -16.43; 491.57; 119.04; 372.53; 0.0; 372.53; 0.0; 372.53; 593.89; 508.0; 141.58; 142.3; 2.63; 2.62
2022-03-31; 5294.64; 3468.69; 1825.95; 0.0; 1403.98; -4.49; 1495.84; 330.1; -4.39; 325.72; 79.88; 245.84; 0.0; 245.84; 0.0; 245.84; 417.47; 330.1; 141.92; 142.84; 1.73; 1.72
2021-12-31; 4803.21; 3109.76; 1693.45; 0.0; 1279.27; -3.51; 1355.37; 338.08; 7.83; 345.91; 89.91; 256.0; 0.0; 256.0; 0.0; 256.0; 410.68; 338.08; 143.44; 144.22; 1.8; 1.78
2021-09-30; 4818.85; 3108.08; 1710.77; 0.0; 1338.77; -4.28; 1415.17; 295.59; 3.38; 298.97; 70.39; 228.59; 0.0; 228.59; 0.0; 228.59; 367.71; 295.59; 142.87; 143.59; 1.6; 1.59
2021-06-30; 4783.74; 3094.63; 1689.11; 0.0; 1349.31; -5.04; 1428.31; 260.8; 8.81; 269.61; 73.11; 196.5; 0.0; 196.5; 0.0; 196.5; 334.76; 260.8; 144.21; 144.98; 1.36; 1.36
2021-03-31; 4464.71; 2923.9; 1540.82; 0.0; 1195.16; -4.91; 1272.37; 268.45; 17.41; 285.86; 68.15; 217.71; 0.0; 217.71; 0.0; 217.71; 340.74; 268.45; 144.41; 145.3; 1.51; 1.5
2020-12-31; 4251.6; 2803.48; 1448.11; 0.0; 1132.3; -0.12; 1213.19; 234.92; -9.37; 225.55; 53.91; 171.63; 0.0; 171.63; -0.43; 171.2; 304.68; 234.92; 144.47; 145.12; 1.19; 1.2
2020-09-30; 4370.09; 2842.02; 1528.07; 0.0; 1140.16; -5.63; 1225.85; 302.21; -4.55; 297.67; 64.75; 232.92; 0.0; 232.92; -5.39; 227.53; 371.31; 302.21; 144.27; 145.03; 1.58; 1.57
2020-06-30; 3823.23; 2532.74; 1290.49; 0.0; 971.59; -11.3; 1581.4; -290.91; -13.52; -304.44; 59.06; -363.5; 0.0; -363.5; -200.87; -564.37; 282.54; -290.91; 144.26; 144.26; -3.91; -3.91
2020-03-31; 4092.53; 2704.35; 1388.18; 0.0; 1142.7; -6.52; 1219.45; 168.73; -8.13; 160.59; 38.25; 122.35; 0.0; 122.35; 14.19; 136.53; 235.98; 168.73; 145.05; 145.62; 0.94; 0.94
2019-12-31; 3802.19; 2438.61; 1363.58; 0.0; 1070.71; -3.2; 1240.87; 122.71; -41.02; 81.69; 17.24; 64.45; 0.0; 64.45; -55.53; 8.92; 193.0; 122.71; 145.74; 146.42; 0.06; 0.06
2019-09-30; 4525.28; 3020.05; 1505.23; 0.0; 1175.7; -1.19; 1242.56; 262.68; 21.2; 283.88; 71.62; 212.26; 0.0; 212.26; 15.23; 227.49; 328.34; 262.68; 145.57; 146.19; 1.56; 1.56
2019-06-30; 4457.93; 2975.23; 1482.7; 0.0; 1127.3; -5.51; 1195.49; 287.21; -5.01; 282.2; 72.68; 209.52; 0.0; 209.52; 14.91; 224.43; 346.53; 287.21; 146.07; 146.74; 1.54; 1.53
2019-03-31; 4736.83; 3228.66; 1508.17; 0.0; 1203.9; -3.97; 1269.85; 238.32; -26.8; 211.51; 51.26; 160.25; 0.0; 160.25; 0.0; 160.25; 300.29; 238.32; 145.98; 146.69; 1.1; 1.09
2018-12-31; 2700.32; 1622.2; 1078.13; 0.0; 839.95; -4.62; 894.26; 183.87; -10.55; 173.31; 47.55; 125.76; 0.0; 125.76; 0.0; 186.7; 233.56; 183.87; 146.66; 147.24; 1.28; 1.27
2018-09-30; 4722.92; 3238.69; 1484.23; 0.0; 1119.27; -4.94; 1185.29; 298.95; -7.21; 291.74; 71.51; 220.23; 0.0; 220.23; 0.0; 220.23; 360.03; 298.95; 146.76; 147.45; 1.5; 1.49
