Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1433.0; 1056.0; 377.0; 7.0; 73.0; 0.0; 149.0; 228.0; -124.0; 104.0; 24.0; 80.0; 0.0; 80.0; 0.0; 79.0; 293.0; 228.0; 415.0; 420.0; 0.19; 0.19
2022-06-30; 1393.0; 987.0; 406.0; 9.0; 83.0; 0.0; 165.0; 241.0; -58.0; 183.0; 36.0; 147.0; 0.0; 147.0; 0.0; 147.0; 308.0; 241.0; 417.0; 422.0; 0.35; 0.35
2022-03-31; 1324.0; 950.0; 374.0; 7.0; 69.0; 0.0; 144.0; 230.0; -59.0; 171.0; 40.0; 131.0; 0.0; 131.0; 0.0; 130.0; 296.0; 230.0; 419.0; 425.0; 0.31; 0.31
2021-12-31; 1285.0; 938.0; 347.0; 4.0; 61.0; 0.0; 200.0; 147.0; -69.0; 78.0; 1.0; 77.0; 0.0; 77.0; 0.0; 77.0; 214.0; 147.0; 430.0; 435.0; 0.19; 0.18
2021-09-30; 1283.0; 928.0; 355.0; 4.0; 70.0; 0.0; 150.0; 205.0; -182.0; 23.0; -4.0; 27.0; 0.0; 27.0; 0.0; 26.0; 273.0; 205.0; 429.0; 434.0; 0.06; 0.06
2021-06-30; 1195.0; 857.0; 338.0; 4.0; 55.0; 0.0; 131.0; 207.0; -97.0; 110.0; 36.0; 74.0; 0.0; 74.0; 0.0; 74.0; 274.0; 207.0; 432.0; 437.0; 0.17; 0.17
2021-03-31; 1209.0; 873.0; 336.0; 5.0; 65.0; 0.0; 147.0; 189.0; -76.0; 113.0; 33.0; 80.0; 0.0; 80.0; 0.0; 79.0; 257.0; 189.0; 434.0; 439.0; 0.18; 0.18
2020-12-31; 1238.0; 872.0; 366.0; 4.0; 58.0; 0.0; 145.0; 221.0; -150.0; 71.0; -35.0; 106.0; 0.0; 106.0; 0.0; 106.0; 288.0; 221.0; 433.28; 437.98; 0.24; 0.24
2020-09-30; 1134.0; 900.0; 234.0; 5.0; 66.0; 0.0; 161.0; 73.0; -85.0; -12.0; -48.0; 36.0; 0.0; 36.0; 0.0; 35.0; 141.0; 73.0; 436.0; 439.0; 0.08; 0.08
2020-06-30; 1253.0; 923.0; 330.0; 4.0; 74.0; 0.0; 256.0; 74.0; -160.0; -86.0; -2.0; -84.0; 0.0; -84.0; -12.0; -96.0; 148.0; 74.0; 436.0; 436.0; -0.22; -0.22
2020-03-31; 1634.0; 1183.0; 451.0; 4.0; 79.0; 0.0; 193.0; 258.0; -60.0; 198.0; 45.0; 153.0; 0.0; 153.0; 62.0; 214.0; 387.0; 258.0; 435.0; 440.0; 0.49; 0.49
2019-12-31; 1734.0; 1269.0; 465.0; 6.0; 93.0; 0.0; 180.0; 285.0; -87.0; 198.0; 80.0; 118.0; 0.0; 118.0; 191.0; 309.0; 414.0; 285.0; 432.8; 441.94; 0.71; 0.71
2019-09-30; 1794.0; 1317.0; 477.0; 6.0; 89.0; 0.0; 221.0; 256.0; -93.0; 163.0; 105.0; 58.0; 0.0; 58.0; 37.0; 94.0; 387.0; 256.0; 436.0; 457.0; 0.22; 0.22
2019-06-30; 1818.0; 1335.0; 483.0; 7.0; 102.0; 0.0; 659.0; -176.0; -92.0; -268.0; -132.0; -136.0; 0.0; -136.0; 15.0; -121.0; -37.0; -176.0; 445.0; 445.0; -0.28; -0.28
2019-03-31; 3541.0; 2818.0; 723.0; 22.0; 178.0; 0.0; 349.0; 374.0; -117.0; 257.0; 70.0; 187.0; 0.0; 187.0; 0.0; 186.0; 511.0; 374.0; 471.0; 489.0; 0.4; 0.39
2018-12-31; 3472.0; 2845.0; 627.0; 26.0; 140.0; 0.0; 304.0; 323.0; -97.0; 226.0; 8.0; 218.0; 0.0; 218.0; 0.0; 218.0; 472.0; 323.0; 483.24; 503.02; 0.45; 0.44
2018-09-30; 3524.0; 2881.0; 643.0; 25.0; 134.0; 0.0; 298.0; 345.0; -96.0; 249.0; 88.0; 161.0; 0.0; 161.0; 0.0; 160.0; 486.0; 345.0; 483.0; 502.0; 0.33; 0.32
