Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3063.0; 2062.0; 1001.0; 145.0; 413.0; 0.0; 2986.0; -1985.0; -50.0; -2035.0; 160.0; -2195.0; 0.0; -2195.0; 0.0; -2197.0; -1692.0; -1985.0; 255.0; 255.0; -8.6; -8.6
2022-06-30; 3307.0; 2171.0; 1136.0; 158.0; 456.0; -118.0; 923.0; 213.0; -83.0; 130.0; 21.0; 109.0; 0.0; 109.0; 0.0; 107.0; 514.0; 213.0; 255.0; 255.0; 0.43; 0.43
2022-03-31; 3226.0; 2081.0; 1145.0; 157.0; 459.0; 0.0; 804.0; 341.0; -56.0; 285.0; 39.0; 246.0; 0.0; 246.0; 0.0; 244.0; 644.0; 341.0; 255.0; 255.0; 0.96; 0.96
2021-12-31; 3031.0; 2050.0; 981.0; 166.0; 450.0; 0.0; 808.0; 173.0; -59.0; 114.0; 22.0; 92.0; 0.0; 92.0; 0.0; 90.0; 468.0; 173.0; 243.0; 243.0; 0.45; 0.44
2021-09-30; 3071.0; 1981.0; 1090.0; 156.0; 436.0; 1.0; 792.0; 298.0; -48.0; 250.0; 53.0; 197.0; 0.0; 197.0; 0.0; 194.0; 595.0; 298.0; 254.0; 255.0; 0.76; 0.76
2021-06-30; 3089.0; 2179.0; 910.0; 164.0; 412.0; 0.0; 800.0; 110.0; -66.0; 44.0; 14.0; 30.0; 0.0; 30.0; 0.0; 28.0; 432.0; 110.0; 254.0; 255.0; 0.11; 0.11
2021-03-31; 2465.0; 1711.0; 754.0; 143.0; 451.0; 0.0; 750.0; 4.0; -58.0; -54.0; -14.0; -40.0; 0.0; -40.0; 0.0; -42.0; 246.0; 4.0; 206.0; 206.0; -0.21; -0.21
2020-12-31; 1270.0; 756.0; 514.0; 101.0; 254.0; -2.0; 414.0; 100.0; -21.0; 79.0; 13.0; 66.0; 0.0; 66.0; 0.0; 67.0; 181.0; 100.0; 112.0; 114.0; 0.58; 0.57
2020-09-30; 1268.0; 744.0; 524.0; 89.0; 235.0; -1.0; 374.0; 150.0; -45.0; 105.0; 19.0; 86.0; 0.0; 86.0; 0.0; 85.0; 233.0; 150.0; 112.0; 114.0; 0.76; 0.75
2020-06-30; 1199.0; 717.0; 482.0; 81.0; 230.0; 0.0; 362.0; 120.0; -16.0; 104.0; 16.0; 88.0; 0.0; 88.0; 0.0; 87.0; 200.0; 120.0; 112.0; 114.0; 0.75; 0.74
