Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 823.3; 54.58; 768.72; 384.01; 266.46; 20.12; 630.34; 138.38; 10.21; 148.59; 35.81; 112.78; 0.0; 112.78; 0.0; 112.78; 155.07; 138.38; 222.41; 224.18; 0.51; 0.5
2022-06-30; 911.4; 50.64; 860.76; 347.2; 253.28; -5.86; 606.33; 254.43; -25.05; 229.38; 67.95; 161.43; 0.0; 161.43; 0.0; 161.43; 270.94; 254.43; 221.66; 223.66; 0.73; 0.72
2022-03-31; 733.24; 42.61; 690.62; 353.37; 209.58; -11.12; 574.08; 116.54; -46.01; 70.53; 32.54; 37.99; 0.0; 37.99; 0.0; 37.99; 132.98; 116.54; 221.33; 222.95; 0.17; 0.17
2021-12-31; 862.85; 43.87; 818.98; 472.83; 226.2; -9.22; 708.25; 110.73; 9.29; 120.02; -443.83; 563.85; 0.0; 563.85; 0.0; 563.85; 125.59; 110.73; 220.43; 222.07; 2.56; 2.54
2021-09-30; 812.99; 39.87; 773.12; 334.94; 190.7; -12.06; 537.71; 235.41; -25.94; 209.47; 27.73; 181.74; 0.0; 181.74; 0.0; 181.74; 250.1; 235.41; 220.84; 222.25; 0.82; 0.82
2021-06-30; 705.71; 38.03; 667.68; 343.51; 168.86; -14.47; 526.85; 140.84; 30.8; 171.63; 22.18; 149.46; 0.0; 149.46; 0.0; 149.46; 155.29; 140.84; 220.08; 222.25; 0.68; 0.67
2021-03-31; 604.72; 29.22; 575.5; 306.9; 153.79; -16.01; 476.7; 98.8; -29.48; 69.32; 15.79; 53.53; 0.0; 53.53; 0.0; 53.53; 112.64; 98.8; 219.8; 221.87; 0.24; 0.24
2020-12-31; 789.51; 36.32; 753.19; 405.94; 166.99; -16.02; 588.96; 164.23; 3.87; 168.1; 18.25; 149.85; 0.0; 149.85; 0.0; 149.85; 177.39; 164.23; 218.07; 218.07; 0.71; 0.72
2020-09-30; 620.64; 34.32; 586.32; 438.11; 120.79; -22.1; 581.0; 5.33; -8.83; -3.51; 11.7; -15.2; 0.0; -15.2; 0.0; -15.2; 18.27; 5.33; 218.78; 218.78; -0.07; -0.07
2020-06-30; 688.04; 33.36; 654.68; 286.6; 118.0; -19.31; 423.91; 230.77; 76.49; 307.26; 16.97; 290.3; 0.0; 290.3; 0.0; 290.3; 243.37; 230.77; 217.55; 220.43; 1.33; 1.32
2020-03-31; 568.51; 27.32; 541.19; 1085.29; 111.15; -8.76; 1205.19; -664.0; -40.07; -704.08; 16.57; -720.64; 0.0; -720.64; 0.0; -720.64; -650.91; -664.0; 216.72; 216.72; -3.33; -3.33
2019-12-31; 579.39; 32.22; 547.17; 312.87; 136.18; -3.12; 452.17; 95.01; 31.0; 126.0; 15.0; 111.0; 0.0; 111.0; 0.0; 111.0; 108.35; 95.01; 214.91; 217.66; 0.51; 0.51
2019-09-30; 551.58; 30.04; 521.54; 281.34; 102.61; -3.28; 387.23; 134.32; 13.7; 148.02; 19.75; 128.27; 0.0; 128.27; 0.0; 128.27; 148.18; 134.32; 215.2; 217.79; 0.6; 0.59
2019-06-30; 529.93; 29.41; 500.53; 289.36; 105.94; -6.61; 401.91; 98.61; 10.06; 108.67; 3.35; 105.32; 0.0; 105.32; 0.0; 105.32; 112.05; 98.61; 214.62; 217.48; 0.49; 0.48
2019-03-31; 497.86; 22.59; 475.27; 270.55; 123.98; -6.67; 401.2; 74.07; 30.03; 104.1; 1.78; 102.31; 0.0; 102.31; 0.0; 102.31; 87.96; 74.07; 214.06; 217.06; 0.48; 0.47
