Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 2637.7; 2216.2; 421.5; 0.0; 18.5; 0.0; 79.7; 341.8; -10.4; 331.4; 76.4; 255.0; 0.0; 257.5; 0.0; 251.8; 422.3; 341.8; 390.6; 394.1; 0.64; 0.64
2022-06-30; 2735.7; 2300.2; 435.5; 0.0; 19.4; 0.0; 86.4; 349.1; -34.3; 314.8; 83.7; 231.1; 0.0; 231.8; 0.0; 229.6; 429.7; 349.1; 393.1; 396.8; 0.58; 0.58
2022-03-31; 2568.5; 2229.1; 339.4; 0.0; 19.3; 0.0; 93.7; 245.7; -35.8; 209.9; 49.1; 160.8; 0.0; 160.9; 0.0; 159.4; 326.7; 245.7; 394.5; 398.4; 0.4; 0.4
2021-12-31; 2932.1; 2354.2; 577.9; 0.0; 32.5; 0.0; 120.6; 457.3; -24.0; 433.3; 67.4; 365.9; 0.0; 368.0; 0.0; 357.9; 545.5; 457.3; 393.0; 398.4; 0.91; 0.9
2021-09-30; 2542.0; 2092.4; 449.6; 0.0; 32.2; 0.0; 98.1; 351.5; -33.2; 318.3; 73.9; 244.4; 0.0; 244.6; 0.0; 239.9; 437.6; 351.5; 393.5; 399.8; 0.61; 0.6
2021-06-30; 2509.6; 2025.9; 483.7; 0.0; 29.4; 0.0; 99.3; 384.4; -30.3; 354.1; 86.7; 267.4; 0.0; 267.8; 0.0; 263.3; 477.5; 384.4; 393.3; 399.0; 0.67; 0.66
2021-03-31; 2257.0; 1915.3; 341.7; 0.0; 28.2; 0.0; 98.7; 243.0; -126.6; 116.4; 23.8; 92.6; 0.0; 92.4; 0.0; 91.7; 335.2; 243.0; 391.5; 396.0; 0.23; 0.23
2020-12-31; 2550.0; 1976.6; 573.4; 0.0; 22.4; 0.0; 350.0; 223.4; -49.8; 173.6; 58.1; 115.5; 0.0; 117.0; 0.0; 112.3; 310.5; 223.4; 389.4; 393.2; 0.29; 0.29
2020-09-30; 2125.5; 1748.7; 376.8; 0.0; 9.9; 0.0; 128.2; 248.6; -56.0; 192.6; -86.3; 278.9; 0.0; 278.5; 0.0; 279.7; 343.5; 248.6; 389.6; 393.9; 0.72; 0.71
2020-06-30; 2025.7; 1795.4; 230.3; 0.0; 4.1; 0.0; 189.8; 40.5; -65.4; -24.9; 19.0; -43.9; 0.0; -43.9; 0.0; -45.6; 129.2; 40.5; 389.4; 389.4; -0.12; -0.12
2020-03-31; 2359.8; 2188.7; 171.1; 0.0; 22.4; 0.0; 95.2; 75.9; -55.9; 20.0; 17.2; 2.8; 0.0; 2.6; 0.0; 4.7; 174.2; 75.9; 387.7; 391.7; 0.01; 0.01
2019-12-31; 2901.8; 2320.6; 581.2; 0.0; 24.5; 0.0; 89.9; 491.3; -63.5; 427.8; 86.1; 341.7; 0.0; 342.2; 0.0; 328.9; 580.9; 491.3; 386.1; 391.2; 0.85; 0.85
