Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3562.0; 2321.0; 1241.0; 0.0; 517.0; 0.0; 769.0; 472.0; -112.0; 360.0; 70.0; 290.0; 0.0; 283.0; 0.0; 283.0; 724.0; 472.0; 186.5; 189.4; 1.52; 1.49
2022-06-30; 3541.0; 2331.0; 1210.0; 0.0; 483.0; 0.0; 757.0; 453.0; -125.0; 328.0; 71.0; 257.0; 0.0; 256.0; 0.0; 256.0; 726.0; 453.0; 188.3; 191.1; 1.36; 1.34
2022-03-31; 3568.0; 2323.0; 1245.0; 0.0; 488.0; 0.0; 750.0; 495.0; -95.0; 400.0; 71.0; 329.0; 0.0; 325.0; 0.0; 325.0; 754.0; 495.0; 190.0; 193.4; 1.71; 1.68
2021-12-31; 3636.0; 2364.0; 1272.0; 0.0; 542.0; 0.0; 809.0; 463.0; -87.0; 376.0; 59.0; 317.0; 0.0; 318.0; 0.0; 318.0; 728.0; 463.0; 191.4; 195.0; 1.67; 1.62
2021-09-30; 3391.0; 2253.0; 1138.0; 0.0; 498.0; 0.0; 836.0; 302.0; -29.0; 273.0; 12.0; 261.0; 0.0; 261.0; 0.0; 261.0; 642.0; 302.0; 191.5; 195.3; 1.36; 1.34
2021-06-30; 3438.0; 2323.0; 1115.0; 0.0; 482.0; 0.0; 829.0; 286.0; -64.0; 222.0; 48.0; 174.0; 0.0; 175.0; 0.0; 175.0; 634.0; 286.0; 191.6; 194.9; 0.91; 0.9
2021-03-31; 3409.0; 2293.0; 1116.0; 0.0; 442.0; 0.0; 774.0; 342.0; -85.0; 257.0; 44.0; 213.0; 0.0; 217.0; 0.0; 212.0; 670.0; 342.0; 191.5; 194.9; 1.11; 1.09
2020-12-31; 3298.0; 2172.0; 1126.0; 0.0; 491.0; 0.0; 837.0; 289.0; -95.0; 194.0; 63.0; 131.0; 0.0; 130.0; 0.0; 119.0; 638.0; 289.0; 191.3; 195.0; 0.62; 0.61
2020-09-30; 2786.0; 1800.0; 986.0; 0.0; 460.0; 0.0; 799.0; 187.0; -85.0; 102.0; -3.0; 105.0; 0.0; 108.0; 0.0; 101.0; 511.0; 187.0; 191.3; 194.9; 0.53; 0.52
2020-06-30; 2521.0; 1704.0; 817.0; 0.0; 431.0; 0.0; 755.0; 62.0; -87.0; -25.0; -5.0; -20.0; 0.0; -21.0; 0.0; -23.0; 375.0; 62.0; 190.9; 190.9; -0.12; -0.12
