Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 3881.05; 3045.37; 835.68; 0.0; 527.14; 0.0; 527.14; 308.54; -28.68; 279.86; 39.36; 240.5; 0.0; 240.5; 0.54; 225.21; 384.79; 308.54; 128.66; 129.44; 1.75; 1.75
2022-06-30; 3827.09; 3002.62; 824.48; 0.0; 558.71; 0.0; 558.71; 265.76; 6.35; 272.12; 59.49; 212.62; 0.0; 212.62; -0.34; 195.98; 342.61; 265.76; 128.22; 128.93; 1.53; 1.52
2022-03-31; 3834.06; 2963.65; 870.41; 0.0; 704.2; 0.0; 704.2; 166.22; -10.93; 155.28; 46.17; 109.12; 0.0; 109.12; -0.0; 88.82; 241.03; 166.22; 129.33; 129.97; 0.69; 0.68
2021-12-31; 3380.62; 2584.15; 796.47; 0.0; 619.14; 0.0; 619.14; 177.33; -8.24; 169.09; 15.89; 153.2; 0.0; 153.2; -0.23; 134.03; 250.48; 177.33; 129.34; 130.29; 1.04; 1.03
2021-09-30; 3586.49; 2758.72; 827.76; 0.0; 576.25; 0.0; 576.25; 251.51; -81.14; 170.38; 99.34; 71.03; 0.0; 71.03; -1.68; 43.14; 324.52; 251.51; 130.19; 131.27; 0.33; 0.33
2021-06-30; 3576.44; 2759.5; 816.94; 0.0; 553.19; 0.0; 553.19; 263.75; 19.65; 283.39; 109.19; 174.21; 0.0; 174.21; 0.38; 165.79; 339.71; 263.75; 130.38; 131.42; 0.83; 0.83
2021-03-31; 3547.87; 2780.86; 767.01; 0.0; 808.12; 0.0; 808.12; -41.11; -71.17; -112.28; -20.77; -91.51; 0.0; -91.51; 11.32; 11.04; 14.58; -41.11; 130.26; 130.26; 0.08; 0.08
2020-12-31; 3381.84; 2749.78; 632.06; 0.0; 418.12; 0.0; 418.12; 213.94; 140.17; 354.11; 87.02; 267.09; 0.0; 267.09; -0.01; 257.05; 260.08; 213.94; 129.97; 131.15; 1.98; 1.96
2020-09-30; 3519.69; 2854.75; 664.94; 0.0; 642.46; 0.0; 642.46; 22.47; 37.68; 60.16; -19.72; 79.88; 0.0; 79.88; 12.47; 81.99; 70.04; 22.47; 131.51; 132.72; 0.62; 0.62
2020-06-30; 3260.06; 2631.03; 629.03; 0.0; 434.65; 0.0; 434.65; 194.38; 109.31; 303.68; 67.67; 236.01; 0.0; 236.01; 18.04; 244.93; 239.79; 194.38; 130.22; 131.26; 1.88; 1.87
