Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-12-31; 2366.0; 475.0; 1891.0; 0.0; 1421.0; 0.0; 1421.0; 470.0; 0.0; 470.0; 76.0; 394.0; 0.0; 394.0; 0.0; 356.0; 0.0; 0.0; 924.97; 933.72; 0.38; 0.38
2022-09-30; 2127.0; 248.0; 1879.0; 0.0; 1215.0; 0.0; 1215.0; 664.0; 0.0; 664.0; 124.0; 540.0; 0.0; 540.0; 2.0; 515.0; 0.0; 0.0; 924.59; 932.46; 0.55; 0.55
2022-06-30; 1881.0; 96.0; 1785.0; 0.0; 1123.0; 0.0; 1123.0; 662.0; 0.0; 662.0; 132.0; 530.0; 0.0; 530.0; 3.0; 507.0; 0.0; 0.0; 924.3; 931.81; 0.55; 0.54
2022-03-31; 1756.0; 66.0; 1690.0; 0.0; 1153.0; 0.0; 1153.0; 537.0; 0.0; 537.0; 90.0; 447.0; 0.0; 447.0; 1.0; 421.0; 0.0; 0.0; 922.94; 933.63; 0.46; 0.45
2021-12-31; 2012.0; 70.0; 1942.0; 0.0; 1116.0; 0.0; 1116.0; 826.0; 0.0; 768.0; 141.0; 627.0; 0.0; 627.0; 2.0; 603.0; 0.0; 0.0; 947.07; 957.41; 0.64; 0.64
2021-09-30; 1884.0; 71.0; 1813.0; 0.0; 1005.0; 0.0; 1005.0; 808.0; 0.0; 808.0; 165.0; 643.0; 0.0; 643.0; 2.0; 618.0; 0.0; 0.0; 942.45; 952.52; 0.66; 0.65
2021-06-30; 1840.0; 73.0; 1767.0; 0.0; 854.0; 0.0; 854.0; 913.0; 0.0; 913.0; 189.0; 724.0; 0.0; 724.0; 5.0; 703.0; 0.0; 0.0; 957.42; 967.16; 0.73; 0.73
2021-03-31; 1825.0; 82.0; 1743.0; 0.0; 978.0; 0.0; 978.0; 765.0; 0.0; 765.0; 147.0; 618.0; 0.0; 618.0; 4.0; 595.0; 0.0; 0.0; 964.88; 974.3; 0.62; 0.61
2020-12-31; 1927.0; 90.0; 1837.0; 0.0; 1133.0; 0.0; 1148.0; 689.0; 0.0; 689.0; 114.0; 575.0; 0.0; 575.0; 7.0; 556.0; 0.0; 0.0; 967.78; 974.81; 0.58; 0.57
2020-09-30; 1800.0; 119.0; 1681.0; 0.0; 1182.0; 0.0; 1197.0; 484.0; 0.0; 484.0; 60.0; 424.0; 0.0; 424.0; 4.0; 401.0; 0.0; 0.0; 967.8; 973.99; 0.41; 0.41
2020-06-30; 1882.0; 172.0; 1710.0; 0.0; 1477.0; 0.0; 1495.0; 215.0; 0.0; 215.0; 30.0; 185.0; 0.0; 185.0; 2.0; 161.0; 0.0; 0.0; 967.15; 972.14; 0.17; 0.17
2020-03-31; 1728.0; 270.0; 1458.0; 0.0; 1273.0; 0.0; 1290.0; 168.0; 0.0; 168.0; 23.0; 145.0; 0.0; 145.0; 1.0; 119.0; 0.0; 0.0; 967.45; 976.11; 0.12; 0.12
