Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-11-30; 6505.96; 5929.27; 576.69; 0.0; 591.73; 152.2; 496.91; 79.78; -29.79; 49.99; 12.41; 37.58; 0.0; 37.58; 0.0; 37.58; 144.53; 79.78; 158.0; 158.54; 0.24; 0.24
2022-08-31; 8144.8; 7407.66; 737.15; 0.0; 666.04; 182.87; 540.86; 196.28; -28.71; 167.57; 41.67; 125.91; 0.0; 125.91; 0.0; 125.91; 263.71; 196.28; 158.8; 160.22; 0.79; 0.79
2022-05-31; 9311.62; 8436.23; 875.39; 0.0; 656.74; 204.47; 507.92; 367.48; -30.87; 336.6; 84.34; 252.26; 0.0; 252.26; 0.0; 252.26; 437.95; 367.48; 160.3; 161.8; 1.57; 1.56
2022-02-28; 7686.69; 6975.71; 710.99; 0.0; 620.94; 193.78; 482.01; 228.98; -27.73; 201.25; 41.41; 159.84; 0.0; 159.84; 0.0; 159.84; 301.35; 228.98; 162.41; 165.18; 1.0; 0.99
2021-11-30; 8527.76; 7691.2; 836.56; 0.0; 575.93; 165.97; 464.39; 372.17; -16.21; 355.96; 86.52; 269.44; 0.0; 269.44; 0.0; 269.44; 443.69; 372.17; 162.01; 164.87; 1.66; 1.63
2021-08-31; 7988.36; 7172.88; 815.48; 0.0; 574.29; 200.03; 427.04; 388.44; -20.63; 367.81; 82.55; 285.27; 0.0; 285.27; 0.0; 285.27; 455.39; 388.44; 162.97; 165.64; 1.75; 1.72
2021-05-31; 7697.6; 6773.09; 924.51; 0.0; 554.07; 241.73; 362.23; 562.28; 5.04; 567.32; 130.57; 436.76; 0.0; 436.76; 0.0; 436.76; 624.64; 562.28; 163.15; 166.29; 2.68; 2.63
2021-02-28; 5164.26; 4522.89; 641.37; 0.0; 506.82; 188.22; 367.83; 273.54; -11.29; 262.25; 52.3; 209.94; 0.0; 209.94; 0.0; 209.94; 335.2; 273.54; 163.18; 165.13; 1.29; 1.28
2020-11-30; 5184.94; 4553.51; 631.43; 0.0; 430.78; 176.44; 302.35; 329.08; -18.57; 310.5; 75.2; 235.3; 0.0; 235.3; 0.0; 235.3; 390.61; 329.08; 163.73; 165.77; 1.44; 1.42
2020-08-31; 5372.17; 4620.02; 752.14; 0.0; 441.92; 147.19; 343.01; 409.13; -20.79; 388.34; 91.64; 296.7; 0.0; 296.7; 0.0; 296.7; 469.76; 409.13; 163.43; 165.62; 1.82; 1.79
2020-05-31; 3228.78; 2874.6; 354.18; 0.0; 324.89; 50.95; 322.77; 31.42; -27.25; 4.16; -0.81; 4.98; 0.0; 4.98; 0.0; 4.98; 89.76; 31.42; 162.67; 163.54; 0.03; 0.03
2020-02-29; 4962.49; 4289.63; 672.86; 0.0; 294.83; 111.91; 372.82; 300.04; -23.4; 276.63; 61.7; 214.93; 0.0; 214.93; 0.0; 214.93; 357.62; 300.04; 164.84; 166.82; 1.33; 1.3
2019-11-30; 4790.03; 4176.38; 613.65; 0.0; 484.85; 114.03; 370.81; 242.83; -15.27; 227.56; 54.4; 173.16; 0.0; 173.16; 0.0; 173.16; 297.59; 242.83; 164.27; 166.53; 1.05; 1.04
2019-08-31; 5201.15; 4507.7; 693.45; 0.0; 480.83; 114.13; 366.7; 326.75; -21.22; 305.54; 71.94; 233.6; 0.0; 233.6; 0.0; 233.6; 378.71; 326.75; 165.35; 167.27; 1.41; 1.4
2019-05-31; 5366.32; 4623.94; 742.38; 0.0; 489.66; 115.96; 373.7; 368.68; -17.43; 351.26; 84.51; 266.74; 0.0; 266.74; 0.0; 266.74; 420.19; 368.68; 166.32; 167.64; 1.6; 1.59
2019-02-28; 4318.6; 3719.22; 599.38; 0.0; 428.97; 103.7; 325.26; 274.12; -18.29; 255.83; 63.27; 192.56; 0.0; 192.56; 0.0; 192.56; 320.75; 274.12; 174.46; 175.88; 1.15; 1.13
2018-11-30; 4295.87; 3726.63; 569.24; 0.0; 409.52; 109.72; 299.8; 269.44; -21.63; 247.81; 57.5; 190.31; 0.0; 190.31; 0.0; 190.31; 314.74; 269.44; 173.82; 175.32; 1.09; 1.09
2018-08-31; 4766.03; 4115.4; 650.64; 0.0; 453.55; 109.67; 343.89; 306.75; -17.26; 289.49; 68.59; 220.89; 0.0; 220.89; 0.0; 220.89; 351.72; 306.75; 176.28; 178.2; 1.25; 1.24
2018-05-31; 4792.59; 4131.25; 661.34; 0.0; 438.23; 115.59; 322.64; 338.7; -19.02; 319.68; 81.03; 238.66; 0.0; 238.66; 0.0; 238.66; 384.04; 338.7; 178.14; 179.42; 1.34; 1.33
2018-02-28; 4084.22; 3547.49; 536.73; 0.0; 408.81; 101.07; 307.74; 228.98; -18.86; 210.12; 87.98; 122.15; 0.0; 122.15; 0.0; 122.15; 275.75; 228.99; 182.66; 184.47; 0.69; 0.68
2017-11-30; 4107.02; 3567.83; 539.19; 0.0; 399.67; 102.81; 296.86; 242.33; -17.13; 225.2; 76.36; 148.84; 0.0; 148.84; 0.0; 148.84; 287.42; 242.33; 181.89; 184.03; 0.82; 0.81
2017-08-31; 4386.64; 3782.64; 604.01; 0.0; 405.06; 107.94; 297.13; 306.88; -16.65; 290.23; 108.81; 181.42; 0.0; 181.42; 0.0; 181.42; 351.06; 306.88; 182.87; 184.7; 0.99; 0.98
2017-05-31; 4542.33; 3893.4; 648.94; 0.0; 403.5; 109.36; 294.14; 354.8; -16.75; 338.05; 126.35; 211.7; 0.0; 211.7; 0.0; 211.7; 398.69; 354.8; 185.2; 186.86; 1.14; 1.13
2017-02-28; 4049.96; 3487.8; 562.16; 0.0; 385.41; 82.9; 302.51; 259.65; -17.33; 242.32; 89.71; 152.6; 0.0; 152.6; 0.0; 152.6; 302.87; 259.65; 190.34; 192.22; 0.81; 0.8
2016-11-30; 3701.52; 3198.39; 503.13; 0.0; 356.74; 89.36; 267.38; 235.76; -16.1; 219.66; 83.02; 136.65; 0.0; 136.65; 0.0; 136.65; 278.4; 235.76; 189.2; 190.82; 0.72; 0.72
2016-08-31; 3997.25; 3451.89; 545.36; 0.0; 366.13; 95.97; 270.16; 275.21; -13.47; 261.74; 99.37; 162.36; 0.0; 162.36; 0.0; 162.36; 317.42; 275.21; 191.54; 193.62; 0.85; 0.84
2016-05-31; 4126.39; 3553.75; 572.64; 0.0; 380.23; 100.76; 279.47; 293.17; -10.47; 282.69; 107.33; 175.36; 0.0; 175.36; 0.0; 175.36; 333.97; 293.17; 193.53; 195.25; 0.91; 0.9
2016-02-29; 3705.8; 3216.54; 489.26; 0.0; 333.86; 92.33; 241.53; 247.74; -21.55; 226.19; 85.16; 141.03; 0.0; 141.03; 0.0; 141.03; 284.59; 247.74; 203.28; 205.54; 0.73; 0.72
2015-11-30; 3544.07; 3079.74; 464.33; 0.0; 337.51; 92.32; 245.2; 219.13; -11.18; 207.96; 79.76; 128.2; 0.0; 128.2; 0.0; 128.2; 254.45; 219.13; 201.29; 203.38; 0.64; 0.63
2015-08-31; 3884.91; 3363.54; 521.37; 0.0; 330.78; 98.28; 232.5; 288.87; -9.04; 279.82; 107.59; 172.23; 0.0; 172.23; 0.0; 172.23; 321.99; 288.87; 207.25; 209.65; 0.83; 0.82
2015-05-31; 4014.89; 3471.09; 543.79; 0.0; 349.78; 109.11; 240.67; 303.12; -7.14; 295.98; 114.0; 181.97; 0.0; 181.97; 0.0; 181.97; 335.19; 303.12; 208.7; 211.65; 0.87; 0.86
2015-02-28; 3514.09; 3038.26; 475.84; 0.0; 330.01; 90.38; 239.63; 236.21; -3.38; 232.83; 89.69; 143.14; 0.0; 143.14; 0.0; 143.14; 266.39; 236.21; 215.62; 218.69; 0.68; 0.67
2014-11-30; 3405.23; 2958.61; 446.62; 0.0; 316.63; 89.72; 226.91; 219.71; -8.87; 210.84; 80.79; 130.05; 0.0; 130.05; 0.0; 130.05; 248.94; 219.71; 214.23; 217.03; 0.61; 0.6
2014-08-31; 3599.19; 3135.86; 463.34; 0.0; 297.64; 92.57; 205.06; 258.28; -7.63; 250.64; 96.12; 154.52; 0.0; 154.52; 0.0; 154.52; 286.7; 258.28; 218.18; 221.07; 0.71; 0.7
2014-05-31; 3750.2; 3248.47; 501.73; 0.0; 313.45; 94.61; 218.83; 282.9; -7.88; 275.02; 105.37; 169.65; 0.0; 169.65; 0.0; 169.65; 310.24; 282.9; 220.27; 223.63; 0.77; 0.76
