Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-11-30; 10174.37; 8228.24; 1946.13; 0.0; 80.07; 0.0; 80.07; 1866.06; -107.34; 1758.72; 414.79; 1343.93; 0.0; 1343.93; 0.0; 1322.44; 0.0; 1866.06; 287.36; 287.36; 4.56; 4.55
2022-08-31; 8934.43; 6858.91; 2075.52; 0.0; 115.56; 0.0; 115.56; 1959.97; -135.69; 1824.27; 351.58; 1472.69; 0.0; 1472.69; 0.0; 1451.6; 1978.02; 1959.97; 288.11; 288.11; 5.04; 5.03
2022-05-31; 8358.7; 6384.77; 1973.92; 0.0; 105.21; 0.0; 105.21; 1868.72; -113.88; 1754.83; 432.28; 1322.56; 0.0; 1322.56; 0.0; 1303.38; 1887.68; 1868.72; 289.89; 289.89; 4.5; 4.49
2022-02-28; 6203.52; 4996.95; 1206.56; 0.0; 113.66; 0.0; 113.66; 1092.9; -416.17; 676.74; 167.42; 509.31; 0.0; 509.31; 0.0; 498.25; 1112.5; 1092.9; 293.93; 293.93; 1.7; 1.69
2021-11-30; 8433.56; 6557.18; 1876.38; 0.0; 102.19; 0.0; 102.19; 1774.19; -193.39; 1580.81; 387.15; 1193.65; 0.0; 1193.65; 0.0; 1177.6; 1793.79; 1774.19; 306.61; 306.61; 3.9; 3.9
2021-08-31; 6941.4; 5503.81; 1437.6; 0.0; 94.94; 0.0; 94.94; 1342.65; 471.7; 1814.35; 405.14; 1409.22; 0.0; 1409.22; 0.0; 1390.19; 1362.22; 1342.65; 307.3; 307.3; 4.52; 4.52
2021-05-31; 6430.24; 5181.6; 1248.64; 0.0; 90.72; 0.0; 90.72; 1157.92; -61.04; 1096.88; 260.11; 836.77; 0.0; 836.77; 0.0; 820.28; 1177.98; 1157.92; 308.89; 308.89; 2.66; 2.65
2021-02-28; 5325.47; 4351.45; 974.02; 0.0; 110.53; 0.0; 110.53; 863.49; 463.53; 1327.01; 310.11; 1016.91; 0.0; 1016.91; 0.0; 989.12; 883.45; 863.49; 309.02; 309.02; 3.2; 3.2
2020-11-30; 6825.89; 5583.59; 1242.3; 0.0; 86.63; 0.0; 86.63; 1155.67; 8.98; 1164.65; 273.74; 890.91; 0.0; 890.91; 0.0; 872.88; 1175.31; 1155.67; 309.41; 309.41; 2.82; 2.81
2020-08-31; 5870.25; 4895.99; 974.26; 0.0; 86.0; 0.0; 86.0; 888.26; -29.25; 859.01; 189.69; 669.32; 0.0; 669.32; 0.0; 658.62; 907.77; 888.26; 308.89; 308.89; 2.13; 2.12
2020-05-31; 5287.37; 4546.09; 741.29; 0.0; 78.18; 0.0; 78.18; 663.1; 13.47; 676.58; 160.48; 516.1; 0.0; 516.1; 0.0; 511.12; 680.26; 663.1; 308.37; 308.37; 1.66; 1.65
2020-02-29; 4505.34; 3989.07; 516.27; 0.0; 82.63; 0.0; 82.63; 433.63; -10.08; 423.55; 32.33; 391.22; 0.0; 391.22; 0.0; 394.03; 447.1; 433.63; 311.21; 311.21; 1.27; 1.27
2019-11-30; 6971.53; 5988.04; 983.49; 0.0; 73.12; 0.0; 73.12; 910.38; -21.69; 888.69; 217.5; 671.18; 0.0; 671.18; 0.0; 667.8; 932.38; 910.38; 318.42; 318.42; 2.11; 2.11
2019-08-31; 5857.06; 5116.09; 740.97; 0.0; 92.61; 0.0; 92.61; 648.36; 18.73; 667.08; 154.44; 512.64; 0.0; 512.64; 0.0; 508.85; 664.69; 648.36; 318.1; 318.1; 1.6; 1.59
2019-05-31; 5562.89; 4887.17; 675.72; 0.0; 76.11; 0.0; 76.11; 599.61; -40.21; 559.4; 140.53; 418.87; 0.0; 418.87; 0.0; 418.31; 615.95; 599.61; 320.33; 320.33; 1.31; 1.3
2019-02-28; 3868.08; 3465.97; 402.11; 0.0; 79.34; 0.0; 79.34; 322.76; -3.64; 319.12; 79.7; 239.42; 0.0; 239.42; 0.0; 237.95; 334.08; 322.76; 321.34; 321.35; 0.74; 0.74
