Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 4246.0; 3052.0; 1194.0; 0.0; 742.0; 0.0; 742.0; 452.0; -773.0; -321.0; -20.0; -301.0; 0.0; -301.0; 0.0; -300.0; 684.0; 452.0; 191.3; 191.3; -1.56; -1.56
2022-06-30; 4135.0; 2907.0; 1228.0; 0.0; 744.0; 0.0; 744.0; 484.0; 41.0; 525.0; 55.0; 470.0; 0.0; 470.0; 0.0; 471.0; 717.0; 484.0; 192.1; 194.0; 2.45; 2.42
2022-03-31; 4103.0; 2892.0; 1211.0; 0.0; 713.0; 0.0; 713.0; 498.0; 38.0; 536.0; 61.0; 475.0; 0.0; 475.0; 0.0; 475.0; 730.0; 498.0; 193.2; 195.1; 2.46; 2.44
2021-12-31; 4350.0; 3053.0; 1297.0; 0.0; 795.0; 0.0; 795.0; 502.0; 86.0; 588.0; 104.0; 484.0; 0.0; 484.0; 0.0; 484.0; 746.0; 502.0; 201.3; 203.2; 2.47; 2.44
2021-09-30; 4229.0; 2921.0; 1308.0; 0.0; 793.0; 0.0; 793.0; 515.0; 71.0; 586.0; 107.0; 479.0; 0.0; 479.0; 0.0; 481.0; 754.0; 515.0; 199.5; 201.6; 2.41; 2.39
2021-06-30; 4668.0; 3251.0; 1417.0; 0.0; 891.0; 0.0; 891.0; 526.0; 56.0; 582.0; 169.0; 413.0; 0.0; 413.0; 0.0; 413.0; 759.0; 526.0; 203.6; 205.6; 2.03; 2.01
2021-03-31; 4567.0; 3213.0; 1354.0; 0.0; 801.0; 0.0; 801.0; 553.0; -26.0; 527.0; 60.0; 467.0; 0.0; 467.0; -1.0; 468.0; 804.0; 553.0; 206.7; 208.5; 2.26; 2.25
2020-12-31; 4660.0; 3261.0; 1399.0; 0.0; 831.0; 0.0; 831.0; 568.0; -321.0; 247.0; 63.0; 184.0; 0.0; 184.0; 0.0; 193.0; 832.0; 568.0; 214.0; 215.9; 0.92; 0.92
2020-09-30; 4463.0; 3152.0; 1311.0; 0.0; 817.0; 0.0; 817.0; 494.0; 24.0; 518.0; 87.0; 431.0; 0.0; 431.0; -1.0; 426.0; 747.0; 494.0; 213.4; 215.1; 2.0; 1.98
2020-06-30; 4445.0; 3175.0; 1270.0; 0.0; 855.0; 0.0; 855.0; 415.0; -79.0; 336.0; 58.0; 278.0; 0.0; 278.0; 0.0; 283.0; 700.0; 415.0; 215.9; 217.8; 1.31; 1.3
2020-03-31; 4626.0; 3298.0; 1328.0; 0.0; 812.0; 0.0; 812.0; 516.0; -295.0; 221.0; 26.0; 195.0; 0.0; 195.0; -1.0; 217.0; 746.0; 516.0; 217.3; 219.3; 1.0; 0.99
2019-12-31; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2019-09-30; 4431.0; 3242.0; 1189.0; 0.0; 999.0; 229.0; 770.0; 419.0; 21.0; 440.0; 5.0; 435.0; 0.0; 435.0; 0.0; 429.0; 620.0; 419.0; 222.6; 225.4; 1.93; 1.9
2019-06-30; 1865.0; 1223.0; 642.0; 0.0; 349.0; 0.0; 349.0; 293.0; 9.0; 302.0; 33.0; 269.0; 0.0; 269.0; -1.0; 268.0; 221.0; 293.0; 118.3; 121.1; 2.26; 2.2
2019-03-31; 1728.0; 1139.0; 589.0; 0.0; 310.0; 0.0; 310.0; 279.0; 4.0; 283.0; 40.0; 243.0; 0.0; 243.0; 0.0; 243.0; 343.0; 279.0; 117.9; 120.3; 2.06; 2.02
2018-12-31; 1666.0; 1095.0; 571.0; 0.0; 0.0; 0.0; 0.0; 1666.0; 0.0; 271.0; 46.0; 0.0; 0.0; 225.0; 0.0; 225.0; 1730.0; 0.0; 117.7; 120.0; 1.91; 1.87
2018-09-30; 1542.0; 1010.0; 532.0; 0.0; 279.0; 0.0; 279.0; 253.0; 4.0; 257.0; 41.0; 216.0; 0.0; 216.0; -3.0; 213.0; 253.0; 253.0; 117.9; 120.6; 1.81; 1.77
2018-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2018-03-31; 1562.0; 1028.0; 534.0; 0.0; 331.0; 0.0; 331.0; 203.0; 5.0; 208.0; 10.0; 198.0; 0.0; 198.0; -2.0; 196.0; 395.0; 203.0; 118.4; 121.0; 1.65; 1.62
2017-12-31; 1535.0; 1022.0; 513.0; 0.0; 0.0; 0.0; 0.0; 1535.0; 0.0; 225.0; 94.0; 0.0; 0.0; 131.0; 0.0; 131.0; 1600.0; 0.0; 118.5; 120.9; 1.1; 1.08
2017-09-30; 1410.0; 919.0; 491.0; 0.0; 268.0; 0.0; 268.0; 223.0; 5.0; 228.0; 63.0; 165.0; 0.0; 165.0; -6.0; 159.0; 223.0; 223.0; 119.1; 121.2; 1.33; 1.31
2017-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
2017-03-31; 1489.0; 958.0; 531.0; 0.0; 256.0; 0.0; 256.0; 275.0; -42.0; 233.0; 69.0; 164.0; 0.0; 164.0; -79.0; 85.0; 514.0; 275.0; 122.6; 124.5; 0.7; 0.69
2016-12-31; 1449.0; 920.0; 529.0; 0.0; 0.0; 0.0; 0.0; 1449.0; 0.0; 235.0; 72.0; 0.0; 0.0; 163.0; 14.0; 177.0; 1530.0; 0.0; 123.7; 125.4; 1.42; 1.4
2016-09-30; 1420.0; 897.0; 523.0; 0.0; 277.0; 0.0; 277.0; 246.0; -43.0; 203.0; 58.0; 145.0; 0.0; 145.0; 15.0; 160.0; 246.0; 246.0; 123.9; 125.5; 1.29; 1.27
2016-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0
