Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 6941.6; 1579.1; 5362.5; 1802.9; 1614.2; -206.5; 3686.0; 1676.5; -111.0; 1565.5; 113.8; 1451.7; 0.0; 1451.7; 0.0; 1451.7; 2039.4; 1676.5; 900.7; 903.8; 1.61; 1.61
2022-06-30; 6488.0; 1430.5; 5057.5; 1781.9; 1625.1; -440.4; 3847.4; 1210.1; -119.2; 1090.9; 138.4; 952.5; 0.0; 952.5; 0.0; 952.5; 1559.0; 1210.1; 900.3; 902.9; 1.06; 1.05
2022-03-31; 7810.0; 2072.1; 5737.9; 1610.1; 1557.9; 0.0; 3333.6; 2404.3; -350.7; 2053.6; 150.7; 1902.9; 0.0; 1902.9; 0.0; 1902.9; 2840.0; 2404.3; 903.7; 906.4; 2.11; 2.1
2021-12-31; 7999.9; 2050.2; 5949.7; 1993.5; 1592.0; -61.7; 4032.5; 1917.2; -77.3; 1839.9; 113.8; 1726.1; 0.0; 1726.1; 0.0; 1726.1; 2362.9; 1917.2; 906.96; 911.68; 1.91; 1.88
2021-09-30; 6772.8; 1430.8; 5342.0; 1705.3; 1577.9; 0.0; 3460.8; 1881.2; -635.9; 1245.3; 135.2; 1110.1; 0.0; 1110.1; 0.0; 1110.1; 2263.5; 1881.2; 906.7; 910.8; 1.22; 1.22
2021-06-30; 6740.1; 1953.2; 4786.9; 1655.0; 1685.7; -42.8; 3383.5; 1403.4; 190.5; 1593.9; 203.7; 1390.2; 0.0; 1390.2; 0.0; 1390.2; 1772.7; 1403.4; 907.3; 910.4; 1.53; 1.53
2021-03-31; 6805.6; 1878.6; 4927.0; 1672.1; 1576.0; -211.6; 3771.7; 1155.3; 321.1; 1476.4; 121.1; 1355.3; 0.0; 1355.3; 0.0; 1355.3; 1505.6; 1155.3; 908.8; 912.4; 1.49; 1.49
2020-12-31; 7440.0; 1719.8; 5720.2; 1838.0; 1553.9; 30.1; 3728.1; 1992.1; 477.0; 2469.1; 352.3; 2116.8; 0.0; 2116.8; 0.0; 2116.8; 2359.6; 1992.1; 907.63; 912.5; 2.33; 2.31
2020-09-30; 5740.6; 1326.4; 4414.2; 1465.4; 1569.1; -101.4; 3135.9; 1278.3; 158.9; 1437.2; 228.8; 1208.4; 0.0; 1208.4; 0.0; 1208.4; 1636.7; 1278.3; 907.2; 911.4; 1.33; 1.33
2020-06-30; 5499.4; 1222.0; 4277.4; 1390.2; 1448.6; 0.0; 3080.6; 1196.8; 446.9; 1643.7; 231.7; 1412.0; 0.0; 1412.0; 0.0; 1412.0; 1521.2; 1196.8; 907.2; 910.9; 1.56; 1.55
2020-03-31; 5859.8; 1215.1; 4644.7; 1392.1; 1549.6; -59.9; 3053.9; 1590.8; 89.1; 1679.9; 223.4; 1456.5; 0.0; 1456.5; 0.0; 1456.5; 1864.4; 1590.8; 908.2; 911.7; 1.6; 1.6
2019-12-31; 6114.0; 1282.6; 4831.4; 1581.4; 1698.1; -438.7; 3431.2; 1400.2; 262.9; 1663.1; 167.4; 1495.7; 0.0; 1495.7; 0.0; 1495.7; 1740.9; 1400.2; 931.06; 935.68; 1.79; 1.77
2019-09-30; 5476.6; 1175.0; 4301.6; 1380.9; 1412.3; 0.0; 2870.9; 1430.7; -24.9; 1405.8; 151.9; 1253.9; 0.0; 1253.9; 0.0; 1253.9; 1718.7; 1430.7; 913.9; 918.5; 1.37; 1.37
2019-06-30; 5636.7; 1124.9; 4511.8; 1402.2; 1586.3; 0.0; 3013.5; 1498.3; -32.4; 1465.9; 138.7; 1327.2; 0.0; 1327.2; 0.0; 1327.2; 1745.7; 1498.3; 920.8; 924.6; 1.44; 1.44
2019-03-31; 5092.2; 1138.7; 3953.5; 1230.5; 1517.1; -136.9; 3308.4; 645.1; 86.0; 731.1; 170.0; 561.1; 0.0; 561.1; 3680.5; 4241.6; 1001.6; 645.1; 979.9; 984.0; 4.33; 4.31
2018-12-31; 5637.6; 1129.9; 4507.7; 1391.8; 1693.6; -192.7; 3607.5; 900.2; 31.4; 931.6; -189.8; 1121.4; 0.0; 1121.4; 3.6; 1125.0; 1245.7; 900.2; 1027.72; 1033.67; 1.1; 1.1
2018-09-30; 5306.9; 1152.9; 4154.0; 1280.9; 1457.2; -42.9; 2811.0; 1343.0; -1.9; 1341.1; 247.5; 1093.6; 0.0; 1093.6; 55.9; 1149.5; 1758.5; 1343.0; 1020.4; 1026.3; 1.13; 1.12
