Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1135.0; 300.0; 835.0; 0.0; 357.0; 0.0; 526.0; 309.0; -68.0; 241.0; 14.0; 227.0; 0.0; 227.0; 0.0; 227.0; 478.0; 309.0; 251.0; 251.3; 0.9; 0.9
2022-06-30; 943.0; 239.0; 704.0; 0.0; 326.0; 0.0; 492.0; 212.0; -49.0; 163.0; 4.0; 159.0; 0.0; 159.0; 0.0; 159.0; 378.0; 212.0; 250.9; 251.1; 0.63; 0.63
2022-03-31; 1068.0; 336.0; 732.0; 0.0; 318.0; 0.0; 484.0; 248.0; -48.0; 200.0; 8.0; 192.0; 0.0; 192.0; 0.0; 192.0; 414.0; 248.0; 250.6; 250.9; 0.77; 0.77
2021-12-31; 927.0; 273.0; 654.0; 0.0; 359.0; 0.0; 522.0; 132.0; -45.0; 87.0; -8.0; 95.0; 0.0; 95.0; 0.0; 88.0; 295.0; 132.0; 250.2; 250.7; 0.35; 0.36
2021-09-30; 1024.0; 225.0; 799.0; 0.0; 345.0; 0.0; 510.0; 289.0; -51.0; 238.0; -21.0; 259.0; 0.0; 259.0; 0.0; 256.0; 454.0; 289.0; 250.3; 250.8; 1.02; 1.02
2021-06-30; 817.0; 169.0; 648.0; 0.0; 307.0; 0.0; 472.0; 176.0; -47.0; 129.0; -17.0; 146.0; 0.0; 146.0; 0.0; 144.0; 341.0; 176.0; 250.2; 250.6; 0.58; 0.57
2021-03-31; 901.0; 233.0; 668.0; 0.0; 306.0; 0.0; 470.0; 198.0; -52.0; 146.0; -28.0; 174.0; 0.0; 174.0; 0.0; 171.0; 362.0; 198.0; 250.0; 250.4; 0.68; 0.68
2020-12-31; 817.0; 190.0; 627.0; 0.0; 354.0; 0.0; 515.0; 112.0; -56.0; 56.0; -10.0; 66.0; 0.0; 66.0; 0.0; 64.0; 273.0; 112.0; 248.4; 248.7; 0.24; 0.25
2020-09-30; 920.0; 190.0; 730.0; 0.0; 302.0; 0.0; 458.0; 272.0; -43.0; 229.0; -20.0; 249.0; 0.0; 249.0; 0.0; 246.0; 428.0; 272.0; 249.7; 250.0; 0.99; 0.98
2020-06-30; 763.0; 185.0; 578.0; 0.0; 258.0; 0.0; 410.0; 168.0; -40.0; 128.0; -8.0; 136.0; 0.0; 136.0; 0.0; 134.0; 320.0; 168.0; 249.6; 249.8; 0.54; 0.54
2020-03-31; 916.0; 269.0; 647.0; 0.0; 313.0; 0.0; 459.0; 188.0; -34.0; 154.0; -19.0; 173.0; 0.0; 173.0; 0.0; 170.0; 334.0; 188.0; 244.4; 244.6; 0.7; 0.7
2019-12-31; 880.6; 245.8; 634.8; 0.0; 330.2; 0.0; 473.4; 161.4; -28.5; 132.9; 19.7; 113.2; 0.0; 113.2; 0.0; 111.3; 304.4; 161.4; 238.5; 239.0; 0.46; 0.46
2019-09-30; 990.0; 228.0; 762.0; 0.0; 328.0; 0.0; 472.0; 290.0; -38.0; 252.0; 23.0; 229.0; 0.0; 229.0; 0.0; 226.0; 434.2; 290.0; 239.1; 239.9; 0.95; 0.94
2019-06-30; 790.2; 185.2; 605.0; 0.0; 312.3; 0.0; 455.2; 149.8; -41.5; 108.3; 11.2; 97.1; 0.0; 97.1; 0.0; 94.6; 302.8; 149.8; 237.5; 238.1; 0.4; 0.4
2019-03-31; 987.2; 340.0; 647.2; 0.0; 333.5; 0.0; 470.4; 176.8; -34.0; 142.8; 15.1; 127.7; 0.0; 127.7; 0.0; 125.1; 303.6; 176.8; 236.5; 236.6; 0.53; 0.53
2018-12-31; 873.0; 297.5; 575.5; 0.0; 323.9; 0.0; 454.5; 121.0; -27.6; 93.4; 5.9; 87.5; 0.0; 87.5; 0.0; 85.2; 251.6; 121.0; 233.6; 233.6; 0.37; 0.37
2018-09-30; 928.6; 239.1; 689.5; 0.0; 304.4; 0.0; 433.4; 256.1; -36.3; 219.8; 11.7; 208.1; 0.0; 208.1; 0.0; 205.5; 385.1; 256.1; 235.2; 235.2; 0.87; 0.87
2018-06-30; 816.1; 236.0; 580.1; 0.0; 301.9; 0.0; 428.9; 151.2; -34.7; 116.5; 13.6; 102.9; 0.0; 102.9; 0.0; 100.4; 278.2; 151.2; 232.0; 232.0; 0.43; 0.43
2018-03-31; 916.3; 314.4; 601.9; 0.0; 315.8; 0.0; 436.2; 165.7; -25.4; 140.3; 16.8; 123.5; 0.0; 123.5; 0.0; 120.9; 286.1; 165.7; 231.4; 231.4; 0.52; 0.52
2017-12-31; 856.1; 279.3; 576.8; 0.0; 323.7; 0.0; 442.8; 134.0; -35.9; 98.1; 1.8; 96.3; 0.0; 96.3; 0.0; 93.8; 253.1; 134.0; 229.7; 229.7; 0.41; 0.41
2017-09-30; 906.9; 237.6; 669.3; 0.0; 312.3; 0.0; 433.0; 236.3; -38.8; 197.5; 26.1; 171.4; 0.0; 171.4; 0.0; 168.8; 357.0; 236.3; 231.0; 231.0; 0.73; 0.73
2017-06-30; 765.3; 212.6; 552.7; 0.0; 284.0; 0.0; 399.0; 153.7; -35.7; 118.0; 21.2; 96.8; 0.0; 96.8; 0.0; 94.3; 268.7; 153.7; 229.0; 229.0; 0.41; 0.41
2017-03-31; 853.9; 300.0; 553.9; 0.0; 299.7; 0.0; 406.7; 147.2; -28.0; 119.2; 17.6; 101.6; 0.0; 101.6; 1.4; 100.4; 254.2; 147.2; 227.6; 227.6; 0.44; 0.44
2016-12-31; 797.0; 269.7; 527.3; 0.0; 307.4; 0.0; 410.3; 117.0; -39.3; 77.7; 12.2; 65.5; 0.0; 65.5; -0.3; 62.7; 215.1; 117.0; 227.1; 227.1; 0.27; 0.27
2016-09-30; 924.6; 258.4; 666.2; 0.0; 313.1; -86.4; 503.6; 162.6; -23.7; 138.9; 7.5; 131.4; 0.0; 131.4; -0.4; 128.4; 266.7; 162.6; 227.2; 227.2; 0.57; 0.57
2016-06-30; 754.6; 224.1; 530.5; 0.0; 299.8; 0.0; 401.9; 128.6; -23.6; 105.0; 18.1; 86.9; 0.0; 86.9; -0.5; 83.9; 230.7; 128.6; 227.0; 227.0; 0.37; 0.37
2016-03-31; 843.8; 296.1; 547.7; 0.0; 299.3; 0.0; 401.8; 145.9; -24.1; 121.8; 21.6; 100.2; 0.0; 100.2; -1.1; 96.5; 248.4; 145.9; 226.8; 226.8; 0.43; 0.43
2015-12-31; 740.1; 243.6; 496.5; 0.0; 315.9; 0.0; 417.3; 79.2; -30.6; 48.6; 10.9; 37.7; 0.0; 37.7; -1.1; 34.1; 193.0; 79.2; 225.4; 225.4; 0.15; 0.15
2015-09-30; 898.9; 259.4; 639.5; 0.0; 304.3; 0.0; 403.6; 235.9; -25.5; 210.4; 27.8; 182.6; 0.0; 182.6; -0.1; 179.9; 335.2; 235.9; 226.4; 226.4; 0.79; 0.79
2015-06-30; 717.2; 207.1; 510.1; 0.0; 300.7; 0.0; 401.1; 109.0; -26.4; 82.6; 11.2; 71.4; 0.0; 71.4; -1.3; 67.6; 209.4; 109.0; 226.2; 226.2; 0.3; 0.3
2015-03-31; 897.4; 346.7; 550.7; 0.0; 297.6; 0.0; 397.8; 152.9; -33.2; 119.7; 20.5; 99.2; 0.0; 99.2; 0.0; 96.6; 253.1; 152.9; 222.2; 222.2; 0.43; 0.43
2014-12-31; 804.1; 292.7; 511.4; 0.0; 320.4; 0.0; 420.1; 91.3; -30.5; 60.8; -1.9; 62.7; 0.0; 62.7; -0.2; 60.0; 245.2; 91.3; 221.7; 221.7; 0.28; 0.28
2014-09-30; 843.1; 252.6; 590.5; 0.0; 298.6; 0.0; 395.7; 194.8; -24.6; 170.2; 12.4; 157.8; 0.0; 157.8; -1.9; 153.3; 291.9; 194.8; 221.6; 221.6; 0.69; 0.69
2014-06-30; 750.3; 259.1; 491.2; 0.0; 292.1; 0.0; 387.9; 103.3; -25.5; 77.8; 13.2; 64.6; 0.0; 64.6; -0.3; 61.8; 199.1; 103.3; 221.6; 221.6; 0.28; 0.28
2014-03-31; 952.8; 400.6; 552.2; 0.0; 302.5; 0.0; 398.0; 154.2; -23.0; 131.2; 20.6; 110.6; 0.0; 110.6; 0.0; 108.0; 249.7; 154.2; 221.6; 221.6; 0.48; 0.48
2013-12-31; 832.6; 327.2; 505.4; 0.0; 303.3; 0.0; 396.8; 108.6; -25.8; 82.8; 13.7; 69.1; 0.0; 69.1; -1.0; 65.5; 213.2; 108.6; 221.6; 221.6; 0.29; 0.29
2013-09-30; 866.6; 278.3; 588.3; 0.0; 294.8; 0.0; 386.9; 201.4; -22.3; 179.1; 17.6; 161.5; 0.0; 161.5; -1.3; 157.6; 303.3; 201.4; 221.6; 221.6; 0.71; 0.71
2013-06-30; 718.0; 248.9; 469.1; 0.0; 273.2; 0.0; 365.9; 103.2; -24.3; 78.9; 10.5; 68.4; 0.0; 68.4; -0.6; 65.3; 205.5; 103.2; 221.6; 221.6; 0.29; 0.29
2013-03-31; 859.6; 364.1; 495.5; 0.0; 282.2; 0.0; 374.8; 120.7; -25.5; 95.2; 12.1; 83.1; 0.0; 83.1; -3.0; 69.9; 223.0; 120.7; 221.6; 221.6; 0.32; 0.32
2012-12-31; 750.9; 211.9; 539.0; 0.0; 352.4; 0.0; 437.4; 101.6; -20.9; 80.7; 5.6; 75.1; 0.0; 75.1; -2.8; 68.3; 200.3; 101.6; 221.6; 221.6; 0.3; 0.3
2012-09-30; 887.6; 323.3; 564.3; 0.0; 267.0; 0.0; 350.6; 213.7; -21.4; 192.3; 39.3; 153.0; 0.0; 153.0; 1.7; 150.7; 311.0; 213.7; 221.54; 221.56; 0.68; 0.68
2012-06-30; 690.3; 258.2; 432.1; 0.0; 242.5; 0.0; 323.3; 108.8; -22.6; 86.2; 16.8; 69.4; 0.0; 69.4; 0.4; 65.9; 203.1; 108.8; 221.51; 221.54; 0.3; 0.3
2012-03-31; 765.7; 407.6; 358.1; 0.0; 179.5; 0.0; 262.5; 95.6; -24.6; 71.0; 27.7; 43.3; 0.0; 43.3; -4.4; 34.9; 193.2; 95.6; 221.43; 221.48; 0.16; 0.16
2011-12-31; 760.8; 310.7; 450.1; 0.0; 263.1; 0.0; 344.1; 106.0; -23.4; 82.6; 14.7; 67.9; 0.0; 67.9; -6.9; 57.0; 201.7; 106.0; 221.4; 221.4; 0.26; 0.26
2011-09-30; 870.9; 315.3; 555.6; 0.0; 265.5; 0.0; 346.2; 209.4; -25.3; 184.1; 43.3; 140.8; 0.0; 140.8; -14.9; 122.0; 304.5; 209.4; 221.29; 221.39; 0.55; 0.55
2011-06-30; 712.5; 282.7; 429.8; 0.0; 277.7; 0.0; 359.2; 70.6; -27.3; 43.3; -11.2; 54.5; 0.0; 54.5; 0.8; 51.1; 167.3; 70.6; 221.25; 221.35; 0.23; 0.23
2011-03-31; 877.2; 408.2; 469.0; 0.0; 263.9; 0.0; 341.7; 127.3; -26.7; 100.6; 22.4; 78.2; 0.0; 78.2; 1.5; 73.5; 219.9; 127.3; 221.14; 221.26; 0.33; 0.33
2010-12-31; 678.6; 333.8; 344.8; 0.0; 168.7; 0.0; 241.1; 103.7; -23.9; 79.8; 25.9; 53.9; 0.0; 53.9; -1.9; 47.3; 194.8; 103.7; 220.88; 221.04; 0.21; 0.21
2010-09-30; 951.7; 344.6; 607.1; 0.0; 285.1; 0.0; 360.5; 246.6; -27.0; 219.6; 64.1; 155.5; 0.0; 155.5; -1.8; 149.1; 336.1; 246.6; 220.94; 221.09; 0.68; 0.68
2010-06-30; 741.6; 294.4; 447.2; 0.0; 281.4; 0.0; 346.5; 100.7; -25.0; 75.7; 23.0; 52.7; 0.0; 52.7; -0.2; 47.8; 176.5; 100.7; 220.82; 220.98; 0.21; 0.21
2010-03-31; 890.2; 430.1; 460.1; 0.0; 276.7; 0.0; 351.1; 109.0; -26.2; 82.8; 34.7; 48.1; 0.0; 48.1; 0.0; 43.4; 196.7; 109.0; 220.74; 220.9; 0.2; 0.2
2009-12-31; 852.6; 357.0; 495.6; 0.0; 322.1; 0.0; 394.9; 100.7; -26.5; 74.2; 17.4; 56.8; 0.0; 56.8; 1.5; 53.6; 183.8; 100.7; 220.54; 220.7; 0.24; 0.24
2009-09-30; 884.0; 350.2; 533.8; 0.0; 304.9; 0.0; 374.4; 159.4; -220.6; -61.2; -22.2; -39.0; 0.0; -39.0; -0.7; -44.3; 241.3; 159.4; 220.58; 220.58; -0.2; -0.2
2009-06-30; 740.8; 291.7; 449.1; 0.0; 320.5; 0.0; 386.7; 62.4; -14.3; 48.1; 14.4; 33.7; 0.0; 33.7; 0.1; 29.1; 139.3; 62.4; 220.53; 220.7; 0.13; 0.13
2009-03-31; 949.9; 521.5; 428.4; 0.0; 289.6; 0.0; 354.7; 73.7; -15.3; 58.4; -18.9; 77.3; 0.0; 77.3; 0.0; 72.6; 149.5; 73.7; 220.44; 220.61; 0.33; 0.33
