Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 12250.0; 11088.0; 1162.0; 31.0; 319.0; 0.0; 350.0; 812.0; -85.0; 727.0; 154.0; 573.0; 0.0; 573.0; -1.0; 570.0; 1133.0; 812.0; 326.0; 327.0; 1.75; 1.75
2022-06-30; 14838.0; 12267.0; 2571.0; 32.0; 329.0; -69.0; 430.0; 2141.0; -118.0; 2023.0; 378.0; 1645.0; 0.0; 1645.0; -1.0; 1643.0; 2449.0; 2141.0; 328.0; 329.0; 5.0; 4.98
2022-03-31; 13157.0; 11136.0; 2021.0; 32.0; 328.0; 0.0; 360.0; 1661.0; -24.0; 1637.0; 316.0; 1321.0; 0.0; 1321.0; -1.0; 1318.0; 1976.0; 1661.0; 328.0; 329.0; 4.01; 4.0
2021-12-31; 12830.0; 10934.0; 1896.0; 33.0; 328.0; 0.0; 985.0; 911.0; -45.0; 866.0; 135.0; 731.0; 0.0; 731.0; -5.0; 724.0; 1302.0; 911.0; 334.0; 334.0; 2.19; 2.19
2021-09-30; 12700.0; 10109.0; 2591.0; 30.0; 313.0; 0.0; 343.0; 2248.0; -33.0; 2215.0; 452.0; 1763.0; 0.0; 1763.0; -1.0; 1760.0; 2607.0; 2248.0; 334.0; 334.0; 5.25; 5.25
2021-06-30; 11561.0; 8676.0; 2885.0; 32.0; 327.0; 0.0; 359.0; 2526.0; 37.0; 2563.0; 506.0; 2057.0; 0.0; 2057.0; 2.0; 2058.0; 2864.0; 2526.0; 334.0; 335.0; 6.14; 6.13
2021-03-31; 9082.0; 7678.0; 1404.0; 29.0; 287.0; 0.0; 316.0; 1088.0; 54.0; 1142.0; 70.0; 1072.0; 0.0; 1072.0; -2.0; 1068.0; 1428.0; 1088.0; 334.0; 334.0; 3.19; 3.18
2020-12-31; 7937.0; 6712.0; 1225.0; 34.0; 298.0; 0.0; 332.0; 893.0; 3.0; 896.0; 39.0; 857.0; 0.0; 857.0; -2.0; 853.0; 1231.0; 893.0; 334.0; 334.0; 2.55; 2.55
2020-09-30; 6776.0; 5885.0; 891.0; 27.0; 259.0; -582.0; 868.0; 23.0; -34.0; -11.0; -125.0; 114.0; 0.0; 114.0; 0.0; 112.0; 386.0; 23.0; 334.0; 334.0; 0.33; 0.33
2020-06-30; 5546.0; 4894.0; 652.0; 25.0; 288.0; 0.0; 313.0; 339.0; -56.0; 283.0; -32.0; 315.0; 0.0; 315.0; -1.0; 313.0; 698.0; 339.0; 334.0; 334.0; 0.94; 0.94
2020-03-31; 7494.0; 6868.0; 626.0; 27.0; 295.0; 0.0; 322.0; 304.0; -86.0; 218.0; 75.0; 143.0; 0.0; 143.0; 1.0; 142.0; 650.0; 304.0; 334.0; 334.0; 0.42; 0.42
2019-12-31; 8179.0; 7044.0; 1135.0; 30.0; 307.0; 0.0; 337.0; 798.0; -46.0; 752.0; 140.0; 612.0; 0.0; 612.0; 0.0; 610.0; 1137.0; 798.0; 353.0; 353.0; 1.85; 1.84
2019-09-30; 8722.0; 7269.0; 1453.0; 26.0; 303.0; 0.0; 329.0; 1124.0; -19.0; 1105.0; 136.0; 969.0; 0.0; 969.0; -4.0; 963.0; 1454.0; 1124.0; 337.0; 337.0; 2.85; 2.85
2019-06-30; 9048.0; 7542.0; 1506.0; 27.0; 302.0; 0.0; 329.0; 1177.0; -2.0; 1175.0; 169.0; 1006.0; 0.0; 1006.0; -3.0; 1002.0; 1508.0; 1177.0; 370.0; 370.0; 2.7; 2.7
