Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 6153.53; 4707.85; 1445.69; 0.0; 805.91; 35.28; 939.44; 506.25; -66.95; 439.3; 41.9; 397.4; 0.0; 397.4; 0.0; 331.49; 628.18; 506.25; 225.76; 243.69; 1.47; 1.39
2022-06-30; 4434.17; 3267.02; 1167.15; 0.0; 672.21; -1.06; 848.45; 318.7; -58.33; 260.37; 32.0; 228.38; 0.0; 228.38; 0.0; 155.24; 460.6; 318.7; 224.67; 243.63; 0.69; 0.66
2022-03-31; 1802.81; 1071.02; 731.79; 0.0; 570.18; -1.67; 704.73; 27.06; -64.32; -37.26; 11.7; -48.96; 0.0; -48.96; 0.0; -85.9; 150.17; 27.06; 221.89; 221.89; -0.39; -0.39
2021-12-31; 2703.17; 2008.99; 694.18; 0.0; 656.15; 0.17; 818.73; -124.55; -55.5; -180.05; -17.58; -162.47; 0.0; -162.47; 0.0; -210.49; 12.51; -124.55; 217.19; 217.19; -0.95; -0.94
2021-09-30; 2698.72; 1969.91; 728.81; 0.0; 446.93; 1.15; 591.66; 137.15; -43.86; 93.29; 6.42; 86.87; 0.0; 86.87; 0.0; 42.63; 268.61; 137.15; 216.89; 223.8; 0.2; 0.19
2021-06-30; 575.95; 243.12; 332.83; 0.0; 328.89; 0.03; 460.11; -127.28; -80.89; -208.18; 2.29; -210.46; 0.0; -210.46; 0.0; -194.71; 3.44; -127.28; 215.7; 215.7; -0.9; -0.9
2021-03-31; 290.61; 133.97; 156.64; 0.0; 322.85; -0.14; 459.81; -303.17; -13.16; -316.33; 6.39; -322.72; 0.0; -322.72; 0.0; -308.11; -174.48; -303.17; 214.53; 214.53; -1.44; -1.44
2020-12-31; 237.38; 203.27; 34.11; 0.0; 281.04; 0.39; 422.12; -388.01; -55.27; -443.28; 20.54; -463.83; 0.0; -463.83; 0.0; -436.2; -250.06; -388.01; 212.27; 212.27; -2.06; -2.06
2020-09-30; 184.02; 130.75; 53.27; 0.0; 405.93; -0.21; 557.71; -504.44; -54.92; -559.36; -16.9; -542.46; 0.0; -542.46; 0.0; -521.91; -368.45; -504.44; 212.59; 212.59; -2.45; -2.45
2020-06-30; 74.08; 194.56; -120.47; 0.0; 323.35; -0.56; 467.59; -588.07; -51.7; -639.77; -29.18; -610.58; 0.0; -610.58; 0.0; -565.92; -444.0; -588.07; 211.69; 211.69; -2.67; -2.67
