Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1624.29; 790.56; 833.73; 0.0; 415.8; 0.0; 415.8; 417.93; 2.15; 420.08; 97.69; 322.39; 0.0; 322.39; 0.0; 322.39; 433.54; 417.93; 526.8; 533.3; 0.61; 0.6
2022-06-30; 1655.26; 875.4; 779.86; 0.0; 406.91; 0.0; 406.91; 372.95; -6.78; 366.17; 92.81; 273.36; 0.0; 273.36; 0.0; 273.36; 388.78; 372.95; 528.62; 534.81; 0.52; 0.51
2022-03-31; 1518.57; 741.91; 776.67; 0.0; 377.18; 0.0; 377.18; 399.49; -7.3; 392.19; 97.99; 294.2; 0.0; 294.2; 0.0; 294.2; 414.09; 399.49; 529.4; 535.55; 0.56; 0.55
2021-12-31; 1425.05; 657.46; 767.58; 0.0; 354.7; 0.0; 354.7; 412.88; 6.13; 419.01; 97.7; 321.31; 0.0; 321.31; 0.0; 321.31; 425.18; 412.88; 528.76; 535.64; 0.61; 0.6
2021-09-30; 1410.56; 621.4; 789.16; 0.0; 344.69; 0.0; 344.69; 444.46; -2.29; 442.17; 104.97; 337.2; 0.0; 337.2; 0.0; 337.2; 456.82; 444.46; 529.0; 535.91; 0.64; 0.63
2021-06-30; 1461.93; 625.1; 836.84; 0.0; 310.86; 0.0; 310.86; 525.98; 0.87; 526.85; 123.08; 403.76; 0.0; 403.76; 0.0; 403.76; 538.65; 525.98; 528.65; 535.56; 0.76; 0.75
2021-03-31; 1243.82; 528.88; 714.94; 0.0; 300.79; 0.0; 300.79; 414.15; -0.76; 413.39; 98.19; 315.19; 0.0; 315.19; 0.0; 315.19; 426.97; 414.15; 528.2; 534.98; 0.6; 0.59
2020-12-31; 1196.28; 505.6; 690.68; 0.0; 288.38; 0.0; 288.38; 402.3; -1.5; 400.8; -70.94; 471.74; 0.0; 471.74; 0.0; 471.74; 413.45; 402.3; 529.64; 534.81; 0.89; 0.88
2020-09-30; 1246.36; 509.83; 736.53; 0.0; 277.93; 0.0; 277.93; 458.6; -4.57; 454.03; 106.38; 347.65; 0.0; 347.65; 0.0; 347.65; 472.42; 458.6; 527.64; 533.26; 0.66; 0.65
2020-06-30; 1093.9; 434.43; 659.47; 0.0; 252.21; 0.0; 252.21; 407.26; -1.8; 405.47; 94.1; 311.37; 0.0; 311.37; 0.0; 311.37; 422.77; 407.26; 526.91; 531.19; 0.59; 0.59
2020-03-31; 1062.1; 424.9; 637.2; 0.0; 272.21; 0.0; 272.21; 364.99; 0.87; 365.86; 87.03; 278.83; 0.0; 278.83; 0.0; 278.83; 381.53; 364.99; 536.06; 540.52; 0.52; 0.52
2019-12-31; 1017.21; 406.44; 610.77; 0.0; 293.72; 0.0; 293.72; 317.04; 4.19; 321.23; 66.28; 254.95; 0.0; 254.95; 0.0; 254.95; 329.93; 317.04; 542.19; 546.61; 0.47; 0.47
