Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 7927.0; 6748.0; 1179.0; 0.0; 560.0; -239.0; 844.0; 335.0; -28.0; 307.0; 77.0; 230.0; 0.0; 230.0; 0.0; 230.0; 380.0; 335.0; 57.6; 58.3; 4.0; 3.95
2022-06-30; 8054.0; 6872.0; 1182.0; 0.0; 551.0; -226.0; 821.0; 361.0; -27.0; 334.0; 86.0; 248.0; 0.0; 248.0; 0.0; 248.0; 405.0; 361.0; 57.8; 58.4; 4.29; 4.25
2022-03-31; 7770.0; 6563.0; 1207.0; 0.0; 571.0; -224.0; 835.0; 372.0; -28.0; 344.0; 86.0; 258.0; 0.0; 258.0; 0.0; 258.0; 412.0; 372.0; 58.0; 58.7; 4.45; 4.39
2021-12-31; 7409.0; 6362.0; 1047.0; 0.0; 579.0; -242.0; 856.0; 191.0; -55.0; 136.0; 33.0; 103.0; 0.0; 103.0; 0.0; 103.0; 226.0; 191.0; 57.8; 58.6; 1.76; 1.74
2021-09-30; 7040.0; 6049.0; 991.0; 0.0; 532.0; -206.0; 770.0; 221.0; -30.0; 191.0; 48.0; 143.0; 0.0; 143.0; 0.0; 143.0; 253.0; 221.0; 57.8; 58.5; 2.49; 2.46
2021-06-30; 6800.0; 5819.0; 981.0; 0.0; 484.0; -193.0; 708.0; 273.0; -30.0; 243.0; 58.0; 185.0; 0.0; 185.0; 0.0; 185.0; 304.0; 273.0; 57.7; 58.4; 3.2; 3.16
2021-03-31; 6522.0; 5474.0; 1048.0; 0.0; 473.0; -207.0; 713.0; 335.0; -30.0; 305.0; 77.0; 228.0; 0.0; 228.0; 0.0; 228.0; 368.0; 335.0; 57.7; 58.6; 3.95; 3.89
2020-12-31; 5235.0; 4408.0; 827.0; 0.0; 450.0; -262.0; 736.0; 91.0; -40.0; 51.0; 17.0; 34.0; 0.0; 34.0; 0.0; 34.0; 115.0; 91.0; 59.0; 59.9; 0.59; 0.56
2020-09-30; 5021.0; 4098.0; 923.0; 0.0; 368.0; -243.0; 634.0; 289.0; -27.0; 262.0; 77.0; 185.0; 0.0; 185.0; 0.0; 185.0; 312.0; 289.0; 58.7; 59.6; 3.14; 3.1
2020-06-30; 4618.0; 3598.0; 1020.0; 0.0; 345.0; -230.0; 596.0; 424.0; -29.0; 395.0; 119.0; 276.0; 0.0; 276.0; 0.0; 276.0; 445.0; 424.0; 58.6; 59.4; 4.72; 4.65
2020-03-31; 4549.0; 3716.0; 833.0; 0.0; 317.0; -222.0; 559.0; 274.0; -21.0; 253.0; 75.0; 178.0; 0.0; 178.0; 0.0; 178.0; 294.0; 274.0; 60.2; 61.0; 2.95; 2.92
2019-12-31; 4274.0; 3545.0; 729.0; 0.0; 343.0; -123.0; 487.0; 242.0; -20.0; 222.0; 54.0; 168.0; 0.0; 168.0; 0.0; 168.0; 263.0; 242.0; 62.2; 64.2; 2.7; 2.67
2019-09-30; 4243.0; 3523.0; 720.0; 0.0; 323.0; -119.0; 463.0; 257.0; -24.0; 233.0; 58.0; 175.0; 0.0; 175.0; 0.0; 175.0; 278.0; 257.0; 62.2; 63.6; 2.81; 2.75
2019-06-30; 4193.0; 3466.0; 727.0; 0.0; 328.0; -112.0; 462.0; 265.0; -8.0; 257.0; 61.0; 196.0; 0.0; 196.0; 0.0; 196.0; 287.0; 265.0; 62.1; 64.0; 3.15; 3.06
2019-03-31; 4119.0; 3371.0; 748.0; 0.0; 302.0; -141.0; 468.0; 280.0; -20.0; 260.0; 62.0; 198.0; 0.0; 198.0; 0.0; 198.0; 305.0; 280.0; 62.1; 66.2; 3.19; 2.99
2018-12-31; 4664.0; 3790.0; 874.0; 0.0; 335.0; -282.0; 602.0; 272.0; -16.0; 256.0; 55.0; 201.0; 0.0; 201.0; 0.0; 201.0; 277.0; 272.0; 61.0; 67.0; 3.27; 3.05
2018-09-30; 4697.0; 3901.0; 796.0; 0.0; 311.0; -160.0; 501.0; 295.0; -36.0; 259.0; 62.0; 197.0; 0.0; 197.0; 0.0; 197.0; 331.0; 295.0; 61.3; 67.9; 3.22; 2.9
2018-06-30; 4883.0; 3968.0; 915.0; 0.0; 335.0; -205.0; 573.0; 342.0; -37.0; 305.0; 103.0; 202.0; 0.0; 202.0; 0.0; 202.0; 384.0; 342.0; 61.2; 66.7; 3.29; 3.02
2018-03-31; 4646.0; 3842.0; 804.0; 0.0; 352.0; -179.0; 582.0; 222.0; -43.0; 179.0; 72.0; 107.0; 0.0; 107.0; 0.0; 107.0; 266.0; 222.0; 59.8; 65.2; 1.79; 1.64
2017-12-31; 4949.0; 4374.0; 575.0; 0.0; 367.0; -448.0; 844.0; -269.0; -47.0; -316.0; -54.0; -262.0; 0.0; -262.0; 0.0; -262.0; -222.0; -269.0; 56.0; 56.0; -4.65; -4.64
2017-09-30; 5031.0; 4343.0; 688.0; 0.0; 383.0; -235.0; 769.0; -81.0; -32.0; -113.0; -16.0; -97.0; 0.0; -97.0; 0.0; -97.0; -30.0; -81.0; 56.5; 56.5; -1.7; -1.7
2017-06-30; 4999.0; 4615.0; 384.0; 0.0; 405.0; -114.0; 671.0; -287.0; -27.0; -314.0; -84.0; -230.0; 0.0; -230.0; 0.0; -230.0; -224.0; -287.0; 56.0; 56.0; -4.1; -4.1
2017-03-31; 4904.0; 4233.0; 671.0; 0.0; 439.0; -111.0; 589.0; 82.0; 49.0; 131.0; 54.0; 77.0; 0.0; 77.0; 0.0; 77.0; 131.0; 82.0; 56.0; 56.0; 1.38; 1.37
2016-12-31; 4534.0; 3967.0; 567.0; 0.0; 359.0; -177.0; 573.0; -6.0; -25.0; -31.0; 16.0; -47.0; 0.0; -47.0; 0.0; -47.0; 18.0; -6.0; 55.4; 56.2; -0.86; -0.85
2016-09-30; 4546.0; 3867.0; 679.0; 0.0; 343.0; -182.0; 561.0; 118.0; -26.0; 92.0; 50.0; 42.0; 0.0; 42.0; 0.0; 42.0; 187.0; 118.0; 56.0; 56.0; 0.77; 0.76
2016-06-30; 4359.0; 3710.0; 649.0; 0.0; 351.0; -159.0; 544.0; 105.0; -25.0; 80.0; 47.0; 33.0; 0.0; 33.0; 0.0; 33.0; 150.0; 105.0; 55.0; 55.0; 0.58; 0.58
2016-03-31; 4343.0; 3715.0; 628.0; 0.0; 340.0; -167.0; 539.0; 89.0; -25.0; 64.0; 40.0; 24.0; 0.0; 24.0; 0.0; 24.0; 133.0; 89.0; 55.0; 57.0; 0.44; 0.43
2015-12-31; 3871.0; 3303.0; 568.0; 0.0; 316.0; -148.0; 492.0; 76.0; -20.0; 56.0; 26.0; 30.0; 0.0; 30.0; 0.0; 30.0; 117.0; 76.0; 52.0; 56.0; 0.55; 0.53
2015-09-30; 3611.0; 3050.0; 561.0; 0.0; 287.0; -135.0; 448.0; 113.0; -15.0; 98.0; 52.0; 46.0; 0.0; 46.0; 0.0; 46.0; 151.0; 113.0; 55.0; 60.0; 0.84; 0.77
2015-06-30; 3525.0; 2962.0; 563.0; 0.0; 287.0; -135.0; 447.0; 116.0; -15.0; 101.0; 62.0; 39.0; 0.0; 39.0; 0.0; 39.0; 153.0; 116.0; 50.0; 54.0; 0.78; 0.72
2015-03-31; 3171.0; 2672.0; 499.0; 0.0; 256.0; -136.0; 417.0; 82.0; -15.0; 67.0; 39.0; 28.0; 0.0; 28.0; 0.0; 28.0; 122.0; 82.0; 49.0; 50.0; 0.58; 0.56
2014-12-31; 2801.37; 2361.38; 439.99; 0.0; 204.79; -113.5; 343.46; 96.53; -14.96; 81.57; 48.22; 33.35; 0.0; 33.35; 0.0; 33.57; 137.87; 96.53; 47.0; 48.0; 0.72; 0.71
2014-09-30; 2484.35; 2137.9; 346.45; 0.0; 178.88; -103.55; 306.67; 39.78; -15.28; 24.5; 8.43; 16.07; 0.0; 16.07; 0.05; 16.12; 93.78; 39.78; 46.99; 48.64; 0.34; 0.33
2014-06-30; 2312.04; 1971.41; 340.63; 0.0; 193.24; -92.06; 308.21; 32.43; -13.98; 18.44; 10.7; 7.74; 0.0; 7.74; 0.07; 7.81; 58.41; 32.43; 46.28; 48.0; 0.17; 0.16
